cal_S_function with E_thr = 5.0 MeV
T[MeV]	cal_S	cal_S_error
1.410	2.8970822399e-11	2.5491367801e-17
1.420	3.0489044182e-11	2.5960657231e-17
1.430	3.2069098061e-11	2.6427551817e-17
1.440	3.3712757386e-11	2.6891849044e-17
1.450	3.5421823914e-11	2.7353353232e-17
1.460	3.7198127880e-11	2.7811875438e-17
1.470	3.9043528067e-11	2.8267233477e-17
1.480	4.0959911869e-11	2.8719252115e-17
1.490	4.2949195369e-11	2.9167762964e-17
1.500	4.5013323399e-11	2.9612604594e-17
1.510	4.7154269617e-11	3.0053622515e-17
1.520	4.9374036574e-11	3.0490669247e-17
1.530	5.1674655783e-11	3.0923604280e-17
1.540	5.4058187793e-11	3.1352294055e-17
1.550	5.6526722261e-11	3.1776612110e-17
1.560	5.9082378021e-11	3.2196438918e-17
1.570	6.1727303159e-11	3.2611662017e-17
1.580	6.4463675088e-11	3.3022175792e-17
1.590	6.7293700620e-11	3.3427881693e-17
1.600	7.0219616043e-11	3.3828688071e-17
1.610	7.3243687196e-11	3.4224510263e-17
1.620	7.6368209547e-11	3.4615270442e-17
1.630	7.9595508271e-11	3.5000897526e-17
1.640	8.2927938326e-11	3.5381327569e-17
1.650	8.6367884537e-11	3.5756503005e-17
1.660	8.9917761674e-11	3.6126373450e-17
1.670	9.3580014533e-11	3.6490894899e-17
1.680	9.7357118022e-11	3.6850030303e-17
1.690	1.0125157724e-10	3.7203739165e-17
1.700	1.0526592756e-10	3.7551923019e-17
1.710	1.0940273474e-10	3.7894636813e-17
1.720	1.1366459495e-10	3.8231868770e-17
1.730	1.1805413493e-10	3.8563586789e-17
1.740	1.2257401203e-10	3.8889811289e-17
1.750	1.2722691433e-10	3.9210551716e-17
1.760	1.3201556069e-10	3.9525821069e-17
1.770	1.3694270090e-10	3.9835638511e-17
1.780	1.4201111572e-10	4.0140029029e-17
1.790	1.4722361700e-10	4.0439024140e-17
1.800	1.5258304777e-10	4.0732661084e-17
1.810	1.5809228232e-10	4.1020983143e-17
1.820	1.6375422632e-10	4.1304039355e-17
1.830	1.6957181693e-10	4.1581884887e-17
1.840	1.7554802284e-10	4.1854580512e-17
1.850	1.8168584442e-10	4.2122192737e-17
1.860	1.8798831382e-10	4.2384793911e-17
1.870	1.9445849503e-10	4.2642462106e-17
1.880	2.0109948402e-10	4.2895280809e-17
1.890	2.0791440884e-10	4.3143338940e-17
1.900	2.1490642970e-10	4.3386731398e-17
1.910	2.2207873910e-10	4.3625558447e-17
1.920	2.2943456193e-10	4.3859925325e-17
1.930	2.3697715555e-10	4.4089943259e-17
1.940	2.4470980994e-10	4.4306877314e-17
1.950	2.5263584777e-10	4.4511630935e-17
1.960	2.6075862453e-10	4.4712553371e-17
1.970	2.6908152863e-10	4.4909781075e-17
1.980	2.7760798152e-10	4.5103455047e-17
1.990	2.8634143778e-10	4.5293722077e-17
2.000	2.9528538527e-10	4.5480733111e-17
2.010	3.0444334518e-10	4.5664644644e-17
2.020	3.1381887220e-10	4.5845618105e-17
2.030	3.2341555462e-10	4.6023819892e-17
2.040	3.3323701441e-10	4.6199421359e-17
2.050	3.4328690739e-10	4.6372599094e-17
2.060	3.5356892330e-10	4.6543533930e-17
2.070	3.6408678592e-10	4.6712412402e-17
2.080	3.7484425321e-10	4.6879425641e-17
2.090	3.8584511742e-10	4.7044769701e-17
2.100	3.9709320518e-10	4.7208646010e-17
2.110	4.0859237764e-10	4.7371260269e-17
2.120	4.2034653060e-10	4.7532823680e-17
2.130	4.3235959461e-10	4.7693552721e-17
2.140	4.4463553508e-10	4.7853667993e-17
2.150	4.5717835242e-10	4.8013395705e-17
2.160	4.6999208214e-10	4.8172967268e-17
2.170	4.8308079500e-10	4.8332619151e-17
2.180	4.9644859710e-10	4.8492592206e-17
2.190	5.1009963001e-10	4.8653133884e-17
2.200	5.2403807089e-10	4.8814495316e-17
2.210	5.3826813262e-10	4.8976934175e-17
2.220	5.5279406392e-10	4.9140712570e-17
2.230	5.6762014945e-10	4.9306098509e-17
2.240	5.8275070996e-10	4.9473365140e-17
2.250	5.9819010240e-10	4.9642791613e-17
2.260	6.1394272005e-10	4.9814661953e-17
2.270	6.3001299262e-10	4.9989266298e-17
2.280	6.4640538640e-10	5.0166900751e-17
2.290	6.6312440438e-10	5.0347866540e-17
2.300	6.8017458635e-10	5.0530748386e-17
2.310	6.9756050904e-10	5.0717354071e-17
2.320	7.1528678625e-10	5.0908067409e-17
2.330	7.3335806896e-10	5.1103204375e-17
2.340	7.5177904548e-10	5.1303088111e-17
2.350	7.7055444151e-10	5.1508046509e-17
2.360	7.8968902035e-10	5.1718414889e-17
2.370	8.0918758296e-10	5.1934533672e-17
2.380	8.2905496811e-10	5.2156750794e-17
2.390	8.4929605251e-10	5.2385419515e-17
2.400	8.6991575089e-10	5.2620687522e-17
2.410	8.9091901620e-10	5.2862507950e-17
2.420	9.1231083967e-10	5.3111811756e-17
2.430	9.3409625095e-10	5.3368981605e-17
2.440	9.5628031826e-10	5.3634404688e-17
2.450	9.7886814847e-10	5.3908472828e-17
2.460	1.0018648873e-09	5.4191588902e-17
2.470	1.0252757193e-09	5.4484161501e-17
2.480	1.0491058681e-09	5.4786608425e-17
