cal_S_function with E_thr = 15.0 MeV
T[MeV]	cal_S	cal_S_error
1.240	1.4636978177e-13	1.2319552055e-19
1.250	1.6713039896e-13	1.3738826158e-19
1.260	1.9047616857e-13	1.5296414278e-19
1.270	2.1668347484e-13	1.7003202288e-19
1.280	2.4605323618e-13	1.8870719927e-19
1.290	2.7891261420e-13	2.0911165059e-19
1.300	3.1561680606e-13	2.3137428310e-19
1.310	3.5655092176e-13	2.5562854683e-19
1.320	4.0213194857e-13	2.8201101055e-19
1.330	4.5281080423e-13	3.1067005786e-19
1.340	5.0907448067e-13	3.4177354463e-19
1.350	5.7144828018e-13	3.7548836446e-19
1.360	6.4049814544e-13	4.1198985993e-19
1.370	7.1683308530e-13	4.5146209813e-19
1.380	8.0110769758e-13	4.9409815119e-19
1.390	8.9402479060e-13	5.4010038660e-19
1.400	9.9633810482e-13	5.8968075875e-19
1.410	1.1088551358e-12	6.4306111775e-19
1.420	1.2324400603e-12	7.0047351419e-19
1.430	1.3680167657e-12	7.6216052986e-19
1.440	1.5165719855e-12	8.2837559932e-19
1.450	1.6791585402e-12	8.9938321678e-19
1.460	1.8568986865e-12	9.7545956421e-19
1.470	2.0509875738e-12	1.0568928452e-18
1.480	2.2626968111e-12	1.1439834938e-18
1.490	2.4933781426e-12	1.2370446640e-18
1.500	2.7444672356e-12	1.3364026594e-18
1.510	3.0174875791e-12	1.4423973776e-18
1.520	3.3140544949e-12	1.5553827939e-18
1.530	3.6358792613e-12	1.6757274386e-18
1.540	3.9847733509e-12	1.8038149658e-18
1.550	4.3626527811e-12	1.9400446858e-18
1.560	4.7715425796e-12	2.0848321924e-18
1.570	5.2135813644e-12	2.2386099956e-18
1.580	5.6910260380e-12	2.4018282501e-18
1.590	6.2062565974e-12	2.5749554778e-18
1.600	6.7617810584e-12	2.7584791770e-18
1.610	7.3602404961e-12	2.9528757847e-18
1.620	8.0044141997e-12	3.1586826377e-18
1.630	8.6972249434e-12	3.3764678930e-18
1.640	9.4417443718e-12	3.6068053577e-18
1.650	1.0241198501e-11	3.8502933786e-18
1.660	1.1098973333e-11	4.1075562333e-18
1.670	1.2018620587e-11	4.3792456704e-18
1.680	1.3003863546e-11	4.6660426788e-18
1.690	1.4058603009e-11	4.9686594095e-18
1.700	1.5186923370e-11	5.2876059555e-18
1.710	1.6393098800e-11	5.6235098875e-18
1.720	1.7681599544e-11	5.9774363831e-18
1.730	1.9057098334e-11	6.3502213615e-18
1.740	2.0524476909e-11	6.7427416371e-18
1.750	2.2088832647e-11	7.1559180692e-18
1.760	2.3755485310e-11	7.5907194211e-18
1.770	2.5529983899e-11	8.0481664083e-18
1.780	2.7418113610e-11	8.5293366336e-18
1.790	2.9425902910e-11	9.0353700062e-18
1.800	3.1559630712e-11	9.5674751099e-18
1.810	3.3825833660e-11	1.0126936629e-17
1.820	3.6231313520e-11	1.0715123797e-17
1.830	3.8783144677e-11	1.1333500397e-17
1.840	4.1488681728e-11	1.1983636601e-17
1.850	4.4355567122e-11	4.4152758093e-17
1.860	4.7391739244e-11	4.6434986466e-17
1.870	5.0605439902e-11	4.8814115658e-17
1.880	5.4005222607e-11	5.1292549622e-17
1.890	5.7599960618e-11	5.3871249584e-17
1.900	6.1398855138e-11	5.6554246041e-17
1.910	6.5411443625e-11	5.9335747331e-17
1.920	6.9647608180e-11	6.2226243146e-17
1.930	7.4117584047e-11	6.5231943363e-17
1.940	7.8831968199e-11	6.8349667012e-17
1.950	8.3801728015e-11	7.1580304674e-17
1.960	8.9038210055e-11	7.4935061467e-17
1.970	9.4553148921e-11	7.8417994517e-17
1.980	1.0035867621e-10	8.2030245092e-17
1.990	1.0646732955e-10	8.5754607923e-17
2.000	1.1289206174e-10	8.9614996362e-17
2.010	1.1964624995e-10	9.3615444464e-17
2.020	1.2674370503e-10	9.7738244567e-17
2.030	1.3419868089e-10	1.0199807643e-16
2.040	1.4202588396e-10	1.0638462413e-16
2.050	1.5024048274e-10	1.1089786852e-16
2.060	1.5885811744e-10	1.1556021709e-16
2.070	1.6789490966e-10	1.2037507913e-16
2.080	1.7736747220e-10	1.2534603866e-16
2.090	1.8729291890e-10	1.3047670650e-16
2.100	1.9768887461e-10	1.3571968999e-16
2.110	2.0857348515e-10	1.4111219787e-16
2.120	2.1996542743e-10	1.4662010421e-16
2.130	2.3188391961e-10	1.5229128751e-16
2.140	2.4434873130e-10	1.5812888851e-16
2.150	2.5738019387e-10	1.6412419961e-16
2.160	2.7099921083e-10	1.7023687404e-16
2.170	2.8522726823e-10	1.7652196737e-16
2.180	3.0008644518e-10	1.8298254177e-16
2.190	3.1559942443e-10	1.8962167681e-16
2.200	3.3178950294e-10	1.9638994748e-16
2.210	3.4868060263e-10	2.0332530785e-16
2.220	3.6629728111e-10	2.1039314414e-16
2.230	3.8466474246e-10	2.1762000286e-16
2.240	4.0380884817e-10	2.2500145005e-16
2.250	4.2375612799e-10	2.3257644756e-16
2.260	4.4453379097e-10	2.4030462170e-16
2.270	4.6616973649e-10	2.4821980389e-16
2.280	4.8869256533e-10	2.5631317561e-16
2.290	5.1213159087e-10	2.6460732566e-16
2.300	5.3651685024e-10	2.7310930253e-16
2.310	5.6187911561e-10	2.8182175113e-16
2.320	5.8824990548e-10	2.9074737134e-16
2.330	6.1566149603e-10	2.9988890890e-16
2.340	6.4414693253e-10	3.0924915309e-16
2.350	6.7374004080e-10	3.1883092884e-16
2.360	7.0447543868e-10	3.2863709501e-16
2.370	7.3638854758e-10	3.3866997388e-16
2.380	7.6951560408e-10	3.4893052739e-16
2.390	8.0389367154e-10	3.5938800291e-16
2.400	8.3956065177e-10	3.7008135775e-16
2.410	8.7655529675e-10	3.8101348369e-16
