cal_S_function with E_thr = 10.0 MeV
T[MeV]	cal_S	cal_S_error
1.910	3.6977795848e-51	3.0294850940e-57
1.920	3.8503186525e-51	3.0992439181e-57
1.930	4.0080163580e-51	3.1689217920e-57
1.940	4.1710090414e-51	3.2384994208e-57
1.950	4.3394356566e-51	3.3079583325e-57
1.960	4.5134378030e-51	3.3772808698e-57
1.970	4.6931597583e-51	3.4464502042e-57
1.980	4.8787485107e-51	3.5154503193e-57
1.990	5.0703537918e-51	3.5842660122e-57
2.000	5.2681281096e-51	3.6528829057e-57
2.010	5.4722267815e-51	3.7212874220e-57
2.020	5.6828079678e-51	3.7894668035e-57
2.030	5.9000327056e-51	3.8574091147e-57
2.040	6.1240649419e-51	3.9251032206e-57
2.050	6.3550715683e-51	3.9925388115e-57
2.060	6.5932224549e-51	4.0597063773e-57
2.070	6.8386908746e-51	1.9806907915e-57
2.080	7.0916515895e-51	4.1932035460e-57
2.090	7.3522847820e-51	4.2595182322e-57
2.100	7.6207721936e-51	4.3255350977e-57
2.110	7.8972991087e-51	4.3912487450e-57
2.120	8.1820540001e-51	4.4566546229e-57
2.130	8.4752285651e-51	4.5217490242e-57
2.140	8.7770177609e-51	4.5865290889e-57
2.150	9.0876198417e-51	4.6509928102e-57
2.160	9.4072363941e-51	4.7151390518e-57
2.170	9.7360723744e-51	4.7789675641e-57
2.180	1.0074336145e-50	4.8424787436e-57
2.190	1.0422239513e-50	4.9056741947e-57
2.200	1.0779997763e-50	4.9685565299e-57
2.210	1.1147829701e-50	5.0311291700e-57
2.220	1.1525957687e-50	5.0933965082e-57
2.230	1.1914607676e-50	5.1553639291e-57
2.240	1.2314009254e-50	5.2170378386e-57
2.250	1.2724395677e-50	5.2784257057e-57
2.260	1.3146003910e-50	5.3395360889e-57
2.270	1.3579074667e-50	5.4003786887e-57
2.280	1.4023852446e-50	5.4608750666e-57
2.290	1.4480585574e-50	5.5210514509e-57
2.300	1.4949526241e-50	5.5809757179e-57
2.310	1.5430930542e-50	5.6406605264e-57
2.320	1.5925058519e-50	5.7001197603e-57
2.330	1.6432174196e-50	5.7593685693e-57
2.340	1.6952545625e-50	5.8184234509e-57
