cal_S_function with E_thr = 4.5 MeV
T[MeV]	cal_S	cal_S_error
1.240	2.2514108342e-10	1.2760904360e-17
1.250	2.3820058169e-10	1.3258924698e-17
1.260	2.5185326007e-10	1.3773430519e-17
1.270	2.6611847375e-10	1.4304922344e-17
1.280	2.8101595493e-10	1.4853916355e-17
1.290	2.9656581502e-10	1.5420944618e-17
1.300	3.1278854681e-10	1.6006268741e-17
1.310	3.2970502664e-10	1.6610656622e-17
1.320	3.4733651663e-10	1.7234739436e-17
1.330	3.6570466675e-10	1.7879118691e-17
1.340	3.8483151704e-10	1.8544415412e-17
1.350	4.0473949975e-10	1.9231271197e-17
1.360	4.2545144144e-10	1.9940349226e-17
1.370	4.4699056514e-10	2.0672335155e-17
1.380	4.6938049250e-10	2.1427938740e-17
1.390	4.9264524587e-10	2.2207893651e-17
1.400	5.1680925045e-10	2.3012960982e-17
1.410	5.4189733639e-10	2.3843928171e-17
1.420	5.6793474093e-10	2.4701369038e-17
1.430	5.9494711047e-10	2.5583246037e-17
1.440	6.2296050272e-10	2.6493095170e-17
1.450	6.5200138878e-10	2.7431785775e-17
1.460	6.8209665525e-10	2.8400219929e-17
1.470	7.1327360634e-10	2.9399334273e-17
1.480	7.4555996596e-10	3.0430101015e-17
1.490	7.7898387985e-10	3.1493532235e-17
1.500	8.1357391764e-10	3.2590678986e-17
1.510	8.4935907500e-10	3.3722636881e-17
1.520	8.8636877568e-10	3.4890546658e-17
1.530	9.2463287369e-10	3.6095597720e-17
1.540	9.6418165530e-10	3.7339032265e-17
1.550	1.0050458413e-09	3.8622145508e-17
1.560	1.0472565888e-09	3.9946293791e-17
1.570	1.0908454938e-09	4.1312893402e-17
1.580	1.1358445928e-09	4.2723430003e-17
1.590	1.1822863652e-09	4.4179457867e-17
1.600	1.2302037355e-09	4.5682609760e-17
1.610	1.2796300750e-09	4.7234597361e-17
1.620	1.3305992042e-09	4.8837221428e-17
1.630	1.3831453949e-09	5.0492375980e-17
1.640	1.4373033724e-09	5.2202054402e-17
1.650	1.4931083172e-09	5.3968357708e-17
1.660	1.5505958676e-09	5.5793504153e-17
1.670	1.6098021214e-09	5.7670741696e-17
1.680	1.6707636385e-09	5.9609157468e-17
1.690	1.7335174423e-09	6.1613633355e-17
1.700	1.7981010227e-09	6.3686947847e-17
1.710	1.8645523374e-09	6.5832054943e-17
1.720	1.9329098145e-09	6.8052087725e-17
1.730	2.0032123545e-09	7.0350383248e-17
1.740	2.0754993323e-09	7.2730496147e-17
1.750	2.1498105996e-09	7.5196217311e-17
1.760	2.2261864865e-09	7.7751597437e-17
1.770	2.3046678044e-09	8.0400966900e-17
1.780	2.3852958473e-09	8.3148960936e-17
1.790	2.4681123944e-09	8.6000581514e-17
1.800	2.5531597123e-09	8.8950317529e-17
1.810	2.6404805566e-09	9.1973036305e-17
1.820	2.7301181746e-09	9.5109386620e-17
1.830	2.8221163070e-09	9.8365244233e-17
1.840	2.9165191905e-09	1.0174693448e-16
1.850	3.0133715592e-09	1.0526101864e-16
1.860	3.1127186474e-09	1.0891475287e-16
1.870	3.2146061915e-09	1.1271656551e-16
1.880	3.3190804318e-09	1.1667514379e-16
1.890	3.4261881151e-09	1.2079993667e-16
1.900	3.5359764966e-09	1.2510125516e-16
1.910	3.6484933420e-09	1.2959037082e-16
1.920	3.7637869297e-09	1.3427964110e-16
1.930	3.8819060527e-09	1.3918265606e-16
1.940	4.0029000210e-09	1.4431440276e-16
1.950	4.1268186637e-09	1.4969146433e-16
1.960	4.2537123308e-09	1.5533224603e-16
1.970	4.3836318956e-09	1.6122619528e-16
1.980	4.5166287569e-09	1.6733743188e-16
1.990	4.6527548406e-09	1.7364870636e-16
2.000	4.7920626024e-09	1.8027877577e-16
2.010	4.9346050297e-09	1.8680624018e-16
2.020	5.0804356435e-09	1.9343284417e-16
2.030	5.2296085008e-09	2.0035177238e-16
2.040	5.3821781965e-09	2.0745855484e-16
2.050	5.5381998655e-09	2.1447224151e-16
2.060	5.6977291851e-09	2.2176720990e-16
2.070	5.8608223767e-09	2.2936082768e-16
2.080	6.0275362081e-09	2.3727276473e-16
2.090	6.1979279955e-09	2.4527558049e-16
2.100	6.3720556058e-09	2.5308485129e-16
2.110	6.5499774584e-09	2.6121673787e-16
2.120	6.7317525275e-09	2.6965115417e-16
2.130	6.9174403441e-09	2.7822606750e-16
2.140	7.1071009980e-09	2.8645642455e-16
2.150	7.3007951401e-09	2.9491116746e-16
2.160	7.4985839843e-09	3.0255925969e-16
2.170	7.7005293095e-09	3.1038786866e-16
2.180	7.9066934620e-09	3.1840044489e-16
2.190	8.1171393571e-09	3.2660067844e-16
2.200	8.3319304817e-09	3.3499261755e-16
2.210	8.5511308959e-09	3.4358188745e-16
2.220	8.7748052353e-09	3.5136252579e-16
2.230	9.0030187130e-09	3.5910663032e-16
2.240	9.2358371216e-09	3.6592152294e-16
2.250	9.4733268353e-09	3.7269416635e-16
2.260	9.7155548121e-09	3.7958054286e-16
2.270	9.9625885955e-09	3.8658164585e-16
2.280	1.0214496317e-08	3.9287011624e-16
2.290	1.0471346697e-08	3.9881333988e-16
2.300	1.0733209049e-08	4.0486741481e-16
2.310	1.1000153280e-08	4.1103235417e-16
2.320	1.1272249815e-08	1.1027501857e-14
2.330	1.1549569906e-08	1.1026706174e-14
2.340	1.1832185179e-08	1.1025917778e-14
2.350	1.2120167935e-08	1.1025145048e-14
2.360	1.2413591082e-08	1.1024396199e-14
2.370	1.2712528131e-08	1.1023679206e-14
2.380	1.3017053203e-08	1.1023001890e-14
2.390	1.3327241027e-08	1.1022371865e-14
2.400	1.3643166944e-08	1.1021796553e-14
2.410	1.3964906912e-08	1.1021283220e-14
2.420	1.4292537501e-08	1.1020838954e-14
2.430	1.4626135901e-08	1.1020470637e-14
2.440	1.4965779922e-08	1.1020185018e-14
2.450	1.5311547995e-08	1.1019988693e-14
2.460	1.5663519174e-08	1.1019888083e-14
2.470	1.6021773141e-08	1.1019889521e-14
2.480	1.6386390205e-08	1.1016407847e-14
2.490	1.6757451304e-08	1.1011417184e-14
2.500	1.7135038007e-08	1.1006621817e-14
2.510	1.7519232519e-08	1.1002025926e-14
2.520	1.7910117678e-08	1.0997633450e-14
2.530	1.8307776961e-08	1.0993448247e-14
2.540	1.8712294484e-08	1.0989474111e-14
2.550	1.9123755004e-08	1.0985714762e-14
2.560	1.9542243923e-08	1.0982173816e-14
2.570	1.9967847286e-08	1.0978854854e-14
2.580	2.0400651786e-08	1.0975761395e-14
2.590	2.0840744765e-08	1.0972896886e-14
2.600	2.1288214216e-08	1.0970259561e-14
2.610	2.1743148785e-08	1.0967849240e-14
2.620	2.2205637772e-08	1.0965676462e-14
