cal_S_function with E_thr = 4.5 MeV
T[MeV]	cal_S	cal_S_error
1.910	3.5304855527e-50	1.5197895343e-57
1.920	3.6587716987e-50	1.5286821230e-57
1.930	3.7909465245e-50	1.5388706037e-57
1.940	3.9271049935e-50	1.5503702073e-57
1.950	4.0673438397e-50	1.5632111205e-57
1.960	4.2117615907e-50	1.5773872809e-57
1.970	4.3604585907e-50	1.5929080928e-57
1.980	4.5135370235e-50	1.6095304001e-57
1.990	4.6711009361e-50	1.6269778858e-57
2.000	4.8332562622e-50	1.6458187290e-57
2.010	5.0001108456e-50	1.6660697007e-57
2.020	5.1717744641e-50	1.6877491291e-57
2.030	5.3483588538e-50	1.7108769443e-57
2.040	5.5299777327e-50	1.7354747185e-57
2.050	5.7167468253e-50	1.7615655878e-57
2.060	5.9087838872e-50	1.7891744130e-57
2.070	6.1062087292e-50	1.8183277231e-57
2.080	6.3091432427e-50	1.8490538422e-57
2.090	6.5177114239e-50	1.8813828761e-57
2.100	6.7320393996e-50	1.9153468417e-57
2.110	6.9522554520e-50	1.9509797118e-57
2.120	7.1784900440e-50	1.9883174946e-57
2.130	7.4108758453e-50	2.0273982991e-57
2.140	7.6495477575e-50	2.0682625202e-57
2.150	7.8946429403e-50	2.1109518898e-57
2.160	8.1463008373e-50	2.1555111938e-57
2.170	8.4046632025e-50	2.2019891494e-57
2.180	8.6698741264e-50	2.2504363324e-57
2.190	8.9420800625e-50	2.3009062388e-57
2.200	9.2214298540e-50	2.3534554776e-57
2.210	9.5080747606e-50	2.4081441670e-57
2.220	9.8021684854e-50	2.4650358414e-57
2.230	1.0103867202e-49	2.5241980868e-57
2.240	1.0413329582e-49	2.5855688804e-57
2.250	1.0730716823e-49	2.6487987032e-57
2.260	1.1056192673e-49	2.7144305577e-57
2.270	1.1389923463e-49	2.7825403522e-57
2.280	1.1732078133e-49	2.8532086222e-57
2.290	1.2082828256e-49	2.9265208345e-57
2.300	1.2442348073e-49	3.0025679252e-57
2.310	1.2810814518e-49	3.0814466483e-57
2.320	1.3188407244e-49	3.1632601951e-57
2.330	1.3575308656e-49	3.2481187386e-57
2.340	1.3971703938e-49	3.3361400327e-57
2.350	1.4377781083e-49	3.4274502832e-57
2.360	1.4793730920e-49	3.5221848800e-57
2.370	1.5219747143e-49	3.6204894053e-57
2.380	1.5656026344e-49	3.7225207626e-57
2.390	1.6102768041e-49	3.8284471743e-57
2.400	1.6560174706e-49	3.9384511372e-57
2.410	1.7028451794e-49	4.0527326907e-57
2.420	1.7507807780e-49	4.1715078988e-57
2.430	1.7998454180e-49	4.2943449141e-57
2.440	1.8500605587e-49	4.4207991907e-57
2.450	1.9014479702e-49	4.5513932352e-57
2.460	1.9540297360e-49	4.6870857666e-57
2.470	2.0078282564e-49	4.8227116067e-57
2.480	2.0628662519e-49	4.9604637309e-57
2.490	2.1191667654e-49	5.1029574939e-57
2.500	2.1767531664e-49	5.2503985630e-57
2.510	2.2356491533e-49	5.3987826424e-57
2.520	2.2958787571e-49	5.5496435682e-57
2.530	2.3574663441e-49	5.7052785149e-57
2.540	2.4204366197e-49	5.8658694251e-57
2.550	2.4848146309e-49	6.0316095190e-57
2.560	2.5506257699e-49	6.2027053599e-57
2.570	2.6178957775e-49	6.3697753171e-57
2.580	2.6866507460e-49	6.5409979991e-57
2.590	2.7569171225e-49	6.7170468316e-57
2.600	2.8287217123e-49	6.8980756096e-57
2.610	2.9020916822e-49	7.0842462405e-57
2.620	2.9770545637e-49	7.2674897872e-57
2.630	3.0536382564e-49	7.4525052501e-57
2.640	3.1318710313e-49	7.6345572472e-57
2.650	3.2117815340e-49	7.8138045665e-57
2.660	3.2933987884e-49	7.9967502230e-57
2.670	3.3767521998e-49	8.1834559617e-57
2.680	3.4618715583e-49	8.3739849304e-57
2.690	3.5487870423e-49	8.5684022390e-57
2.700	3.6375292220e-49	8.7667742473e-57
2.710	3.7281290626e-49	8.9691686737e-57
2.720	3.8206179279e-49	9.1720612673e-57
2.730	3.9150275837e-49	9.3654140800e-57
2.740	4.0113902013e-49	9.5474398565e-57
2.750	4.1097383611e-49	9.7294063721e-57
2.760	4.2101050559e-49	9.9141903783e-57
2.770	4.3125236945e-49	1.0101816476e-56
2.780	4.4170281052e-49	1.0292309901e-56
2.790	4.5236525396e-49	1.0485696982e-56
2.800	4.6324316756e-49	1.0677849305e-56
2.810	4.7434006217e-49	1.0858015018e-56
2.820	4.8565949199e-49	1.1040804303e-56
2.830	4.9720505498e-49	1.1226283129e-56
2.840	5.0898039318e-49	1.1414039791e-56
2.850	5.2098919313e-49	1.1604012878e-56
2.860	5.3323518616e-49	1.1796494191e-56
2.870	5.4572214882e-49	1.1966258056e-56
2.880	5.5845390321e-49	1.2130573817e-56
2.890	5.7143431735e-49	1.2297849081e-56
2.900	5.8466730558e-49	1.2468063332e-56
2.910	5.9815682889e-49	1.2637817155e-56
2.920	6.1190689532e-49	1.2799065812e-56
2.930	6.2592156031e-49	1.2963521776e-56
2.940	6.4020492712e-49	1.3131146204e-56
2.950	6.5476114714e-49	1.3294194912e-56
2.960	6.6959442031e-49	1.3457387976e-56
2.970	6.8470899551e-49	1.3621246489e-56
2.980	7.0010917090e-49	1.3784055260e-56
