T[MeV]	f_value	f_error
1.000	0.7809125972	3.8e-11
1.010	0.7832931616	3.8e-11
1.020	0.7857340277	3.8e-11
1.030	0.7882324374	3.6e-11
1.040	0.7907857794	3.6e-11
1.050	0.7933915798	3.5e-11
1.060	0.7960474936	3.5e-11
1.070	0.7987512959	3.5e-11
1.080	0.8015008753	3.3e-11
1.090	0.8042942260	3.3e-11
1.100	0.8071294420	3.2e-11
1.110	0.8100047107	3.2e-11
1.120	0.8129183075	3.1e-11
1.130	0.8158685907	3.1e-11
1.140	0.8188539961	3.1e-11
1.150	0.8218730334	3.1e-11
1.160	0.8249242812	2.9e-11
1.170	0.8280063833	2.8e-11
1.180	0.8311180452	2.8e-11
1.190	0.8342580307	2.8e-11
1.200	0.8374251583	2.8e-11
1.210	0.8406182987	2.8e-11
1.220	0.8438363716	2.6e-11
1.230	0.8470783433	2.6e-11
1.240	0.8503432241	2.6e-11
1.250	0.8536300660	2.6e-11
1.260	0.8569379606	2.5e-11
1.270	0.8602660371	2.5e-11
1.280	0.8636134603	2.4e-11
1.290	0.8669794285	2.4e-11
1.300	0.8703631725	2.4e-11
1.310	0.8737639532	2.4e-11
1.320	0.8771810609	2.4e-11
1.330	0.8806138131	2.4e-11
1.340	0.8840615536	2.2e-11
1.350	0.8875236513	2.2e-11
1.360	0.8909994987	2.2e-11
1.370	0.8944885111	2.2e-11
1.380	0.8979901251	2.1e-11
1.390	0.9015037983	2.1e-11
1.400	0.9050290074	2.1e-11
1.410	0.9085652482	2.1e-11
1.420	0.9121120343	2.1e-11
1.430	0.9156688961	2.1e-11
1.440	0.9192353806	2.1e-11
1.450	0.9228110502	2.0e-11
1.460	0.9263954822	2.0e-11
1.470	0.9299882683	1.9e-11
1.480	0.9335890135	1.9e-11
1.490	0.9371973361	1.9e-11
1.500	0.9408128667	2.0e-11
1.510	0.9444352481	1.9e-11
1.520	0.9480641341	1.9e-11
1.530	0.9516991899	1.9e-11
1.540	0.9553400910	1.9e-11
1.550	0.9589865230	1.9e-11
1.560	0.9626381813	1.9e-11
1.570	0.9662947704	1.9e-11
1.580	0.9699560039	1.7e-11
1.590	0.9736216037	1.8e-11
1.600	0.9772913002	1.8e-11
1.610	0.9809648316	1.8e-11
1.620	0.9846419437	1.8e-11
1.630	0.9883223895	1.7e-11
1.640	0.9920059292	1.7e-11
1.650	0.9956923296	1.7e-11
1.660	0.9993813643	1.6e-11
1.670	1.0030728128	1.6e-11
1.680	1.0067664609	1.6e-11
1.690	1.0104621001	1.6e-11
1.700	1.0141595277	1.6e-11
1.710	1.0178585460	1.6e-11
1.720	1.0215589630	1.6e-11
1.730	1.0252605915	1.6e-11
1.740	1.0289632492	1.6e-11
1.750	1.0326667584	1.6e-11
1.760	1.0363709461	1.6e-11
1.770	1.0400756435	1.6e-11
1.780	1.0437806863	1.6e-11
1.790	1.0474859141	1.5e-11
1.800	1.0511911705	1.6e-11
1.810	1.0548963029	1.6e-11
1.820	1.0586011625	1.5e-11
1.830	1.0623056040	1.5e-11
1.840	1.0660094857	1.5e-11
1.850	1.0697126690	1.5e-11
1.860	1.0734150190	1.5e-11
1.870	1.0771164036	1.5e-11
1.880	1.0808166939	1.4e-11
1.890	1.0845157639	1.3e-11
1.900	1.0882134908	1.4e-11
1.910	1.0919097541	1.4e-11
1.920	1.0956044365	1.5e-11
1.930	1.0992974231	1.4e-11
1.940	1.1029886016	1.3e-11
1.950	1.1066778621	1.4e-11
1.960	1.1103650975	1.3e-11
1.970	1.1140502025	1.3e-11
1.980	1.1177330747	1.4e-11
1.990	1.1214136134	1.3e-11
2.000	1.1250917205	1.3e-11
2.010	1.1287672998	1.3e-11
2.020	1.1324402571	1.3e-11
2.030	1.1361105004	1.3e-11
2.040	1.1397779397	1.3e-11
2.050	1.1434424865	1.3e-11
2.060	1.1471040547	1.4e-11
2.070	1.1507625596	1.2e-11
2.080	1.1544179186	1.4e-11
2.090	1.1580700506	1.2e-11
2.100	1.1617188762	1.2e-11
2.110	1.1653643178	1.4e-11
2.120	1.1690062993	1.1e-11
2.130	1.1726447462	1.1e-11
2.140	1.1762795854	1.2e-11
2.150	1.1799107457	1.2e-11
2.160	1.1835381568	1.2e-11
2.170	1.1871617504	1.3e-11
2.180	1.1907814592	1.1e-11
2.190	1.1943972174	1.1e-11
2.200	1.1980089606	1.2e-11
2.210	1.2016166258	1.1e-11
2.220	1.2052201510	1.1e-11
2.230	1.2088194757	1.1e-11
2.240	1.2124145406	1.3e-11
2.250	1.2160052875	1.1e-11
2.260	1.2195916596	1.1e-11
2.270	1.2231736010	1.1e-11
2.280	1.2267510571	1.1e-11
2.290	1.2303239744	1.0e-11
2.300	1.2338923005	1.1e-11
2.310	1.2374559840	1.1e-11
2.320	1.2410149747	1.1e-11
2.330	1.2445692233	1.1e-11
2.340	1.2481186815	1.1e-11
2.350	1.2516633022	1.1e-11
2.360	1.2552030391	1.1e-11
2.370	1.2587378467	1.3e-10
2.380	1.2622676809	1.2e-10
2.390	1.2657924982	1.2e-10
2.400	1.2693122559	1.2e-10
2.410	1.2728269126	1.2e-10
2.420	1.2763364275	1.2e-10
2.430	1.2798407606	1.3e-10
2.440	1.2833398730	1.3e-10
2.450	1.2868337263	1.3e-10
2.460	1.2903222833	1.3e-10
2.470	1.2938055073	1.3e-10
2.480	1.2972833626	1.3e-10
2.490	1.3007558141	1.2e-10
2.500	1.3042228276	1.2e-10
2.510	1.3076843696	1.2e-10
2.520	1.3111404073	1.2e-10
2.530	1.3145909088	1.2e-10
2.540	1.3180358427	1.2e-10
2.550	1.3214751784	1.2e-10
2.560	1.3249088861	1.2e-10
2.570	1.3283369364	1.2e-10
2.580	1.3317593009	1.2e-10
2.590	1.3351759516	1.2e-10
2.600	1.3385868614	1.2e-10
2.610	1.3419920036	1.2e-10
2.620	1.3453913522	1.2e-10
2.630	1.3487848821	1.2e-10
2.640	1.3521725683	1.2e-10
2.650	1.3555543869	1.2e-10
2.660	1.3589303142	1.2e-10
2.670	1.3623003274	1.2e-10
2.680	1.3656644040	1.2e-10
2.690	1.3690225223	1.2e-10
2.700	1.3723746610	1.2e-10
2.710	1.3757207995	1.2e-10
2.720	1.3790609177	1.2e-10
2.730	1.3823949958	1.2e-10
2.740	1.3857230149	1.2e-10
2.750	1.3890449563	1.1e-10
2.760	1.3923608020	1.1e-10
2.770	1.3956705345	1.1e-10
2.780	1.3989741368	1.1e-10
2.790	1.4022715922	1.1e-10
2.800	1.4055628847	1.1e-10
2.810	1.4088479987	1.1e-10
2.820	1.4121269191	1.1e-10
2.830	1.4153996311	1.1e-10
2.840	1.4186661206	1.1e-10
2.850	1.4219263738	1.1e-10
2.860	1.4251803774	1.1e-10
2.870	1.4284281186	1.1e-10
2.880	1.4316695847	1.1e-10
2.890	1.4349047638	1.1e-10
2.900	1.4381336443	1.1e-10
2.910	1.4413562150	1.1e-10
2.920	1.4445724650	1.1e-10
2.930	1.4477823840	1.1e-10
2.940	1.4509859620	1.1e-10
2.950	1.4541831893	1.1e-10
2.960	1.4573740566	1.1e-10
2.970	1.4605585552	1.1e-10
2.980	1.4637366766	1.1e-10
2.990	1.4669084125	1.1e-10
3.000	1.4700737553	1.1e-10
3.010	1.4732326975	1.1e-10
3.020	1.4763852321	1.1e-10
3.030	1.4795313524	1.1e-10
3.040	1.4826710520	1.1e-10
3.050	1.4858043249	1.1e-10
3.060	1.4889311653	1.1e-10
3.070	1.4920515679	1.1e-10
3.080	1.4951655276	1.1e-10
3.090	1.4982730397	1.1e-10
3.100	1.5013740998	1.1e-10
3.110	1.5044687037	1.0e-10
3.120	1.5075568476	1.0e-10
3.130	1.5106385281	1.0e-10
3.140	1.5137137418	1.0e-10
3.150	1.5167824859	1.0e-10
3.160	1.5198447577	1.0e-10
3.170	1.5229005549	1.0e-10
3.180	1.5259498753	1.0e-10
3.190	1.5289927172	1.0e-10
3.200	1.5320290790	1.0e-10
3.210	1.5350589595	1.0e-10
3.220	1.5380823575	1.0e-10
3.230	1.5410992724	1.0e-10
3.240	1.5441097037	1.0e-10
3.250	1.5471136511	1.0e-10
3.260	1.5501111146	1.0e-10
3.270	1.5531020944	1.0e-10
3.280	1.5560865911	1.0e-10
3.290	1.5590646053	1.0e-10
3.300	1.5620361380	1.0e-10
3.310	1.5650011903	1.0e-10
3.320	1.5679597637	1.0e-10
3.330	1.5709118598	1.0e-10
3.340	1.5738574804	1.0e-10
3.350	1.5767966276	1.0e-10
3.360	1.5797293036	1.0e-10
3.370	1.5826555109	1.0e-10
3.380	1.5855752523	9.9e-11
3.390	1.5884885306	9.9e-11
3.400	1.5913953488	9.9e-11
3.410	1.5942957103	9.9e-11
3.420	1.5971896185	9.9e-11
3.430	1.6000770772	9.8e-11
3.440	1.6029580901	9.8e-11
3.450	1.6058326612	9.8e-11
3.460	1.6087007949	9.8e-11
3.470	1.6115624955	9.8e-11
3.480	1.6144177676	9.8e-11
3.490	1.6172666159	9.7e-11
3.500	1.6201090453	9.7e-11
3.510	1.6229450609	9.7e-11
3.520	1.6257746680	9.7e-11
3.530	1.6285978720	9.7e-11
3.540	1.6314146784	9.7e-11
3.550	1.6342250930	9.6e-11
3.560	1.6370291217	9.6e-11
3.570	1.6398267704	9.6e-11
3.580	1.6426180454	9.6e-11
3.590	1.6454029530	9.6e-11
3.600	1.6481814997	9.6e-11
3.610	1.6509536921	9.6e-11
3.620	1.6537195369	9.5e-11
3.630	1.6564790411	9.5e-11
3.640	1.6592322116	9.5e-11
3.650	1.6619790556	9.5e-11
3.660	1.6647195804	9.5e-11
3.670	1.6674537935	9.5e-11
3.680	1.6701817024	9.5e-11
3.690	1.6729033147	9.4e-11
3.700	1.6756186382	9.4e-11
3.710	1.6783276809	9.4e-11
3.720	1.6810304507	9.4e-11
3.730	1.6837269559	9.4e-11
3.740	1.6864172047	9.4e-11
3.750	1.6891012053	9.4e-11
3.760	1.6917789664	9.3e-11
3.770	1.6944504965	9.3e-11
3.780	1.6971158043	9.3e-11
3.790	1.6997748986	9.3e-11
3.800	1.7024277883	9.3e-11
3.810	1.7050744823	9.3e-11
3.820	1.7077149898	9.3e-11
3.830	1.7103493200	9.3e-11
3.840	1.7129774821	9.2e-11
3.850	1.7155994855	9.2e-11
3.860	1.7182153397	9.2e-11
3.870	1.7208250542	9.2e-11
3.880	1.7234286387	9.2e-11
3.890	1.7260261028	9.2e-11
3.900	1.7286174565	9.2e-11
3.910	1.7312027096	9.2e-11
3.920	1.7337818721	9.1e-11
3.930	1.7363549540	9.1e-11
3.940	1.7389219655	9.1e-11
3.950	1.7414829167	9.1e-11
3.960	1.7440378180	9.1e-11
3.970	1.7465866797	9.1e-11
3.980	1.7491295122	9.1e-11
3.990	1.7516663260	9.1e-11
4.000	1.7541971318	9.0e-11
4.010	1.7567219400	9.0e-11
4.020	1.7592407614	9.0e-11
4.030	1.7617536068	9.0e-11
4.040	1.7642604869	9.0e-11
4.050	1.7667614127	9.0e-11
4.060	1.7692563951	9.0e-11
4.070	1.7717454451	9.0e-11
4.080	1.7742285738	9.0e-11
4.090	1.7767057923	9.0e-11
4.100	1.7791771116	8.9e-11
4.110	1.7816425432	8.9e-11
4.120	1.7841020981	8.9e-11
4.130	1.7865557879	8.9e-11
4.140	1.7890036237	8.9e-11
4.150	1.7914456171	8.9e-11
4.160	1.7938817795	8.9e-11
4.170	1.7963121224	8.9e-11
4.180	1.7987366574	8.9e-11
4.190	1.8011553961	8.8e-11
4.200	1.8035683501	8.8e-11
4.210	1.8059755312	8.8e-11
4.220	1.8083769509	8.8e-11
4.230	1.8107726212	8.8e-11
4.240	1.8131625538	8.8e-11
4.250	1.8155467605	8.8e-11
4.260	1.8179252533	8.8e-11
4.270	1.8202980440	8.8e-11
4.280	1.8226651445	8.8e-11
4.290	1.8250265669	8.8e-11
4.300	1.8273823232	8.7e-11
4.310	1.8297324254	8.7e-11
4.320	1.8320768856	8.7e-11
4.330	1.8344157158	8.7e-11
4.340	1.8367489283	8.7e-11
4.350	1.8390765350	8.7e-11
4.360	1.8413985484	8.7e-11
4.370	1.8437149804	8.7e-11
4.380	1.8460258435	8.7e-11
4.390	1.8483311498	8.7e-11
4.400	1.8506309115	8.7e-11
4.410	1.8529251411	8.6e-11
4.420	1.8552138508	8.6e-11
4.430	1.8574970529	8.6e-11
4.440	1.8597747599	8.6e-11
4.450	1.8620469841	8.6e-11
4.460	1.8643137378	8.6e-11
4.470	1.8665750336	8.6e-11
4.480	1.8688308838	8.6e-11
4.490	1.8710813009	8.6e-11
4.500	1.8733262973	8.6e-11
4.510	1.8755658855	8.6e-11
4.520	1.8778000780	8.6e-11
4.530	1.8800288873	8.5e-11
4.540	1.8822523260	8.5e-11
4.550	1.8844704064	8.5e-11
4.560	1.8866831412	8.5e-11
4.570	1.8888905429	8.5e-11
4.580	1.8910926240	8.5e-11
4.590	1.8932893972	8.5e-11
4.600	1.8954808749	8.5e-11
4.610	1.8976670698	8.5e-11
4.620	1.8998479944	8.5e-11
4.630	1.9020236613	8.5e-11
4.640	1.9041940832	8.5e-11
4.650	1.9063592725	8.5e-11
4.660	1.9085192420	8.4e-11
4.670	1.9106740041	8.4e-11
4.680	1.9128235716	8.4e-11
4.690	1.9149679570	8.4e-11
4.700	1.9171071730	8.4e-11
4.710	1.9192412321	8.4e-11
4.720	1.9213701469	8.4e-11
4.730	1.9234939302	8.4e-11
4.740	1.9256125944	8.4e-11
4.750	1.9277261522	8.4e-11
4.760	1.9298346163	8.4e-11
4.770	1.9319379991	8.4e-11
4.780	1.9340363134	8.4e-11
4.790	1.9361295718	8.4e-11
4.800	1.9382177867	8.3e-11
4.810	1.9403009709	8.3e-11
4.820	1.9423791370	8.3e-11
4.830	1.9444522974	8.3e-11
4.840	1.9465204648	8.3e-11
4.850	1.9485836518	8.3e-11
4.860	1.9506418709	8.3e-11
4.870	1.9526951348	8.3e-11
4.880	1.9547434559	8.3e-11
4.890	1.9567868468	8.3e-11
4.900	1.9588253200	8.3e-11
4.910	1.9608588882	8.3e-11
4.920	1.9628875638	8.3e-11
4.930	1.9649113593	8.3e-11
4.940	1.9669302872	8.3e-11
4.950	1.9689443601	8.2e-11
4.960	1.9709535904	8.2e-11
4.970	1.9729579906	8.2e-11
4.980	1.9749575732	8.2e-11
4.990	1.9769523506	8.2e-11
5.000	1.9789423352	8.2e-11
5.010	1.9809275396	8.2e-11
5.020	1.9829079761	8.2e-11
5.030	1.9848836571	8.2e-11
5.040	1.9868545950	8.2e-11
5.050	1.9888208023	8.2e-11
5.060	1.9907822912	8.2e-11
5.070	1.9927390741	8.2e-11
5.080	1.9946911634	8.2e-11
5.090	1.9966385714	8.2e-11
5.100	1.9985813105	8.2e-11
5.110	2.0005193928	8.2e-11
5.120	2.0024528307	8.1e-11
5.130	2.0043816364	8.1e-11
5.140	2.0063058223	8.1e-11
5.150	2.0082254005	8.1e-11
5.160	2.0101403832	8.1e-11
5.170	2.0120507827	8.1e-11
5.180	2.0139566111	8.1e-11
5.190	2.0158578807	8.1e-11
5.200	2.0177546035	8.1e-11
5.210	2.0196467917	8.1e-11
5.220	2.0215344574	8.1e-11
5.230	2.0234176127	8.1e-11
5.240	2.0252962697	8.1e-11
5.250	2.0271704404	8.1e-11
5.260	2.0290401369	8.1e-11
5.270	2.0309053712	8.1e-11
5.280	2.0327661554	8.1e-11
5.290	2.0346225013	8.1e-11
5.300	2.0364744210	8.0e-11
5.310	2.0383219264	8.0e-11
5.320	2.0401650295	8.0e-11
5.330	2.0420037421	8.0e-11
5.340	2.0438380761	8.0e-11
5.350	2.0456680434	8.0e-11
5.360	2.0474936558	8.0e-11
5.370	2.0493149252	8.0e-11
5.380	2.0511318634	8.0e-11
5.390	2.0529444821	8.0e-11
5.400	2.0547527931	8.0e-11
5.410	2.0565568082	8.0e-11
5.420	2.0583565390	8.0e-11
5.430	2.0601519973	8.0e-11
5.440	2.0619431947	8.0e-11
5.450	2.0637301429	8.0e-11
