T[MeV]	f_value	f_error
1.000	35.2090929387	5.3e-10
1.010	32.8156560688	5.4e-10
1.020	30.6393193797	5.5e-10
1.030	28.6565095590	5.5e-10
1.040	26.8465869630	5.6e-10
1.050	25.1914379701	5.6e-10
1.060	23.6751294781	5.6e-10
1.070	22.2836152819	5.6e-10
1.080	21.0044858895	5.6e-10
1.090	19.8267548080	5.6e-10
1.100	18.7406755302	5.6e-10
1.110	17.7375844344	5.6e-10
1.120	16.8097656119	5.5e-10
1.130	15.9503342950	5.5e-10
1.140	15.1531361030	5.4e-10
1.150	14.4126597699	5.4e-10
1.160	13.7239613910	5.3e-10
1.170	13.0825985311	5.2e-10
1.180	12.4845727964	5.1e-10
1.190	11.9262796847	5.0e-10
1.200	11.4044647064	4.9e-10
1.210	10.9161849224	4.8e-10
1.220	10.4587751665	4.7e-10
1.230	10.0298183317	7.8e-10
1.240	9.6271191828	4.5e-10
1.250	9.2486812406	7.5e-10
1.260	8.8926863413	4.3e-10
1.270	8.5574765340	4.1e-10
1.280	8.2415380218	4.0e-10
1.290	7.9434868952	3.9e-10
1.300	7.6620564377	3.7e-10
1.310	7.3960858136	3.6e-10
1.320	7.1445099734	3.5e-10
1.330	6.9063506326	3.4e-10
1.340	6.6807081989	4.6e-10
1.350	6.4667545376	5.5e-10
1.360	6.2637264807	3.0e-10
1.370	6.0709199940	2.9e-10
1.380	5.8876849313	2.7e-10
1.390	5.7134203075	2.6e-10
1.400	5.5475700373	2.5e-10
1.410	5.3896190868	2.4e-10
1.420	5.2390899947	2.3e-10
1.430	5.0955397242	2.2e-10
1.440	4.9585568104	2.1e-10
1.450	4.8277587732	2.0e-10
1.460	4.7027897680	1.9e-10
1.470	4.5833184502	1.8e-10
1.480	4.4690360324	1.7e-10
1.490	4.3596545139	1.6e-10
1.500	4.2549050677	1.5e-10
1.510	4.1545365669	1.4e-10
1.520	4.0583142400	1.3e-10
1.530	3.9660184400	1.2e-10
1.540	3.8774435186	1.2e-10
1.550	3.7923967943	1.1e-10
1.560	3.7106976067	1.0e-10
1.570	3.6321764485	9.6e-11
1.580	3.5566741678	8.9e-11
1.590	3.4840412353	8.3e-11
1.600	3.4141370696	7.8e-11
1.610	3.3468294165	7.2e-11
1.620	3.2819937763	6.7e-11
1.630	3.2195128761	6.2e-11
1.640	3.1592761824	5.7e-11
1.650	3.1011794514	5.3e-11
1.660	3.0451243122	4.8e-11
1.670	2.9910178825	4.4e-11
1.680	2.9387724122	4.0e-11
1.690	2.8883049529	3.7e-11
1.700	2.8395370520	3.4e-11
