T[MeV]	f_value	f_error
1.000	1.1994661962	7.5e-13
1.010	1.1847084937	7.2e-13
1.020	1.1706556323	6.8e-13
1.030	1.1572670629	6.5e-13
1.040	1.1445051349	6.1e-13
1.050	1.1323348507	5.8e-13
1.060	1.1207236433	5.5e-13
1.070	1.1096411763	5.1e-13
1.080	1.0990591622	4.8e-13
1.090	1.0889511978	4.5e-13
1.100	1.0792926147	4.2e-13
1.110	1.0700603441	4.0e-13
1.120	1.0612327927	3.7e-13
1.130	1.0527897305	3.4e-13
1.140	1.0447121883	3.2e-13
1.150	1.0369823636	3.0e-13
1.160	1.0295835353	2.7e-13
1.170	1.0224999851	2.5e-13
1.180	1.0157169255	2.3e-13
1.190	1.0092204343	2.1e-13
1.200	1.0029973938	2.0e-13
1.210	0.9970354352	1.8e-13
1.220	0.9913228874	1.7e-13
1.230	0.9858487302	1.5e-13
1.240	0.9806025502	1.4e-13
1.250	0.9755745016	1.3e-13
1.260	0.9707552684	1.2e-13
1.270	0.9661360305	1.1e-13
1.280	0.9617084321	1.0e-13
1.290	0.9574645524	9.6e-14
1.300	0.9533968782	9.3e-14
1.310	0.9494982790	9.2e-14
1.320	0.9457619834	9.0e-14
1.330	0.9421815576	9.0e-14
1.340	0.9387508847	9.0e-14
1.350	0.9354641466	9.0e-14
1.360	0.9323158061	9.0e-14
1.370	0.9293005904	9.1e-14
1.380	0.9264134765	9.2e-14
1.390	0.9236496764	9.3e-14
1.400	0.9210046242	9.3e-14
1.410	0.9184739636	9.4e-14
1.420	0.9160535363	9.5e-14
1.430	0.9137393713	9.7e-14
1.440	0.9115276747	9.7e-14
1.450	0.9094148199	9.8e-14
1.460	0.9073973393	9.9e-14
1.470	0.9054719154	1.0e-13
1.480	0.9036353732	1.0e-13
1.490	0.9018846730	1.0e-13
1.500	0.9002169029	1.0e-13
1.510	0.8986292729	1.0e-13
1.520	0.8971191086	1.0e-13
1.530	0.8956838454	1.0e-13
1.540	0.8943210227	1.0e-13
1.550	0.8930282797	1.1e-13
1.560	0.8918033495	1.1e-13
1.570	0.8906440555	1.1e-13
1.580	0.8895483065	1.1e-13
1.590	0.8885140927	1.1e-13
1.600	0.8875394824	1.1e-13
1.610	0.8866226175	1.1e-13
1.620	0.8857617109	1.1e-13
1.630	0.8849550429	1.1e-13
1.640	0.8842009581	1.1e-13
1.650	0.8834978625	1.1e-13
1.660	0.8828442209	1.1e-13
1.670	0.8822385543	1.1e-13
1.680	0.8816794373	1.1e-13
1.690	0.8811654956	1.1e-13
1.700	0.8806954042	1.1e-13
1.710	0.8802678851	1.1e-13
1.720	0.8798817052	1.1e-13
1.730	0.8795356743	1.1e-13
1.740	0.8792286437	1.1e-13
1.750	0.8789595040	1.1e-13
1.760	0.8787271840	1.1e-13
1.770	0.8785306486	1.1e-13
1.780	0.8783688976	1.0e-13
1.790	0.8782409643	1.0e-13
1.800	0.8781459140	1.0e-13
1.810	0.8780828428	1.0e-13
1.820	0.8780508767	1.0e-13
1.830	0.8780491696	1.0e-13
1.840	0.8780769032	1.0e-13
1.850	0.8781332852	1.0e-13
1.860	0.8782175487	1.0e-13
1.870	0.8783289508	9.9e-14
1.880	0.8784667722	9.9e-14
1.890	0.8786303160	9.9e-14
1.900	0.8788189069	9.8e-14
1.910	0.8790318904	9.7e-14
1.920	0.8792686322	9.7e-14
1.930	0.8795285170	9.7e-14
1.940	0.8798109485	9.6e-14
1.950	0.8801153479	9.5e-14
1.960	0.8804411540	9.5e-14
1.970	0.8807878222	9.4e-14
1.980	0.8811548237	9.4e-14
1.990	0.8815416455	9.3e-14
2.000	0.8819477895	9.2e-14
2.010	0.8823727718	9.2e-14
2.020	0.8828161227	9.1e-14
2.030	0.8832773858	9.1e-14
2.040	0.8837561177	8.9e-14
2.050	0.8842518875	8.9e-14
2.060	0.8847642764	8.8e-14
2.070	0.8852928774	8.8e-14
2.080	0.8858372947	8.7e-14
2.090	0.8863971435	8.6e-14
2.100	0.8869720494	8.6e-14
2.110	0.8875616484	8.5e-14
2.120	0.8881655864	8.4e-14
2.130	0.8887835187	8.3e-14
2.140	0.8894151099	8.3e-14
2.150	0.8900600336	8.2e-14
2.160	0.8907179719	8.1e-14
2.170	0.8913886156	8.1e-14
2.180	0.8920716634	8.0e-14
2.190	0.8927668217	7.9e-14
2.200	0.8934738049	7.8e-14
2.210	0.8941923345	7.8e-14
2.220	0.8949221392	7.7e-14
2.230	0.8956629547	7.6e-14
2.240	0.8964145233	7.6e-14
2.250	0.8971765939	7.5e-14
2.260	0.8979489216	7.5e-14
2.270	0.8987312678	8.8e-11
2.280	0.8995233997	8.6e-11
2.290	0.9003250903	8.3e-11
2.300	0.9011361181	8.1e-11
2.310	0.9019562670	7.9e-11
2.320	0.9027853264	7.7e-11
2.330	0.9036230906	7.5e-11
2.340	0.9044693589	7.3e-11
2.350	0.9053239354	7.2e-11
2.360	0.9061866288	7.0e-11
2.370	0.9070572526	6.8e-11
2.380	0.9079356243	6.6e-11
2.390	0.9088215660	6.5e-11
2.400	0.9097149039	6.3e-11
2.410	0.9106154681	6.1e-11
2.420	0.9115230929	6.0e-11
2.430	0.9124376161	5.8e-11
2.440	0.9133588793	5.7e-11
2.450	0.9142867280	5.6e-11
2.460	0.9152210108	5.4e-11
2.470	0.9161615799	5.3e-11
2.480	0.9171082909	5.2e-11
2.490	0.9180610025	5.0e-11
2.500	0.9190195766	4.9e-11
2.510	0.9199838781	4.8e-11
2.520	0.9209537749	4.7e-11
2.530	0.9219291378	4.6e-11
2.540	0.9229098405	4.4e-11
2.550	0.9238957594	4.3e-11
2.560	0.9248867734	4.2e-11
2.570	0.9258827643	4.1e-11
2.580	0.9268836163	4.0e-11
2.590	0.9278892159	3.9e-11
2.600	0.9288994522	3.8e-11
2.610	0.9299142167	3.7e-11
2.620	0.9309334030	3.7e-11
2.630	0.9319569070	3.6e-11
2.640	0.9329846268	3.5e-11
2.650	0.9340164626	3.4e-11
2.660	0.9350523166	3.3e-11
2.670	0.9360920931	3.2e-11
2.680	0.9371356983	3.2e-11
2.690	0.9381830404	3.1e-11
2.700	0.9392340292	3.0e-11
2.710	0.9402885767	2.9e-11
2.720	0.9413465964	2.9e-11
2.730	0.9424080035	2.8e-11
2.740	0.9434727151	2.7e-11
2.750	0.9445406499	2.7e-11
2.760	0.9456117280	2.6e-11
2.770	0.9466858713	2.5e-11
2.780	0.9477630031	2.5e-11
2.790	0.9488430483	2.4e-11
2.800	0.9499259330	2.4e-11
2.810	0.9510115852	2.3e-11
2.820	0.9520999338	2.2e-11
2.830	0.9531909094	2.2e-11
2.840	0.9542844437	2.1e-11
2.850	0.9553804698	2.1e-11
2.860	0.9564789221	2.0e-11
2.870	0.9575797361	2.0e-11
2.880	0.9586828488	1.9e-11
2.890	0.9597881980	1.9e-11
2.900	0.9608957229	1.8e-11
2.910	0.9620053637	1.8e-11
2.920	0.9631170619	1.8e-11
2.930	0.9642307599	1.7e-11
2.940	0.9653464011	1.7e-11
2.950	0.9664639302	1.6e-11
2.960	0.9675832927	1.6e-11
2.970	0.9687044350	1.6e-11
2.980	0.9698273047	1.5e-11
2.990	0.9709518503	1.5e-11
3.000	0.9720780210	1.4e-11
3.010	0.9732057672	1.4e-11
3.020	0.9743350400	1.4e-11
3.030	0.9754657914	1.3e-11
3.040	0.9765979743	1.3e-11
3.050	0.9777315424	1.3e-11
3.060	0.9788664500	1.2e-11
3.070	0.9800026527	1.2e-11
3.080	0.9811401064	1.2e-11
3.090	0.9822787679	1.2e-11
3.100	0.9834185948	1.1e-11
3.110	0.9845595455	1.1e-11
3.120	0.9857015789	1.1e-11
3.130	0.9868446548	1.0e-11
3.140	0.9879887336	1.0e-11
3.150	0.9891337764	9.9e-12
3.160	0.9902797448	9.6e-12
3.170	0.9914266013	9.4e-12
3.180	0.9925743090	9.2e-12
3.190	0.9937228313	8.9e-12
3.200	0.9948721326	8.7e-12
3.210	0.9960221777	8.5e-12
3.220	0.9971729320	8.3e-12
3.230	0.9983243616	8.0e-12
3.240	0.9994764328	7.8e-12
3.250	1.0006291130	7.6e-12
3.260	1.0017823697	7.4e-12
3.270	1.0029361710	7.2e-12
3.280	1.0040904857	7.1e-12
3.290	1.0052452829	6.9e-12
3.300	1.0064005324	6.7e-12
3.310	1.0075562043	6.5e-12
3.320	1.0087122694	6.3e-12
3.330	1.0098686986	6.2e-12
3.340	1.0110254637	6.0e-12
3.350	1.0121825367	5.8e-12
3.360	1.0133398900	5.7e-12
3.370	1.0144974967	5.5e-12
3.380	1.0156553301	5.4e-12
3.390	1.0168133639	5.2e-12
3.400	1.0179715724	5.1e-12
3.410	1.0191299302	4.9e-12
3.420	1.0202884122	4.8e-12
3.430	1.0214469939	4.7e-12
3.440	1.0226056510	4.5e-12
3.450	1.0237643598	4.4e-12
3.460	1.0249230967	4.3e-12
3.470	1.0260818386	4.2e-12
