T[MeV]	f_value	f_error
1.000	14.2261989104	1.8e-11
1.010	13.4542834234	9.2e-10
1.020	12.7426034969	1.9e-11
1.030	12.0853902918	1.9e-11
1.040	11.4775184051	2.0e-11
1.050	10.9144248310	2.1e-11
1.060	10.3920392147	2.2e-11
1.070	9.9067236837	2.3e-11
1.080	9.4552208208	2.4e-11
1.090	9.0346085771	2.5e-11
1.100	8.6422611119	2.6e-11
1.110	8.2758147103	2.7e-11
1.120	7.9331380569	2.8e-11
1.130	7.6123062573	2.9e-11
1.140	7.3115780890	3.0e-11
1.150	7.0293760441	3.0e-11
1.160	6.7642687862	3.1e-11
1.170	6.5149557024	4.8e-10
1.180	6.2802532763	3.0e-10
1.190	6.0590830452	1.7e-10
1.200	5.8504609405	7.3e-11
1.210	5.6534878361	3.4e-11
1.220	5.4673411547	8.1e-11
1.230	5.2912674015	1.5e-10
1.240	5.1245755127	2.3e-10
1.250	4.9666309212	3.1e-10
1.260	4.8168502542	3.9e-10
1.270	4.6746965881	4.7e-10
1.280	4.5396751969	3.4e-11
1.290	4.4113297374	3.4e-11
1.300	4.2892388210	3.3e-11
1.310	4.1730129296	3.3e-11
1.320	4.0622916378	3.3e-11
1.330	3.9567411062	3.3e-11
1.340	3.8560518184	3.3e-11
1.350	3.7599365350	3.2e-11
1.360	3.6681284401	3.2e-11
1.370	3.5803794631	3.2e-11
1.380	3.4964587546	3.1e-11
1.390	3.4161513030	3.1e-11
1.400	3.3392566755	3.0e-11
1.410	3.2655878727	3.0e-11
1.420	3.1949702848	2.9e-11
1.430	3.1272407389	2.9e-11
1.440	3.0622466295	2.8e-11
1.450	2.9998451236	2.8e-11
1.460	2.9399024336	2.7e-11
1.470	2.8822931506	2.7e-11
1.480	2.8268996349	2.6e-11
1.490	2.7736114548	2.6e-11
1.500	2.7223248729	2.5e-11
1.510	2.6729423730	2.5e-11
1.520	2.6253722251	2.4e-11
1.530	2.5795280850	2.3e-11
1.540	2.5353286255	2.3e-11
1.550	2.4926971955	2.2e-11
1.560	2.4515615066	2.2e-11
1.570	2.4118533423	2.1e-11
1.580	2.3735082904	2.0e-11
1.590	2.3364654943	2.0e-11
1.600	2.3006674236	1.9e-11
1.610	2.2660596610	1.9e-11
1.620	2.2325907054	1.8e-11
1.630	2.2002117881	1.7e-11
1.640	2.1688767035	1.7e-11
1.650	2.1385416506	1.6e-11
