T[MeV]	f_value	f_error
1.000	1764.5414327145	1.4e-07
1.010	1528.7514170006	1.1e-07
1.020	1329.2104425400	8.9e-08
1.030	1159.7163789890	7.2e-08
1.040	1015.2252292606	5.8e-08
1.050	891.6182328188	4.7e-08
1.060	785.5189167729	7.5e-08
1.070	694.1487561640	6.1e-08
1.080	615.2128131715	5.1e-08
1.090	546.8087559282	5.2e-08
1.100	487.3541878914	4.3e-08
1.110	435.5283770645	3.6e-08
1.120	390.2253551413	3.0e-08
1.130	350.5160293081	2.5e-08
1.140	315.6174653589	2.1e-08
1.150	284.8678981217	1.8e-08
1.160	257.7063324612	1.5e-08
1.170	233.6558366655	1.3e-08
1.180	212.3098159315	1.1e-08
1.190	193.3206990874	9.3e-09
1.200	176.3905858710	8.0e-09
1.210	161.2634920427	6.8e-09
1.220	147.7189007410	1.4e-08
1.230	135.5663849209	1.2e-08
1.240	124.6411106307	1.1e-08
1.250	114.8000667498	9.1e-09
1.260	105.9188955468	9.4e-09
1.270	97.8892214992	7.2e-09
1.280	90.6163944295	6.0e-09
1.290	84.0175780475	5.2e-09
1.300	78.0201271870	4.6e-09
1.310	72.5602069333	4.0e-09
1.320	67.5816149185	3.5e-09
1.330	63.0347746658	3.1e-09
1.340	58.8758732761	2.7e-09
1.350	55.0661211950	2.4e-09
1.360	51.5711154621	2.1e-09
1.370	48.3602908667	1.9e-09
1.380	45.4064459391	1.7e-09
1.390	42.6853327788	1.5e-09
1.400	40.1753014520	1.3e-09
1.410	37.8569911262	1.2e-09
1.420	35.7130613131	1.1e-09
1.430	33.7279575961	9.6e-10
1.440	31.8877070623	8.6e-10
1.450	30.1797393700	7.7e-10
1.460	28.5927299768	6.9e-10
1.470	27.1164625610	6.3e-10
1.480	25.7417080925	5.6e-10
1.490	24.4601183719	5.1e-10
1.500	23.2641321641	4.6e-10
1.510	22.1468923105	4.2e-10
1.520	21.1021724283	3.8e-10
1.530	20.1243119952	3.4e-10
1.540	19.2081587774	3.1e-10
1.550	18.3490177006	2.9e-10
1.560	17.5426053801	8.6e-10
1.570	16.7850096297	2.6e-10
1.580	16.0726533579	5.5e-10
1.590	15.4022623332	1.2e-09
1.600	14.7708363691	1.8e-10
1.610	14.1756235323	1.4e-09
1.620	13.6140970301	1.3e-09
1.630	13.0839344745	1.2e-09
1.640	12.5829992551	1.1e-09
1.650	12.1093237880	1.2e-09
1.660	11.6610944350	1.1e-09
1.670	11.2366379113	1.0e-09
