T[MeV]	f_value	f_error
0.600	104148920.7072952688	1.8e-03
0.610	62788650.7779019549	9.8e-04
0.620	38582380.1580640748	5.4e-04
0.630	24141421.7874424346	3.0e-04
0.640	15367857.3227628898	1.7e-04
0.650	9944325.7742357850	9.9e-05
0.660	6535912.2411897862	5.8e-05
0.670	4359974.6753905416	4.3e-04
0.680	2949890.3716019066	2.6e-04
0.690	2022958.8898727845	1.6e-04
0.700	1405268.1568949746	1.0e-04
0.710	988255.9448132835	6.3e-05
0.720	703200.5719256393	4.1e-05
0.730	506014.9933807356	2.6e-05
0.740	368052.0641359094	1.7e-05
0.750	270467.9352702584	1.2e-05
0.760	200720.9933053375	7.7e-06
0.770	150369.6849041060	5.2e-06
0.780	113670.5008185380	3.6e-06
0.790	86674.9641117558	2.5e-06
0.800	66641.4983999998	1.7e-06
0.810	51648.2519118260	1.2e-06
0.820	40335.5745302962	8.7e-07
0.830	31733.0251015670	6.2e-07
0.840	25142.0485908466	4.5e-07
0.850	20055.6739317567	3.3e-07
0.860	16103.0622148455	2.4e-07
0.870	13010.8869360340	1.8e-07
0.880	10576.2148391703	1.3e-07
0.890	8647.3108371010	9.8e-08
0.900	7109.9471598825	7.4e-08
0.910	5877.5658881103	5.6e-08
0.920	4884.1596265368	4.3e-08
0.930	4079.0835889935	3.3e-08
0.940	3423.2498043409	2.5e-08
0.950	2886.3171527656	2.0e-08
0.960	2444.6036670597	1.5e-08
0.970	2079.5260488981	1.2e-08
0.980	1776.4264168472	9.4e-09
0.990	1523.6851833233	7.4e-09
1.000	1312.0465884906	5.9e-09
1.010	1134.1031791167	1.1e-07
1.020	983.8997382396	8.5e-08
1.030	856.6274623623	6.8e-08
1.040	748.3866743636	5.5e-08
1.050	656.0018444310	4.5e-08
1.060	576.8767277894	3.7e-08
1.070	508.8804146368	3.0e-08
1.080	450.2573089041	2.5e-08
1.090	399.5557126331	3.9e-08
1.100	355.5709396388	3.2e-08
1.110	317.2998230028	2.7e-08
1.120	283.9041941824	2.8e-08
1.130	254.6814546091	1.9e-08
1.140	229.0407759789	2.0e-08
1.150	206.4837844002	1.6e-08
1.160	186.5888295439	1.4e-08
1.170	168.9981303793	1.2e-08
1.180	153.4072371134	9.9e-09
1.190	139.5563644489	8.5e-09
1.200	127.2232417299	7.2e-09
1.210	116.2171966399	6.2e-09
1.220	106.3742451943	5.3e-09
1.230	97.5530051543	4.5e-09
1.240	89.6312852384	3.9e-09
1.250	82.5032305920	8.1e-09
1.260	76.0769274230	7.0e-09
1.270	70.2723877145	6.1e-09
1.280	65.0198493991	5.3e-09
1.290	60.2583390595	4.6e-09
1.300	55.9344536681	4.6e-09
1.310	52.0013255436	4.8e-09
1.320	48.4177409383	3.1e-09
1.330	45.1473877617	2.7e-09
1.340	42.1582121025	2.4e-09
1.350	39.4218666308	2.1e-09
1.360	36.9132367628	1.9e-09
1.370	34.6100327894	1.7e-09
1.380	32.4924380778	1.5e-09
1.390	30.5428050394	1.3e-09
1.400	28.7453918735	1.2e-09
1.410	27.0861341876	1.0e-09
1.420	25.5524465085	9.2e-10
1.430	24.1330494612	8.3e-10
1.440	22.8178190299	7.4e-10
1.450	21.5976548525	6.6e-10
1.460	20.4643649504	6.0e-10
1.470	19.4105646752	5.4e-10
1.480	18.4295879753	4.8e-10
1.490	17.5154093553	4.4e-10
1.500	16.6625751348	3.9e-10
1.510	15.8661428031	3.6e-10
1.520	15.1216274390	3.2e-10
1.530	14.4249543010	2.9e-10
1.540	13.7724168185	2.7e-10
1.550	13.1606393145	9.5e-10
1.560	12.5865438833	3.0e-10
1.570	12.0473209178	4.1e-10
1.580	11.5404028512	9.2e-10
1.590	11.0634407312	1.7e-10
1.600	10.6142832936	1.5e-10
1.610	10.1909582476	1.4e-10
1.620	9.7916555148	1.3e-10
1.630	9.4147122031	1.2e-10
1.640	9.0585991183	9.0e-10
1.650	8.7219086413	8.3e-10
1.660	8.4033438221	7.6e-10
1.670	8.1017085555	7.0e-10
1.680	7.8158987225	7.6e-10
1.690	7.5448941938	7.0e-10
1.700	7.2877516027	6.5e-10
1.710	7.0435978082	6.0e-10
1.720	6.8116239752	5.6e-10
1.730	6.5910802081	5.2e-10
1.740	6.3812706815	4.8e-10
1.750	6.1815492184	4.5e-10
1.760	5.9913152688	4.1e-10
1.770	5.8100102513	3.8e-10
1.780	5.6371142208	3.6e-10
1.790	5.4721428300	3.3e-10
1.800	5.3146445572	3.1e-10
1.810	5.1641981746	5.0e-10
1.820	5.0204104334	4.7e-10
1.830	4.8829139471	4.4e-10
1.840	4.7513652518	4.1e-10
1.850	4.6254430305	3.8e-10
1.860	4.5048464829	3.6e-10
1.870	4.3892938297	3.3e-10
1.880	4.2785209392	3.1e-10
1.890	4.1722800637	2.9e-10
1.900	4.0703386775	2.8e-10
1.910	3.9724784069	2.6e-10
1.920	3.8784940447	2.4e-10
1.930	3.7881926404	2.3e-10
1.940	3.7013926623	2.2e-10
1.950	3.6179232223	2.0e-10
1.960	3.5376233603	1.9e-10
