T[MeV]	f_value	f_error
2.140	1.0098772582	7.9e-11
2.150	1.0061949112	7.2e-11
2.160	1.0026065730	6.5e-11
2.170	0.9991097805	5.9e-11
2.180	0.9957021520	5.4e-11
2.190	0.9923813835	4.9e-11
2.200	0.9891452457	4.5e-11
2.210	0.9859915818	4.2e-11
2.220	0.9829183035	3.9e-11
2.230	0.9799233895	3.8e-11
2.240	0.9770048822	3.7e-11
2.250	0.9741608855	3.6e-11
2.260	0.9713895625	3.6e-11
2.270	0.9686891332	3.6e-11
2.280	0.9660578725	3.6e-11
2.290	0.9634941079	3.7e-11
2.300	0.9609962180	3.7e-11
2.310	0.9585626302	3.8e-11
2.320	0.9561918189	3.9e-11
2.330	0.9538823044	4.0e-11
2.340	0.9516326505	4.1e-11
2.350	0.9494414633	4.2e-11
2.360	0.9473073899	4.3e-11
2.370	0.9452291163	4.4e-11
2.380	0.9432053670	4.6e-11
2.390	0.9412349025	4.8e-11
2.400	0.9393165192	5.0e-11
2.410	0.9374490473	5.2e-11
2.420	0.9356313500	5.5e-11
2.430	0.9338623224	5.7e-11
2.440	0.9321408904	5.9e-11
2.450	0.9304660095	6.1e-11
2.460	0.9288366640	6.3e-11
2.470	0.9272518660	6.5e-11
2.480	0.9257106543	6.7e-11
2.490	0.9242120937	6.9e-11
2.500	0.9227552744	7.0e-11
2.510	0.9213393105	7.2e-11
2.520	0.9199633399	7.4e-11
2.530	0.9186265232	7.5e-11
2.540	0.9173280428	7.7e-11
2.550	0.9160671027	7.9e-11
2.560	0.9148429275	8.0e-11
2.570	0.9136547617	8.1e-11
2.580	0.9125018693	8.3e-11
2.590	0.9113835330	8.4e-11
2.600	0.9102990538	8.5e-11
2.610	0.9092477501	8.6e-11
2.620	0.9082289577	8.7e-11
2.630	0.9072420288	8.9e-11
2.640	0.9062863316	8.9e-11
2.650	0.9053612501	9.0e-11
2.660	0.9044661833	3.5e-11
2.670	0.9036005448	3.6e-11
2.680	0.9027637627	3.6e-11
2.690	0.9019552786	3.6e-11
2.700	0.9011745476	3.7e-11
2.710	0.9004210381	3.7e-11
2.720	0.8996942308	3.7e-11
2.730	0.8989936188	3.7e-11
2.740	0.8983187071	3.8e-11
2.750	0.8976690124	3.8e-11
2.760	0.8970440625	3.8e-11
2.770	0.8964433963	3.8e-11
2.780	0.8958665632	3.8e-11
2.790	0.8953131229	3.9e-11
2.800	0.8947826454	3.9e-11
2.810	0.8942747101	3.9e-11
2.820	0.8937889062	3.9e-11
2.830	0.8933248320	3.9e-11
2.840	0.8928820948	3.9e-11
2.850	0.8924603107	3.9e-11
2.860	0.8920591042	3.9e-11
2.870	0.8916781081	4.0e-11
2.880	0.8913169634	4.0e-11
2.890	0.8909753188	4.0e-11
2.900	0.8906528305	4.0e-11
2.910	0.8903491625	4.0e-11
2.920	0.8900639856	4.0e-11
2.930	0.8897969781	4.0e-11
2.940	0.8895478248	4.0e-11
2.950	0.8893162173	4.0e-11
2.960	0.8891018538	4.0e-11
2.970	0.8889044388	4.0e-11
2.980	0.8887236828	4.0e-11
2.990	0.8885593027	4.0e-11
3.000	0.8884110209	4.0e-11
3.010	0.8882785657	4.0e-11
3.020	0.8881616710	4.0e-11
3.030	0.8880600762	4.0e-11
3.040	0.8879735257	3.9e-11
3.050	0.8879017695	3.9e-11
3.060	0.8878445624	3.9e-11
3.070	0.8878016642	3.9e-11
3.080	0.8877728393	3.9e-11
3.090	0.8877578572	3.9e-11
3.100	0.8877564916	3.9e-11
3.110	0.8877685209	3.9e-11
3.120	0.8877937276	3.9e-11
3.130	0.8878318989	3.9e-11
3.140	0.8878828256	3.9e-11
3.150	0.8879463030	3.9e-11
3.160	0.8880221301	3.8e-11
3.170	0.8881101099	3.8e-11
3.180	0.8882100491	3.8e-11
3.190	0.8883217581	3.8e-11
3.200	0.8884450511	8.8e-11
3.210	0.8885797454	8.8e-11
3.220	0.8887256622	8.7e-11
3.230	0.8888826257	8.7e-11
3.240	0.8890504636	8.6e-11
3.250	0.8892290067	8.6e-11
3.260	0.8894180890	8.5e-11
3.270	0.8896175475	8.5e-11
3.280	0.8898272223	8.4e-11
3.290	0.8900469564	8.4e-11
3.300	0.8902765956	8.3e-11
3.310	0.8905159885	8.3e-11
3.320	0.8907649865	8.2e-11
3.330	0.8910234437	8.2e-11
3.340	0.8912912168	8.1e-11
3.350	0.8915681650	8.0e-11
3.360	0.8918541500	8.0e-11
3.370	0.8921490362	7.9e-11
3.380	0.8924526901	7.9e-11
3.390	0.8927649807	7.8e-11
3.400	0.8930857792	7.8e-11
3.410	0.8934149592	7.7e-11
3.420	0.8937523965	7.7e-11
3.430	0.8940979688	7.6e-11
3.440	0.8944515562	7.6e-11
3.450	0.8948130408	7.5e-11
3.460	0.8951823066	7.4e-11
3.470	0.8955592398	7.4e-11
3.480	0.8959437283	7.3e-11
3.490	0.8963356620	7.3e-11
3.500	0.8967349328	7.2e-11
3.510	0.8971414343	7.2e-11
3.520	0.8975550618	7.1e-11
3.530	0.8979757124	7.1e-11
3.540	0.8984032851	7.0e-11
3.550	0.8988376804	7.0e-11
3.560	0.8992788005	6.9e-11
3.570	0.8997265491	6.9e-11
3.580	0.9001808317	6.8e-11
3.590	0.9006415552	6.8e-11
3.600	0.9011086280	6.7e-11
3.610	0.9015819602	6.7e-11
3.620	0.9020614630	6.6e-11
3.630	0.9025470494	6.6e-11
3.640	0.9030386336	6.5e-11
3.650	0.9035361312	6.5e-11
3.660	0.9040394592	6.4e-11
3.670	0.9045485359	6.4e-11
3.680	0.9050632808	6.3e-11
3.690	0.9055836149	6.3e-11
3.700	0.9061094602	6.2e-11
3.710	0.9066407401	6.2e-11
3.720	0.9071773791	6.1e-11
3.730	0.9077193030	6.1e-11
3.740	0.9082664387	6.0e-11
3.750	0.9088187141	6.0e-11
3.760	0.9093760584	5.9e-11
3.770	0.9099384018	5.9e-11
3.780	0.9105056756	5.8e-11
3.790	0.9110778122	5.8e-11
3.800	0.9116547449	5.7e-11
3.810	0.9122364082	5.7e-11
3.820	0.9128227374	5.7e-11
3.830	0.9134136689	5.6e-11
3.840	0.9140091400	5.6e-11
3.850	0.9146090891	5.5e-11
3.860	0.9152134553	5.5e-11
3.870	0.9158221787	5.4e-11
3.880	0.9164352004	5.4e-11
3.890	0.9170524621	5.4e-11
3.900	0.9176739067	5.3e-11
3.910	0.9182994777	5.3e-11
3.920	0.9189291196	5.2e-11
3.930	0.9195627775	5.2e-11
3.940	0.9202003976	5.2e-11
3.950	0.9208419265	5.1e-11
3.960	0.9214873120	5.1e-11
3.970	0.9221365023	5.1e-11
3.980	0.9227894466	5.0e-11
3.990	0.9234460947	5.0e-11
4.000	0.9241063971	4.9e-11
4.010	0.9247703052	4.9e-11
4.020	0.9254377707	4.9e-11
4.030	0.9261087465	4.8e-11
4.040	0.9267831857	4.8e-11
4.050	0.9274610425	4.8e-11
4.060	0.9281422713	4.7e-11
4.070	0.9288268275	4.7e-11
4.080	0.9295146669	4.7e-11
4.090	0.9302057461	4.6e-11
4.100	0.9309000222	4.6e-11
4.110	0.9315974528	4.6e-11
4.120	0.9322979963	4.5e-11
4.130	0.9330016115	4.5e-11
4.140	0.9337082579	4.5e-11
4.150	0.9344178954	4.5e-11
4.160	0.9351304847	4.4e-11
4.170	0.9358459868	4.4e-11
4.180	0.9365643632	4.4e-11
4.190	0.9372855763	4.3e-11
4.200	0.9380095885	4.3e-11
4.210	0.9387363631	4.3e-11
4.220	0.9394658637	4.1e-11
4.230	0.9401980544	4.2e-11
4.240	0.9409328999	4.2e-11
4.250	0.9416703653	4.2e-11
4.260	0.9424104161	4.1e-11
4.270	0.9431530183	4.1e-11
4.280	0.9438981385	4.1e-11
4.290	0.9446457434	4.1e-11
4.300	0.9453958005	4.0e-11
4.310	0.9461482776	4.0e-11
4.320	0.9469031428	4.0e-11
4.330	0.9476603647	4.0e-11
4.340	0.9484199125	3.9e-11
4.350	0.9491817554	3.9e-11
4.360	0.9499458634	3.9e-11
4.370	0.9507122066	3.9e-11
4.380	0.9514807557	3.8e-11
4.390	0.9522514816	3.8e-11
4.400	0.9530243557	3.8e-11
4.410	0.9537993497	3.8e-11
4.420	0.9545764356	3.7e-11
4.430	0.9553555860	3.7e-11
4.440	0.9561367736	3.7e-11
4.450	0.9569199714	3.7e-11
4.460	0.9577051531	3.6e-11
4.470	0.9584922923	3.6e-11
4.480	0.9592813633	3.6e-11
4.490	0.9600723405	3.6e-11
4.500	0.9608651986	3.5e-11
4.510	0.9616599127	3.5e-11
4.520	0.9624564583	3.5e-11
4.530	0.9632548110	3.5e-11
4.540	0.9640549469	3.5e-11
4.550	0.9648568423	3.4e-11
4.560	0.9656604737	3.4e-11
4.570	0.9664658180	3.4e-11
4.580	0.9672728524	3.4e-11
4.590	0.9680815544	3.4e-11
4.600	0.9688919016	3.3e-11
4.610	0.9697038721	3.3e-11
4.620	0.9705174441	3.3e-11
4.630	0.9713325961	3.3e-11
4.640	0.9721493069	3.3e-11
4.650	0.9729675555	3.2e-11
4.660	0.9737873212	3.2e-11
4.670	0.9746085836	3.2e-11
4.680	0.9754313225	3.2e-11
4.690	0.9762555177	3.2e-11
4.700	0.9770811497	3.1e-11
4.710	0.9779081988	3.1e-11
4.720	0.9787366459	3.1e-11
4.730	0.9795664718	3.1e-11
4.740	0.9803976578	3.1e-11
4.750	0.9812301852	3.1e-11
4.760	0.9820640356	3.0e-11
4.770	0.9828991909	3.0e-11
4.780	0.9837356330	3.0e-11
4.790	0.9845733443	3.0e-11
4.800	0.9854123072	3.0e-11
4.810	0.9862525044	3.0e-11
4.820	0.9870939187	2.9e-11
4.830	0.9879365331	2.9e-11
4.840	0.9887803309	2.9e-11
4.850	0.9896252955	2.9e-11
4.860	0.9904714107	2.9e-11
4.870	0.9913186601	2.9e-11
4.880	0.9921670278	2.8e-11
4.890	0.9930164979	2.8e-11
4.900	0.9938670549	2.8e-11
4.910	0.9947186832	2.8e-11
4.920	0.9955713676	2.8e-11
4.930	0.9964250930	2.8e-11
4.940	0.9972798443	2.8e-11
4.950	0.9981356069	2.7e-11
4.960	0.9989923660	2.7e-11
4.970	0.9998501073	2.7e-11
4.980	1.0007088165	2.7e-11
4.990	1.0015684794	2.7e-11
5.000	1.0024290820	2.7e-11
5.010	1.0032906105	2.7e-11
5.020	1.0041530512	2.6e-11
5.030	1.0050163907	2.6e-11
5.040	1.0058806154	2.6e-11
5.050	1.0067457123	2.6e-11
5.060	1.0076116683	2.6e-11
5.070	1.0084784703	2.6e-11
5.080	1.0093461055	2.6e-11
5.090	1.0102145614	2.6e-11
5.100	1.0110838254	2.5e-11
5.110	1.0119538850	2.5e-11
5.120	1.0128247281	2.5e-11
5.130	1.0136963425	2.5e-11
5.140	1.0145687162	2.5e-11
5.150	1.0154418373	2.5e-11
5.160	1.0163156942	2.5e-11
5.170	1.0171902750	2.5e-11
5.180	1.0180655685	2.4e-11
5.190	1.0189415632	2.4e-11
5.200	1.0198182478	2.4e-11
5.210	1.0206956112	2.4e-11
5.220	1.0215736424	2.4e-11
5.230	1.0224523305	2.4e-11
5.240	1.0233316647	2.4e-11
5.250	1.0242116343	2.4e-11
5.260	1.0250922287	2.4e-11
5.270	1.0259734376	2.4e-11
5.280	1.0268552505	2.3e-11
5.290	1.0277376572	2.3e-11
5.300	1.0286206476	2.3e-11
5.310	1.0295042116	2.3e-11
5.320	1.0303883393	2.3e-11
5.330	1.0312730209	2.3e-11
5.340	1.0321582466	2.3e-11
5.350	1.0330440069	2.3e-11
5.360	1.0339302922	2.3e-11
5.370	1.0348170930	2.3e-11
5.380	1.0357044001	2.2e-11
5.390	1.0365922041	2.2e-11
5.400	1.0374804960	2.2e-11
5.410	1.0383692667	2.2e-11
5.420	1.0392585072	2.2e-11
5.430	1.0401482086	2.2e-11
5.440	1.0410383622	2.2e-11
5.450	1.0419289592	2.2e-11
5.460	1.0428199910	2.2e-11
5.470	1.0437114492	2.2e-11
5.480	1.0446033252	2.2e-11
5.490	1.0454956107	2.1e-11
5.500	1.0463882974	2.1e-11
5.510	1.0472813772	2.1e-11
5.520	1.0481748418	2.1e-11
5.530	1.0490686834	2.1e-11
5.540	1.0499628939	2.1e-11
5.550	1.0508574654	2.1e-11
5.560	1.0517523901	2.1e-11
5.570	1.0526476604	2.1e-11
5.580	1.0535432685	2.1e-11
5.590	1.0544392069	2.1e-11
5.600	1.0553354680	2.1e-11
5.610	1.0562320445	2.1e-11
5.620	1.0571289290	2.0e-11
5.630	1.0580261142	2.0e-11
5.640	1.0589235928	2.0e-11
5.650	1.0598213578	2.0e-11
5.660	1.0607194020	2.0e-11
5.670	1.0616177184	2.0e-11
5.680	1.0625163001	2.0e-11
5.690	1.0634151401	2.0e-11
5.700	1.0643142318	2.0e-11
5.710	1.0652135682	2.0e-11
5.720	1.0661131428	2.0e-11
5.730	1.0670129489	2.0e-11
5.740	1.0679129799	2.0e-11
5.750	1.0688132293	2.0e-11
5.760	1.0697136907	2.0e-11
5.770	1.0706143577	2.0e-11
5.780	1.0715152240	1.9e-11
5.790	1.0724162833	1.9e-11
5.800	1.0733175294	1.9e-11
5.810	1.0742189562	1.9e-11
5.820	1.0751205575	1.9e-11
5.830	1.0760223274	1.9e-11
5.840	1.0769242598	1.9e-11
5.850	1.0778263489	1.9e-11
5.860	1.0787285887	1.9e-11
5.870	1.0796309734	1.9e-11
5.880	1.0805334973	1.9e-11
5.890	1.0814361547	1.9e-11
5.900	1.0823389398	1.9e-11
5.910	1.0832418472	1.9e-11
5.920	1.0841448711	1.9e-11
5.930	1.0850480062	1.9e-11
5.940	1.0859512470	1.9e-11
5.950	1.0868545880	1.9e-11
5.960	1.0877580240	1.9e-11
5.970	1.0886615495	1.9e-11
5.980	1.0895651593	1.9e-11
5.990	1.0904688482	1.9e-11
6.000	1.0913726111	1.9e-11
