T[MeV]	f_value	f_error
0.600	148.6764848727	6.0e-10
0.610	126.3247917229	3.5e-09
0.620	108.0534393423	8.4e-09
0.630	93.0114346996	2.6e-10
0.640	80.5445940907	2.2e-10
0.650	70.1460110384	1.9e-10
0.660	61.4199136340	5.9e-09
0.670	54.0550613105	4.5e-09
0.680	47.8049998149	3.4e-09
0.690	42.4732895499	2.6e-09
0.700	37.9023703903	2.0e-09
0.710	33.9651065620	1.5e-09
0.720	30.5583217342	1.1e-09
0.730	27.5978228093	8.4e-10
0.740	25.0145450540	6.3e-10
0.750	22.7515475270	4.7e-10
0.760	20.7616574268	3.5e-10
0.770	19.0056127354	2.6e-10
0.780	17.4505897745	1.9e-10
0.790	16.0690297884	1.4e-10
0.800	14.8376991126	1.0e-10
0.810	13.7369327747	7.2e-11
0.820	12.7500228792	5.1e-11
0.830	11.8627218348	3.6e-11
0.840	11.0628371054	2.5e-11
0.850	10.3398992374	1.7e-11
0.860	9.6848888127	1.2e-11
0.870	9.0900109903	6.9e-10
0.880	8.5485086386	4.5e-10
0.890	8.0545068891	2.6e-10
0.900	7.6028833699	1.3e-10
0.910	7.1891595081	4.5e-11
0.920	6.8094091785	1.3e-11
0.930	6.4601816850	5.5e-11
0.940	6.1384366251	1.1e-10
0.950	5.8414886376	1.7e-10
0.960	5.5669603982	2.3e-10
0.970	5.3127425189	2.9e-10
0.980	5.0769592427	3.4e-10
0.990	4.8579390190	3.8e-10
1.000	4.6541891990	4.1e-10
1.010	4.4643742217	4.4e-10
1.020	4.2872967602	1.1e-11
1.030	4.1218813911	1.1e-11
1.040	3.9671604147	1.1e-11
1.050	3.8222615159	3.3e-10
1.060	3.6863970040	1.3e-10
1.070	3.5588544084	1.7e-11
1.080	3.4389882434	6.3e-11
1.090	3.3262127817	1.7e-10
1.100	3.2199957011	3.0e-10
1.110	3.1198524878	8.8e-12
1.120	3.0253414974	8.6e-12
1.130	2.9360595884	8.4e-12
1.140	2.8516382547	8.2e-12
1.150	2.7717401951	8.0e-12
1.160	2.6960562637	7.9e-12
1.170	2.6243027563	7.8e-12
1.180	2.5562189908	7.6e-12
1.190	2.4915651468	7.5e-12
1.200	2.4301203331	7.4e-12
1.210	2.3716808577	7.3e-12
1.220	2.3160586755	7.2e-12
1.230	2.2630799947	2.2e-10
1.240	2.2125840227	2.0e-10
1.250	2.1644218368	1.8e-10
1.260	2.1184553663	1.7e-10
1.270	2.0745564727	1.6e-10
1.280	2.0326061183	1.4e-10
1.290	1.9924936135	1.3e-10
1.300	1.9541159349	1.2e-10
1.310	1.9173771060	1.1e-10
1.320	1.8821876353	9.8e-11
1.330	1.8484640044	8.8e-11
1.340	1.8161282026	8.0e-11
1.350	1.7851073023	7.1e-11
1.360	1.7553330717	6.4e-11
1.370	1.7267416212	5.7e-11
1.380	1.6992730796	5.1e-11
1.390	1.6728712983	4.5e-11
1.400	1.6474835799	3.9e-11
1.410	1.6230604293	3.5e-11
1.420	1.5995553257	3.0e-11
1.430	1.5769245125	2.6e-11
1.440	1.5551268045	2.3e-11
1.450	1.5341234102	1.9e-11
1.460	1.5138777684	1.7e-11
1.470	1.4943553972	1.4e-11
1.480	1.4755237548	1.2e-11
1.490	1.4573521110	1.0e-11
1.500	1.4398114284	8.5e-12
1.510	1.4228742525	7.2e-12
1.520	1.4065146097	6.1e-12
1.530	1.3907079136	5.4e-12
1.540	1.3754308767	5.0e-12
1.550	1.3606614301	5.3e-12
1.560	1.3463786479	5.8e-12
1.570	1.3325626771	6.4e-12
1.580	1.3191946726	7.1e-12
1.590	1.3062567368	7.8e-12
1.600	1.2937318629	8.5e-12
1.610	1.2816038828	9.2e-12
1.620	1.2698574178	9.8e-12
1.630	1.2584778330	1.0e-11
1.640	1.2474511945	1.1e-11
1.650	1.2367642301	1.2e-11
1.660	1.2264042911	1.2e-11
1.670	1.2163593183	1.3e-11
1.680	1.2066178093	1.3e-11
1.690	1.1971687873	1.4e-11
1.700	1.1880017734	1.4e-11
1.710	1.1791067591	1.5e-11
1.720	1.1704741815	1.5e-11
1.730	1.1620948997	1.5e-11
1.740	1.1539601725	1.6e-11
1.750	1.1460616374	1.6e-11
1.760	1.1383912917	1.6e-11
1.770	1.1309414732	1.6e-11
1.780	1.1237048437	1.6e-11
1.790	1.1166743721	1.6e-11
1.800	1.1098433193	1.7e-11
1.810	1.1032052237	1.7e-11
1.820	1.0967538877	1.7e-11
1.830	1.0904833644	1.7e-11
1.840	1.0843879460	1.7e-11
1.850	1.0784621520	1.7e-11
1.860	1.0727007183	1.7e-11
1.870	1.0670985873	1.6e-11
1.880	1.0616508980	1.0e-10
1.890	1.0563529768	9.9e-11
1.900	1.0512003290	9.5e-11
1.910	1.0461886304	9.0e-11
1.920	1.0413137199	8.6e-11
1.930	1.0365715918	8.2e-11
1.940	1.0319583888	7.8e-11
1.950	1.0274703959	7.4e-11
1.960	1.0231040336	7.1e-11
1.970	1.0188558519	6.7e-11
1.980	1.0147225253	6.4e-11
1.990	1.0107008468	6.1e-11
2.000	1.0067877232	5.8e-11
2.010	1.0029801698	5.5e-11
2.020	0.9992753065	5.2e-11
2.030	0.9956703528	5.0e-11
2.040	0.9921626239	4.7e-11
2.050	0.9887495267	4.5e-11
2.060	0.9854285563	4.3e-11
2.070	0.9821972917	4.0e-11
2.080	0.9790533933	3.8e-11
2.090	0.9759945989	3.7e-11
2.100	0.9730187210	3.5e-11
2.110	0.9701236437	3.3e-11
2.120	0.9673073198	3.1e-11
2.130	0.9645677683	3.0e-11
2.140	0.9619030717	2.8e-11
2.150	0.9593113737	2.7e-11
2.160	0.9567908765	2.5e-11
2.170	0.9543398388	2.4e-11
2.180	0.9519565739	2.3e-11
2.190	0.9496394472	2.1e-11
2.200	0.9473868745	2.0e-11
2.210	0.9451973200	1.9e-11
2.220	0.9430692946	1.8e-11
