T[MeV]	f_value	f_error
0.600	1.0184717171	8.6e-11
0.610	0.9969274990	7.7e-11
0.620	0.9773133802	9.6e-11
0.630	0.9594414049	8.7e-11
0.640	0.9431463698	7.9e-11
0.650	0.9282825956	7.2e-11
0.660	0.9147212177	6.6e-11
0.670	0.9023479047	6.0e-11
0.680	0.8910609280	5.6e-11
0.690	0.8807695243	5.1e-11
0.700	0.8713924994	4.7e-11
0.710	0.8628570360	4.4e-11
0.720	0.8550976697	4.1e-11
0.730	0.8480554095	3.8e-11
0.740	0.8416769774	3.5e-11
0.750	0.8359141509	3.3e-11
0.760	0.8307231922	3.1e-11
0.770	0.8260643508	2.9e-11
0.780	0.8219014305	2.7e-11
0.790	0.8182014089	2.5e-11
0.800	0.8149341054	2.4e-11
0.810	0.8120718875	2.2e-11
0.820	0.8095894136	2.1e-11
0.830	0.8074634046	2.0e-11
0.840	0.8056724424	1.9e-11
0.850	0.8041967908	1.8e-11
0.860	0.8030182362	7.7e-11
0.870	0.8021199465	7.3e-11
0.880	0.8014863441	7.0e-11
0.890	0.8011029930	6.6e-11
0.900	0.8009564979	6.3e-11
0.910	0.8010344127	6.0e-11
0.920	0.8013251595	5.8e-11
0.930	0.8018179549	5.5e-11
0.940	0.8025027435	5.3e-11
0.950	0.8033701384	5.0e-11
0.960	0.8044113670	4.8e-11
0.970	0.8056182217	4.6e-11
0.980	0.8069830158	4.4e-11
0.990	0.8084985430	4.3e-11
1.000	0.8101580405	4.1e-11
1.010	0.8119551557	3.9e-11
1.020	0.8138839157	7.9e-11
1.030	0.8159386993	7.6e-11
1.040	0.8181142116	7.4e-11
1.050	0.8204054606	7.1e-11
1.060	0.8228077360	6.9e-11
1.070	0.8253165893	6.6e-11
1.080	0.8279278162	6.4e-11
1.090	0.8306374397	8.2e-11
1.100	0.8334416947	7.9e-11
1.110	0.8363370144	7.7e-11
1.120	0.8393200172	7.4e-11
1.130	0.8423874946	7.2e-11
1.140	0.8455364000	7.0e-11
1.150	0.8487638388	6.8e-11
1.160	0.8520670589	6.6e-11
1.170	0.8554434417	6.4e-11
1.180	0.8588904939	6.2e-11
1.190	0.8624058402	6.0e-11
1.200	0.8659872163	5.8e-11
1.210	0.8696324620	5.7e-11
1.220	0.8733395153	5.5e-11
1.230	0.8771064071	5.4e-11
1.240	0.8809312551	5.2e-11
1.250	0.8848122597	5.1e-11
1.260	0.8887476989	5.0e-11
1.270	0.8927359241	4.9e-11
1.280	0.8967753561	4.7e-11
1.290	0.9008644816	4.6e-11
1.300	0.9050018491	4.5e-11
1.310	0.9091860661	4.4e-11
1.320	0.9134157958	4.3e-11
1.330	0.9176897542	4.2e-11
1.340	0.9220067073	4.1e-11
1.350	0.9263654689	4.0e-11
1.360	0.9307648978	3.9e-11
1.370	0.9352038954	3.9e-11
1.380	0.9396814043	3.8e-11
1.390	0.9441964056	3.7e-11
1.400	0.9487479171	3.6e-11
1.410	0.9533349920	3.5e-11
1.420	0.9579567165	3.5e-11
1.430	0.9626122088	3.4e-11
1.440	0.9673006175	3.3e-11
1.450	0.9720211199	3.3e-11
1.460	0.9767729210	3.2e-11
1.470	0.9815552518	3.2e-11
1.480	0.9863673687	3.1e-11
1.490	0.9912085521	3.0e-11
1.500	0.9960781049	3.0e-11
1.510	1.0009753523	2.9e-11
1.520	1.0058996402	2.9e-11
1.530	1.0108503345	2.8e-11
1.540	1.0158268204	2.8e-11
1.550	1.0208285013	2.7e-11
1.560	1.0258547982	2.7e-11
1.570	1.0309051489	2.6e-11
1.580	1.0359790072	2.6e-11
1.590	1.0410758425	1.0e-10
1.600	1.0461951391	1.0e-10
1.610	1.0513363951	9.9e-11
1.620	1.0564991227	9.7e-11
1.630	1.0616828468	9.6e-11
1.640	1.0668871053	9.4e-11
1.650	1.0721114477	9.3e-11
1.660	1.0773554355	9.2e-11
1.670	1.0826186411	9.0e-11
1.680	1.0879006477	8.9e-11
1.690	1.0932010489	8.8e-11
1.700	1.0985194482	8.6e-11
1.710	1.1038554586	8.5e-11
1.720	1.1092087024	8.4e-11
1.730	1.1145788105	8.3e-11
1.740	1.1199654228	8.2e-11
1.750	1.1253681871	8.1e-11
1.760	1.1307867592	8.0e-11
1.770	1.1362208027	7.9e-11
1.780	1.1416699884	7.8e-11
1.790	1.1471339943	7.7e-11
1.800	1.1526125054	7.6e-11
1.810	1.1581052132	7.5e-11
1.820	1.1636118158	7.4e-11
1.830	1.1691320173	7.3e-11
1.840	1.1746655280	7.2e-11
1.850	1.1802120638	7.1e-11
1.860	1.1857713464	7.0e-11
1.870	1.1913431030	7.0e-11
1.880	1.1969270658	6.9e-11
1.890	1.2025229722	6.8e-11
1.900	1.2081305647	6.7e-11
1.910	1.2137495904	6.6e-11
1.920	1.2193798010	6.6e-11
1.930	1.2250209529	6.5e-11
1.940	1.2306728068	6.4e-11
1.950	1.2363351274	6.4e-11
1.960	1.2420076838	6.3e-11
1.970	1.2476902489	6.2e-11
1.980	1.2533825996	6.2e-11
1.990	1.2590845164	6.1e-11
2.000	1.2647957836	6.0e-11
