T[MeV]	f_value	f_error
0.600	1762391361.2787411213	1.8e-01
0.610	996232439.9056552649	8.7e-02
0.620	575353009.5216978788	4.4e-02
0.630	339120290.9252678156	2.3e-02
0.640	203788154.9892985225	1.2e-02
0.650	124737633.3062178940	6.6e-03
0.660	77700273.4818843007	3.6e-03
0.670	49214234.2188589349	2.0e-03
0.680	31670910.2537083253	1.1e-03
0.690	20692394.2286212146	6.7e-04
0.700	13716360.7540830448	3.9e-04
0.710	9218496.0691826139	2.3e-04
0.720	6277773.0481184525	1.4e-04
0.730	4329343.1054378645	8.7e-05
0.740	3021829.0010915673	5.4e-05
0.750	2133649.4050230263	3.4e-05
0.760	1523237.5843135111	2.2e-05
0.770	1099009.0581663419	1.4e-05
0.780	800999.6324097407	9.1e-06
0.790	589493.7918878432	6.0e-06
0.800	437894.9310959866	4.0e-06
0.810	328201.9047324585	2.7e-06
0.820	248106.3072479953	1.8e-06
0.830	189109.2894399848	1.3e-06
0.840	145286.8847393479	8.7e-07
0.850	112472.2731740169	6.1e-07
0.860	87708.8749949815	4.3e-07
0.870	68881.1205000831	6.8e-06
0.880	54462.9033495148	4.9e-06
0.890	43344.7036357607	3.5e-06
0.900	34713.7707528769	2.5e-06
0.910	27970.4019346803	1.9e-06
0.920	22668.9806729742	1.4e-06
0.930	18476.1359333959	1.0e-06
0.940	15140.8320459602	1.5e-06
0.950	12472.8350508992	1.1e-06
0.960	10327.1028855664	1.0e-06
0.970	8592.3944067987	7.8e-07
0.980	7182.9034484486	6.0e-07
0.990	6032.0762303890	4.6e-07
1.000	5088.0146934690	3.5e-07
1.010	4310.0389389009	2.7e-07
1.020	3666.1019049231	3.3e-07
1.030	3130.8343009867	1.7e-07
1.040	2684.0582684646	1.3e-07
1.050	2309.6515449293	1.0e-07
1.060	1994.6751202320	2.0e-07
1.070	1728.6999950201	1.6e-07
1.080	1503.2851408771	1.3e-07
1.090	1311.5708443021	1.0e-07
1.100	1147.9605179246	8.3e-08
1.110	1007.8706532345	6.7e-08
1.120	887.5334935918	5.5e-08
1.130	783.8406735793	4.5e-08
1.140	694.2188258829	3.6e-08
1.150	616.5302362271	3.0e-08
1.160	548.9932032280	2.5e-08
1.170	490.1179602272	2.0e-08
1.180	438.6549338777	1.7e-08
1.190	393.5528188456	1.4e-08
1.200	353.9244911427	1.2e-08
1.210	319.0192029516	9.9e-09
1.220	288.1998283543	8.3e-09
1.230	260.9241840066	7.0e-09
1.240	236.7296480754	5.9e-09
1.250	215.2204572635	5.0e-09
1.260	196.0571850905	9.3e-09
1.270	178.9480021389	3.6e-09
1.280	163.6413963557	3.1e-09
1.290	149.9200931007	2.7e-09
