T[MeV]	f_value	f_error
1.000	5106.7078338494	2.4e-07
1.010	4355.3474719897	1.9e-07
1.020	3729.1644623258	3.6e-07
1.030	3205.1733559942	2.8e-07
1.040	2764.9633731234	2.2e-07
1.050	2393.7230245531	1.8e-07
1.060	2079.4855931411	1.4e-07
1.070	1812.5427210059	1.1e-07
1.080	1584.9865688772	9.2e-08
1.090	1390.3507733718	7.5e-08
1.100	1223.3276698949	6.1e-08
1.110	1079.5446491858	5.0e-08
1.120	955.3865620013	4.1e-08
1.130	847.8541327121	3.3e-08
1.140	754.4506463675	2.8e-08
1.150	673.0909238020	2.3e-08
1.160	602.0279344668	1.9e-08
1.170	539.7934195488	1.6e-08
1.180	485.1496848181	1.3e-08
1.190	437.0503304016	1.1e-08
1.200	394.6081559276	3.4e-08
1.210	357.0688462604	2.7e-08
1.220	323.7893295871	6.6e-09
1.230	294.2199242695	5.6e-09
1.240	267.8895676440	4.8e-09
1.250	244.3935595055	4.0e-09
1.260	223.3833635722	3.5e-09
1.270	204.5580980951	3.0e-09
1.280	187.6574168344	2.5e-09
1.290	172.4555376648	2.2e-09
1.300	158.7562210248	1.9e-09
1.310	146.3885366040	1.4e-08
1.320	135.2032858476	1.2e-08
1.330	125.0699715082	1.2e-08
1.340	115.8742246165	1.1e-08
1.350	107.5156148779	9.2e-09
1.360	99.9057832256	8.1e-09
1.370	92.9668456742	7.1e-09
1.380	86.6300261687	6.2e-09
1.390	80.8344831464	5.5e-09
1.400	75.5263003228	4.8e-09
1.410	70.6576169944	4.2e-09
1.420	66.1858771185	6.4e-09
1.430	62.0731797113	5.7e-09
1.440	58.2857158584	5.0e-09
1.450	54.7932798906	4.5e-09
1.460	51.5688442044	4.0e-09
1.470	48.5881887945	3.5e-09
1.480	45.8295779052	3.2e-09
1.490	43.2734773354	2.8e-09
1.500	40.9023068808	2.5e-09
1.510	38.7002231966	2.3e-09
1.520	36.6529290441	2.0e-09
1.530	34.7475054545	1.8e-09
1.540	32.9722638348	1.6e-09
1.550	31.3166154520	1.5e-09
1.560	29.7709560862	1.3e-09
1.570	28.3265639444	2.8e-09
1.580	26.9755091818	2.5e-09
1.590	25.7105736064	2.3e-09
1.600	24.5251793171	2.1e-09
1.610	23.4133252030	1.9e-09
1.620	22.3695303631	1.7e-09
1.630	21.3887836273	1.6e-09
1.640	20.4664984653	1.4e-09
1.650	19.5984726586	1.3e-09
1.660	18.7808521885	1.2e-09
1.670	18.0100988625	1.1e-09
1.680	17.2829612566	1.0e-09
1.690	16.5964486052	1.6e-09
1.700	15.9478073135	1.5e-09
1.710	15.3344998042	1.3e-09
1.720	14.7541854478	1.2e-09
1.730	14.2047033521	1.1e-09
1.740	13.6840568125	1.0e-09
1.750	13.1903992504	9.6e-10
1.760	12.7220214829	8.9e-10
1.770	12.2773401864	8.2e-10
1.780	11.8548874327	7.6e-10
1.790	11.4533011884	1.1e-09
1.800	11.0713166806	1.0e-09
1.810	10.7077585425	9.5e-10
1.820	10.3615336627	8.8e-10
1.830	10.0316246683	8.1e-10
1.840	9.7170839815	4.8e-10
1.850	9.4170283928	4.5e-10
1.860	9.1306341040	6.4e-10
1.870	8.8571321943	6.2e-10
1.880	8.5958044714	5.7e-10
1.890	8.3459796711	5.2e-10
1.900	8.1070299735	4.8e-10
1.910	7.8783678070	4.4e-10
1.920	7.6594429143	4.1e-10
1.930	7.4497396558	3.8e-10
1.940	7.2487745307	3.6e-10
1.950	7.0560938957	3.3e-10
1.960	6.8712718640	3.1e-10
1.970	6.6939083696	2.9e-10
1.980	6.5236273815	2.7e-10
1.990	6.3600752564	2.5e-10
2.000	6.2029192169	2.4e-10
2.010	6.0518459457	2.2e-10
2.020	5.9065602852	2.1e-10
2.030	5.7667840342	2.0e-10
2.040	5.6322548340	1.8e-10
2.050	5.5027251364	1.7e-10
2.060	5.3779612461	1.6e-10
2.070	5.2577424337	1.5e-10
2.080	5.1418601108	1.4e-10
2.090	5.0301170653	1.3e-10
2.100	4.9223267493	1.3e-10
2.110	4.8183126181	1.2e-10
2.120	4.7179075142	1.1e-10
2.130	4.6209530946	1.1e-10
2.140	4.5272992966	1.0e-10
2.150	4.4368038406	9.5e-11
2.160	4.3493317657	9.0e-11
2.170	4.2647549968	8.5e-11
2.180	4.1829519408	8.0e-11
2.190	4.1038071086	7.6e-11
2.200	4.0272107622	7.2e-11
2.210	3.9530585854	6.8e-11
2.220	3.8812513744	6.4e-11
2.230	3.8116947494	6.1e-11
2.240	3.7442988840	5.8e-11
2.250	3.6789782518	5.5e-11
2.260	3.6156513885	5.2e-11
2.270	3.5542406697	5.0e-11
2.280	3.4946721013	4.7e-11
2.290	3.4368751236	4.5e-11
2.300	3.3807824271	4.3e-11
2.310	3.3263297792	4.1e-11
2.320	3.2734558617	3.9e-11
2.330	3.2221021175	3.7e-11
2.340	3.1722126069	3.5e-11
2.350	3.1237338720	3.3e-11
2.360	3.0766148093	3.2e-11
2.370	3.0308065494	3.0e-11
2.380	2.9862623438	2.9e-11
2.390	2.9429374582	2.8e-11
2.400	2.9007890715	2.6e-11
2.410	2.8597761816	2.5e-11
2.420	2.8198595149	2.4e-11
2.430	2.7810014421	2.3e-11
2.440	2.7431658980	2.2e-11
2.450	2.7063183063	2.1e-11
2.460	2.6704255078	2.0e-11
2.470	2.6354556929	1.9e-11
2.480	2.6013783378	1.9e-11
2.490	2.5681641442	1.8e-11
2.500	2.5357849815	1.7e-11
2.510	2.5042138332	1.6e-11
2.520	2.4734247451	1.6e-11
2.530	2.4433927768	1.5e-11
2.540	2.4140939555	2.4e-10
2.550	2.3855052322	2.3e-10
2.560	2.3576044403	2.2e-10
2.570	2.3303702561	2.1e-10
2.580	2.3037821613	2.1e-10
2.590	2.2778204077	2.0e-10
2.600	2.2524659832	1.9e-10
2.610	2.2277005801	1.9e-10
2.620	2.2035065642	1.8e-10
2.630	2.1798669460	1.7e-10
2.640	2.1567653535	1.7e-10
2.650	2.1341860052	1.7e-10
2.660	2.1121136858	1.6e-10
2.670	2.0905337223	1.6e-10
2.680	2.0694319612	1.5e-10
2.690	2.0487947471	1.4e-10
2.700	2.0286089021	1.4e-10
2.710	2.0088617064	1.3e-10
2.720	1.9895408794	1.3e-10
2.730	1.9706345620	1.3e-10
2.740	1.9521312998	1.2e-10
2.750	1.9340200268	1.2e-10
2.760	1.9162900496	1.1e-10
2.770	1.8989310334	1.1e-10
2.780	1.8819329872	1.1e-10
2.790	1.8652862508	1.0e-10
2.800	1.8489814818	1.0e-10
2.810	1.8330096430	9.7e-11
2.820	1.8173619914	9.4e-11
2.830	1.8020300663	9.1e-11
2.840	1.7870056788	8.8e-11
2.850	1.7722809016	8.5e-11
2.860	1.7578480590	8.3e-11
2.870	1.7436997178	8.0e-11
2.880	1.7298286779	7.8e-11
