T[MeV]	f_value	f_error
0.600	6557.0835212481	5.8e-08
0.610	5076.4673411362	3.9e-08
0.620	3970.0113337378	2.6e-08
0.630	3134.5134340000	1.8e-08
0.640	2497.3599656561	1.2e-08
0.650	2006.8888922248	8.0e-09
0.660	1625.9541156195	5.4e-09
0.670	1327.5767524636	3.7e-09
0.680	1091.9735295999	2.5e-09
0.690	904.5043892640	1.7e-09
0.700	754.2404244728	1.2e-09
0.710	632.9548589796	8.4e-10
0.720	534.4054384164	6.0e-10
0.730	453.8194949046	4.4e-10
0.740	387.5212716054	3.4e-10
0.750	332.6599863020	2.7e-10
0.760	287.0098375767	2.4e-10
0.770	248.8218074248	2.2e-10
0.780	216.7130475677	2.1e-10
0.790	189.5837417229	2.2e-10
0.800	166.5541996821	2.3e-10
0.810	146.9169526037	2.4e-10
0.820	130.1000456609	2.6e-10
0.830	115.6387426087	2.8e-10
0.840	103.1535889830	3.1e-10
0.850	92.3333106163	3.3e-10
0.860	82.9214103225	3.6e-10
0.870	74.7056087961	3.8e-10
0.880	67.5094847277	4.1e-10
0.890	61.1858242430	4.3e-10
0.900	55.6113055738	4.6e-10
0.910	50.6822318009	4.8e-10
0.920	46.3110901311	5.0e-10
0.930	42.4237659590	5.3e-10
0.940	38.9572779332	5.5e-10
0.950	35.8579293448	5.7e-10
0.960	33.0797935630	5.9e-10
0.970	30.5834685704	6.0e-10
0.980	28.3350491221	6.2e-10
0.990	26.3052755570	6.4e-10
1.000	24.4688265301	6.5e-10
1.010	22.8037294102	6.6e-10
1.020	21.2908672116	6.7e-10
1.030	19.9135649844	6.8e-10
1.040	18.6572418224	9.7e-10
1.050	17.5091172285	1.5e-09
1.060	16.4579626478	7.0e-10
1.070	15.4938906435	7.0e-10
1.080	14.6081755360	7.0e-10
1.090	13.7931004144	7.0e-10
1.100	13.0418263118	6.9e-10
1.110	12.3482800602	6.9e-10
1.120	11.7070579273	6.8e-10
1.130	11.1133426212	6.7e-10
1.140	10.5628316470	6.6e-10
1.150	10.0516753257	5.0e-10
1.160	9.5764230564	3.7e-10
1.170	9.1339766280	6.3e-10
1.180	8.7215495733	6.2e-10
1.190	8.3366317111	6.0e-10
1.200	7.9769581554	5.9e-10
1.210	7.6404821772	5.8e-10
1.220	7.3253513948	5.6e-10
1.230	7.0298868485	5.4e-10
1.240	6.7525645756	5.2e-10
1.250	6.4919993606	5.1e-10
1.260	6.2469303788	4.9e-10
1.270	6.0162084918	4.7e-10
1.280	5.7987849875	4.5e-10
1.290	5.5937015832	4.3e-10
1.300	5.4000815384	4.1e-10
1.310	5.2171217401	4.0e-10
1.320	5.0440856454	3.8e-10
1.330	4.8802969792	3.6e-10
1.340	4.7251340975	3.4e-10
1.350	4.5780249396	3.3e-10
1.360	4.4384425022	3.1e-10
1.370	4.3059007748	2.9e-10
1.380	4.1799510856	2.8e-10
1.390	4.0601788117	2.6e-10
1.400	3.9462004145	2.4e-10
1.410	3.8376607637	2.3e-10
1.420	3.7342307197	2.1e-10
1.430	3.6356049473	2.0e-10
1.440	3.5414999346	1.9e-10
1.450	3.4516521981	1.7e-10
1.460	3.3658166532	1.6e-10
1.470	3.2837651332	1.5e-10
1.480	3.2052850433	1.4e-10
1.490	3.1301781338	1.3e-10
1.500	3.0582593835	1.2e-10
1.510	2.9893559792	1.1e-10
1.520	2.9233063858	9.8e-11
1.530	2.8599594942	8.9e-11
1.540	2.7991738435	8.1e-11
1.550	2.7408169075	7.3e-11
1.560	2.6847644412	6.6e-11
1.570	2.6308998810	5.9e-11
1.580	2.5791137944	5.3e-11
1.590	2.5293033734	4.7e-11
1.600	2.4813719696	4.1e-11
1.610	2.4352286651	3.6e-11
1.620	2.3907878783	3.1e-11
1.630	2.3479689992	2.7e-11
1.640	2.3066960541	2.3e-11
1.650	2.2668973950	1.9e-11
1.660	2.2285054128	1.6e-11
1.670	2.1914562724	1.3e-11
1.680	2.1556896670	1.1e-11
1.690	2.1211485908	8.2e-12
1.700	2.0877791282	6.1e-12
1.710	2.0555302586	4.3e-12
1.720	2.0243536744	2.8e-12
1.730	1.9942036131	1.6e-12
1.740	1.9650367002	6.9e-13
1.750	1.9368118035	1.1e-13
1.760	1.9094898980	2.4e-13
1.770	1.8830339390	8.5e-13
1.780	1.8574087448	1.6e-12
1.790	1.8325808871	2.5e-12
1.800	1.8085185880	3.5e-12
1.810	1.7851916255	4.4e-12
1.820	1.7625712431	5.5e-12
1.830	1.7406300672	6.5e-12
1.840	1.7193420288	7.5e-12
1.850	1.6986822904	8.5e-12
1.860	1.6786271779	9.4e-12
1.870	1.6591541163	1.0e-11
1.880	1.6402415699	1.1e-11
1.890	1.6218689862	1.2e-11
1.900	1.6040167425	1.3e-11
1.910	1.5866660973	1.4e-11
1.920	1.5697991427	1.4e-11
1.930	1.5533987616	1.5e-11
1.940	1.5374485861	1.6e-11
1.950	1.5219329590	1.6e-11
1.960	1.5068368971	1.7e-11
1.970	1.4921460577	1.7e-11
1.980	1.4778467054	1.8e-11
1.990	1.4639256826	1.8e-11
2.000	1.4503703799	1.9e-11
2.010	1.4371687101	1.3e-10
2.020	1.4243090819	1.1e-10
2.030	1.4117803761	8.9e-11
2.040	1.3995719230	7.4e-11
2.050	1.3876734807	6.1e-11
2.060	1.3760752148	4.9e-11
2.070	1.3647676796	4.0e-11
2.080	1.3537417992	3.2e-11
2.090	1.3429888511	2.5e-11
2.100	1.3325004493	2.1e-11
2.110	1.3222685294	2.1e-11
2.120	1.3122853335	2.5e-11
2.130	1.3025433968	3.0e-11
2.140	1.2930355342	3.5e-11
2.150	1.2837548281	4.2e-11
2.160	1.2746946163	4.8e-11
2.170	1.2658484810	5.5e-11
2.180	1.2572102380	6.2e-11
2.190	1.2487739267	6.8e-11
2.200	1.2405338006	7.5e-11
2.210	1.2324843179	8.2e-11
2.220	1.2246201331	8.9e-11
2.230	1.2169360883	9.5e-11
2.240	1.2094272060	9.1e-11
2.250	1.2020886810	8.6e-11
2.260	1.1949158737	8.1e-11
2.270	1.1879043031	7.6e-11
2.280	1.1810496402	7.2e-11
2.290	1.1743477023	6.8e-11
2.300	1.1677944467	6.4e-11
2.310	1.1613859653	6.0e-11
2.320	1.1551184792	5.7e-11
2.330	1.1489883337	5.3e-11
2.340	1.1429919931	5.0e-11
2.350	1.1371260367	4.7e-11
2.360	1.1313871536	4.4e-11
2.370	1.1257721390	4.2e-11
2.380	1.1202778900	3.9e-11
2.390	1.1149014017	3.7e-11
2.400	1.1096397635	3.5e-11
2.410	1.1044901556	3.2e-11
2.420	1.0994498454	3.0e-11
2.430	1.0945161848	2.9e-11
2.440	1.0896866065	2.7e-11
2.450	1.0849586213	2.5e-11
2.460	1.0803298153	2.3e-11
2.470	1.0757978470	2.2e-11
2.480	1.0713604451	2.0e-11
2.490	1.0670154053	1.9e-11
2.500	1.0627605886	1.8e-11
2.510	1.0585939186	1.7e-11
2.520	1.0545133794	1.5e-11
2.530	1.0505170135	1.4e-11
2.540	1.0466029199	1.3e-11
2.550	1.0427692517	1.2e-11
2.560	1.0390142150	1.2e-11
2.570	1.0353360661	1.1e-11
2.580	1.0317331109	1.0e-11
2.590	1.0282037022	9.4e-12
2.600	1.0247462388	8.7e-12
2.610	1.0213591639	8.1e-12
2.620	1.0180409631	7.6e-12
2.630	1.0147901638	7.1e-12
2.640	1.0116053331	6.6e-12
2.650	1.0084850769	6.2e-12
2.660	1.0054280385	5.9e-12
2.670	1.0024328977	5.7e-12
2.680	0.9994983690	5.6e-12
2.690	0.9966232010	5.6e-12
2.700	0.9938061754	5.5e-12
2.710	0.9910461053	5.5e-12
2.720	0.9883418351	5.6e-12
2.730	0.9856922386	5.6e-12
2.740	0.9830962189	5.6e-12
2.750	0.9805527071	5.7e-12
2.760	0.9780606612	5.7e-12
2.770	0.9756190659	5.8e-12
2.780	0.9732269312	5.9e-12
2.790	0.9708832920	5.9e-12
2.800	0.9685872071	6.0e-12
2.810	0.9663377588	6.1e-12
2.820	0.9641340517	6.2e-12
2.830	0.9619752127	6.3e-12
