T[MeV]	f_value	f_error
1.000	10.4157313391	5.8e-11
1.010	9.8752705868	6.1e-11
1.020	9.3763489790	6.4e-11
1.030	8.9150239739	6.7e-11
1.040	8.4877905004	7.0e-11
1.050	8.0915260097	7.2e-11
1.060	7.7234431759	7.5e-11
1.070	7.3810490828	7.7e-11
1.080	7.0621099270	8.0e-11
1.090	6.7646204199	8.2e-11
1.100	6.4867772065	8.5e-11
1.110	6.2269557227	8.7e-11
1.120	5.9836900043	5.8e-10
1.130	5.7556550360	3.7e-10
1.140	5.5416512887	2.2e-10
1.150	5.3405911495	1.3e-10
1.160	5.1514869882	1.0e-10
1.170	4.9734406450	1.5e-10
1.180	4.8056341533	2.2e-10
1.190	4.6473215371	2.9e-10
1.200	4.4978215475	3.7e-10
1.210	4.3565112196	4.3e-10
1.220	4.2228201471	1.0e-10
1.230	4.0962253872	1.0e-10
1.240	3.9762469202	1.0e-10
1.250	3.8624435946	1.0e-10
1.260	3.7544095043	1.0e-10
1.270	3.6517707429	1.0e-10
1.280	3.5541824956	1.0e-10
1.290	3.4613264272	1.0e-10
1.300	3.3729083342	1.0e-10
1.310	3.2886560312	1.0e-10
1.320	3.2083174458	1.0e-10
1.330	3.1316588991	1.0e-10
1.340	3.0584635520	1.0e-10
1.350	2.9885299995	9.9e-11
1.360	2.9216709972	9.8e-11
1.370	2.8577123065	9.7e-11
1.380	2.7964916465	9.6e-11
1.390	2.7378577408	9.4e-11
1.400	2.6816694506	9.3e-11
1.410	2.6277949845	2.2e-10
1.420	2.5761111789	1.6e-10
1.430	2.5265028401	1.2e-10
1.440	2.4788621440	9.4e-11
1.450	2.4330880864	8.8e-11
1.460	2.3890859804	1.1e-10
1.470	2.3467669952	1.3e-10
1.480	2.3060477334	1.6e-10
1.490	2.2668498430	1.9e-10
1.500	2.2290996607	7.6e-11
1.510	2.1927278840	7.4e-11
1.520	2.1576692689	7.2e-11
1.530	2.1238623522	7.0e-11
1.540	2.0912491948	6.8e-11
1.550	2.0597751447	6.6e-11
1.560	2.0293886190	6.4e-11
1.570	2.0000409014	6.2e-11
1.580	1.9716859554	6.0e-11
1.590	1.9442802514	5.8e-11
1.600	1.9177826062	5.6e-11
1.610	1.8921540347	5.4e-11
1.620	1.8673576115	5.2e-11
1.630	1.8433583437	5.1e-11
1.640	1.8201230511	4.9e-11
1.650	1.7976202563	4.7e-11
1.660	1.7758200815	4.5e-11
1.670	1.7546941529	4.3e-11
1.680	1.7342155112	4.2e-11
1.690	1.7143585290	4.0e-11
1.700	1.6950988325	3.8e-11
1.710	1.6764132298	1.6e-10
1.720	1.6582796427	1.5e-10
1.730	1.6406770439	1.5e-10
1.740	1.6235853978	1.4e-10
1.750	1.6069856053	1.3e-10
1.760	1.5908594517	1.2e-10
1.770	1.5751895587	1.2e-10
1.780	1.5599593388	1.1e-10
1.790	1.5451529526	1.0e-10
1.800	1.5307552689	9.9e-11
1.810	1.5167518272	9.3e-11
1.820	1.5031288027	8.8e-11
1.830	1.4898729727	8.3e-11
1.840	1.4769716858	7.8e-11
1.850	1.4644128327	7.3e-11
1.860	1.4521848184	6.9e-11
1.870	1.4402765363	6.5e-11
1.880	1.4286773441	6.1e-11
1.890	1.4173770403	5.7e-11
1.900	1.4063658427	5.4e-11
1.910	1.3956343680	5.0e-11
1.920	1.3851736122	4.7e-11
1.930	1.3749749327	4.4e-11
1.940	1.3650300307	4.1e-11
1.950	1.3553309353	3.8e-11
1.960	1.3458699877	3.6e-11
1.970	1.3366398268	3.3e-11
1.980	1.3276333755	3.1e-11
1.990	1.3188438274	2.9e-11
2.000	1.3102646349	2.7e-11
2.010	1.3018894970	2.5e-11
2.020	1.2937123484	2.3e-11
2.030	1.2857273490	2.1e-11
2.040	1.2779288739	1.9e-11
2.050	1.2703115040	1.8e-11
2.060	1.2628700170	1.6e-11
2.070	1.2555993786	1.5e-11
2.080	1.2484947348	1.4e-11
2.090	1.2415514041	1.3e-11
2.100	1.2347648698	1.2e-11
2.110	1.2281307735	1.1e-11
2.120	1.2216449084	9.6e-12
2.130	1.2153032128	8.7e-12
2.140	1.2091017643	8.0e-12
2.150	1.2030367738	7.3e-12
2.160	1.1971045805	6.8e-12
2.170	1.1913016463	6.4e-12
2.180	1.1856245512	6.0e-12
2.190	1.1800699883	5.7e-12
2.200	1.1746347596	5.4e-12
2.210	1.1693157713	5.2e-12
2.220	1.1641100302	5.0e-12
2.230	1.1590146394	4.8e-12
2.240	1.1540267949	4.7e-12
2.250	1.1491437818	4.6e-12
2.260	1.1443629708	4.5e-12
2.270	1.1396818154	4.5e-12
2.280	1.1350978483	4.4e-12
2.290	1.1306086787	4.4e-12
2.300	1.1262119894	4.4e-12
2.310	1.1219055342	4.4e-12
2.320	1.1176871350	4.5e-12
2.330	1.1135546794	4.5e-12
2.340	1.1095061187	1.1e-10
2.350	1.1055394650	1.0e-10
2.360	1.1016527896	9.9e-11
2.370	1.0978442203	9.4e-11
2.380	1.0941119399	9.0e-11
2.390	1.0904541840	8.6e-11
2.400	1.0868692394	8.2e-11
2.410	1.0833554419	7.9e-11
2.420	1.0799111750	7.5e-11
2.430	1.0765348681	7.2e-11
2.440	1.0732249948	6.8e-11
2.450	1.0699800718	6.5e-11
2.460	1.0667986569	6.2e-11
2.470	1.0636793482	5.9e-11
2.480	1.0606207822	5.7e-11
2.490	1.0576216329	5.4e-11
2.500	1.0546806104	5.1e-11
2.510	1.0517964599	4.9e-11
2.520	1.0489679603	4.6e-11
2.530	1.0461939231	4.4e-11
2.540	1.0434731917	4.2e-11
2.550	1.0408046401	4.0e-11
2.560	1.0381871718	3.8e-11
2.570	1.0356197192	3.6e-11
2.580	1.0331012425	3.4e-11
2.590	1.0306307287	3.2e-11
2.600	1.0282071911	3.1e-11
2.610	1.0258296683	2.9e-11
2.620	1.0234972231	2.8e-11
2.630	1.0212089425	2.6e-11
2.640	1.0189639362	2.5e-11
2.650	1.0167613364	2.4e-11
2.660	1.0146002969	2.2e-11
2.670	1.0124799924	2.1e-11
2.680	1.0103996183	2.0e-11
2.690	1.0083583894	1.9e-11
2.700	1.0063555400	1.8e-11
2.710	1.0043903227	1.7e-11
2.720	1.0024620084	1.6e-11
2.730	1.0005698854	1.6e-11
2.740	0.9987132593	1.5e-11
2.750	0.9968914520	1.4e-11
2.760	0.9951038014	1.3e-11
2.770	0.9933496614	1.3e-11
2.780	0.9916284005	1.2e-11
2.790	0.9899394025	1.2e-11
2.800	0.9882820652	1.2e-11
2.810	0.9866558003	1.1e-11
2.820	0.9850600332	1.1e-11
2.830	0.9834942024	1.1e-11
2.840	0.9819577591	1.1e-11
2.850	0.9804501671	1.1e-11
2.860	0.9789709021	1.1e-11
2.870	0.9775194518	1.2e-11
2.880	0.9760953152	1.2e-11
2.890	0.9746980025	1.3e-11
2.900	0.9733270346	1.3e-11
2.910	0.9719819433	1.3e-11
2.920	0.9706622703	1.4e-11
2.930	0.9693675676	1.4e-11
2.940	0.9680973966	1.5e-11
2.950	0.9668513286	1.5e-11
2.960	0.9656289439	1.6e-11
2.970	0.9644298317	1.6e-11
2.980	0.9632535901	1.7e-11
2.990	0.9620998258	1.7e-11
3.000	0.9609681538	1.8e-11
3.010	0.9598581971	1.8e-11
3.020	0.9587695865	9.6e-11
3.030	0.9577019609	9.4e-11
3.040	0.9566549664	9.2e-11
3.050	0.9556282564	9.0e-11
3.060	0.9546214916	8.8e-11
3.070	0.9536343396	8.7e-11
3.080	0.9526664748	8.5e-11
3.090	0.9517175781	8.3e-11
3.100	0.9507873371	8.2e-11
3.110	0.9498754454	8.0e-11
3.120	0.9489816030	7.9e-11
3.130	0.9481055158	7.7e-11
3.140	0.9472468955	7.6e-11
3.150	0.9464054597	7.5e-11
3.160	0.9455809314	7.4e-11
3.170	0.9447730392	7.2e-11
3.180	0.9439815167	7.1e-11
3.190	0.9432061031	7.0e-11
3.200	0.9424465424	6.9e-11
3.210	0.9417025837	6.8e-11
3.220	0.9409739807	6.7e-11
3.230	0.9402604923	6.6e-11
3.240	0.9395618814	6.5e-11
3.250	0.9388779159	6.4e-11
3.260	0.9382083678	6.3e-11
3.270	0.9375530136	6.2e-11
3.280	0.9369116340	6.1e-11
3.290	0.9362840136	6.0e-11
3.300	0.9356699412	5.9e-11
3.310	0.9350692095	5.9e-11
3.320	0.9344816151	5.8e-11
3.330	0.9339069582	5.7e-11
3.340	0.9333450428	5.6e-11
3.350	0.9327956764	5.6e-11
3.360	0.9322586701	5.5e-11
3.370	0.9317338384	5.4e-11
3.380	0.9312209991	5.4e-11
