T[MeV]	f_value	f_error
1.000	1342.8059577051	9.5e-09
1.010	1168.4546789092	7.7e-09
1.020	1020.2703371007	6.2e-09
1.030	893.8700323170	5.1e-09
1.040	785.6736326423	4.2e-09
1.050	692.7451947273	3.4e-09
1.060	612.6678316826	2.8e-09
1.070	543.4445537648	5.2e-08
1.080	483.4193662706	4.3e-08
1.090	431.2142343081	3.6e-08
1.100	385.6785272319	3.0e-08
1.110	345.8483182525	2.5e-08
1.120	310.9134972323	2.1e-08
1.130	280.1911014506	1.8e-08
1.140	253.1036132190	1.5e-08
1.150	229.1612393330	1.3e-08
1.160	207.9473939433	1.1e-08
1.170	189.1067674561	1.8e-08
1.180	172.3354900424	1.6e-08
1.190	157.3729972540	1.3e-08
1.200	143.9952831839	1.2e-08
1.210	132.0092882521	1.2e-08
1.220	121.2482175967	1.1e-08
1.230	111.5676249884	9.2e-09
1.240	102.8421282787	8.0e-09
1.250	94.9626473067	7.0e-09
1.260	87.8340752112	6.1e-09
1.270	81.3733102349	5.3e-09
1.280	75.5075881561	4.7e-09
1.290	70.1730660649	4.1e-09
1.300	65.3136168005	3.6e-09
1.310	60.8798003843	3.2e-09
1.320	56.8279845140	3.8e-09
1.330	53.1195908855	3.4e-09
1.340	49.7204479726	2.2e-09
1.350	46.6002340755	2.0e-09
1.360	43.7319970762	4.2e-09
1.370	41.0917395180	3.7e-09
1.380	38.6580594268	3.3e-09
1.390	36.4118387982	3.0e-09
1.400	34.3359729232	2.7e-09
1.410	32.4151347716	2.4e-09
1.420	30.6355695286	2.2e-09
1.430	28.9849151147	1.9e-09
1.440	27.4520451356	1.7e-09
1.450	26.0269312295	1.6e-09
1.460	24.7005222211	1.4e-09
1.470	23.4646378582	1.3e-09
1.480	22.3118752268	1.2e-09
1.490	21.2355262047	1.1e-09
1.500	20.2295045420	9.6e-10
1.510	19.2882813516	8.8e-10
1.520	18.4068279563	8.0e-10
1.530	17.5805651828	7.3e-10
1.540	16.8053183125	6.6e-10
1.550	16.0772770031	6.1e-10
1.560	15.3929595862	5.6e-10
1.570	14.7491812193	5.1e-10
1.580	14.1430254423	4.7e-10
1.590	13.5718187398	4.3e-10
1.600	13.0331077656	3.9e-10
1.610	12.5246389246	3.6e-10
1.620	12.0443400465	3.3e-10
1.630	11.5903039193	3.1e-10
1.640	11.1607734737	2.8e-10
1.650	10.7541284412	2.6e-10
1.660	10.3688733241	2.4e-10
1.670	10.0036265366	2.2e-10
1.680	9.6571105935	2.1e-10
1.690	9.3281432352	1.9e-10
1.700	9.0156293918	6.2e-10
1.710	8.7185538994	3.7e-10
1.720	8.4359748924	2.0e-10
1.730	8.1670178009	1.6e-10
1.740	7.9108698963	2.6e-10
1.750	7.6667753262	3.8e-10
1.760	7.4340305937	5.2e-10
1.770	7.2119804359	6.6e-10
1.780	7.0000140636	1.0e-10
1.790	6.7975617268	9.5e-11
1.800	6.6040915765	8.9e-11
1.810	6.4191067927	8.3e-11
1.820	6.2421429561	7.8e-11
1.830	6.0727656386	7.3e-11
1.840	5.9105681944	5.7e-10
1.850	5.7551697322	5.4e-10
1.860	5.6062132533	5.0e-10
1.870	5.4633639386	4.7e-10
1.880	5.3263075745	5.2e-10
1.890	5.1947491024	4.9e-10
1.900	5.0684112830	4.7e-10
1.910	4.9470334643	4.4e-10
1.920	4.8303704454	4.1e-10
1.930	4.7181914267	3.9e-10
1.940	4.6102790411	3.7e-10
1.950	4.5064284567	3.5e-10
1.960	4.4064465479	3.3e-10
1.970	4.3101511275	3.1e-10
1.980	4.2173702350	3.0e-10
1.990	4.1279414771	2.8e-10
2.000	4.0417114161	2.7e-10
2.010	3.9585350019	2.5e-10
2.020	3.8782750443	2.4e-10
2.030	3.8008017232	2.3e-10
2.040	3.7259921323	3.7e-10
2.050	3.6537298552	3.5e-10
2.060	3.5839045704	3.3e-10
2.070	3.5164116835	3.2e-10
2.080	3.4511519840	3.0e-10
2.090	3.3880313259	2.9e-10
2.100	3.3269603289	2.7e-10
2.110	3.2678540999	2.6e-10
2.120	3.2106319730	2.5e-10
2.130	3.1552172657	2.4e-10
2.140	3.1015370519	2.3e-10
2.150	3.0495219488	2.2e-10
2.160	2.9991059178	2.1e-10
2.170	2.9502260778	2.0e-10
2.180	2.9028225304	1.9e-10
2.190	2.8568381958	1.8e-10
2.200	2.8122186596	1.7e-10
2.210	2.7689120276	1.7e-10
2.220	2.7268687915	1.6e-10
2.230	2.6860417006	1.5e-10
2.240	2.6463856429	1.5e-10
2.250	2.6078575324	1.4e-10
