T[MeV]	f_value	f_error
0.600	2.5153652574	6.0e-12
0.610	2.3793352717	5.4e-12
0.620	2.2570565963	4.8e-12
0.630	2.1467904235	4.2e-12
0.640	2.0470595073	3.8e-12
0.650	1.9566032096	3.3e-12
0.660	1.8743411532	3.0e-12
0.670	1.7993436783	2.7e-12
0.680	1.7308077059	2.5e-12
0.690	1.6680369242	2.3e-12
0.700	1.6104254457	2.2e-12
0.710	1.5574442683	2.1e-12
0.720	1.5086300108	2.0e-12
0.730	1.4635755016	2.0e-12
0.740	1.4219218854	2.0e-12
0.750	1.3833519765	2.1e-12
0.760	1.3475846434	2.1e-12
0.770	1.3143700457	2.0e-12
0.780	1.2834855815	2.0e-12
0.790	1.2547324285	2.0e-12
0.800	1.2279325808	1.9e-12
0.810	1.2029263041	1.9e-12
0.820	1.1795699432	1.8e-12
0.830	1.1577340282	1.7e-12
0.840	1.1373016331	1.7e-12
0.850	1.1181669504	1.6e-12
0.860	1.1002340503	1.5e-12
0.870	1.0834157964	1.4e-12
0.880	1.0676328977	1.3e-12
0.890	1.0528130768	1.2e-12
0.900	1.0388903384	1.1e-12
0.910	1.0258043253	1.0e-12
0.920	1.0134997494	9.4e-13
0.930	1.0019258882	8.5e-13
0.940	0.9910361392	7.7e-13
0.950	0.9807876229	6.9e-13
0.960	0.9711408309	6.2e-13
0.970	0.9620593110	5.5e-13
0.980	0.9535093867	4.8e-13
0.990	0.9454599059	4.2e-13
1.000	0.9378820158	3.7e-13
1.010	0.9307489610	3.1e-13
1.020	0.9240359016	2.7e-13
1.030	0.9177197501	2.3e-13
1.040	0.9117790233	1.9e-13
1.050	0.9061937096	1.6e-13
1.060	0.9009451484	1.3e-13
1.070	0.8960159210	1.0e-13
1.080	0.8913897516	8.7e-14
1.090	0.8870514175	8.1e-14
1.100	0.8829866674	8.0e-14
1.110	0.8791821473	8.3e-14
1.120	0.8756253321	8.6e-14
1.130	0.8723044644	9.2e-14
1.140	0.8692084977	9.8e-14
1.150	0.8663270444	1.1e-13
1.160	0.8636503290	1.1e-13
1.170	0.8611691445	1.2e-13
1.180	0.8588748121	1.3e-13
1.190	0.8567591453	1.4e-13
1.200	0.8548144159	1.4e-13
1.210	0.8530333229	1.5e-13
1.220	0.8514089643	1.6e-13
1.230	0.8499348103	1.7e-13
1.240	0.8486046795	1.7e-13
1.250	0.8474127160	1.8e-13
1.260	0.8463533688	1.9e-13
1.270	0.8454213727	1.9e-13
1.280	0.8446117302	2.0e-13
