T[MeV]	f_value	f_error
0.600	0.8287219823	7.9e-11
0.610	0.8199362641	7.3e-11
0.620	0.8121286091	6.8e-11
0.630	0.8052143989	6.3e-11
0.640	0.7991183995	5.8e-11
0.650	0.7937735276	5.5e-11
0.660	0.7891198020	5.1e-11
0.670	0.7851034489	4.8e-11
0.680	0.7816761370	4.5e-11
0.690	0.7787943201	4.2e-11
0.700	0.7764186714	4.0e-11
0.710	0.7745135935	3.7e-11
0.720	0.7730467954	3.5e-11
0.730	0.7719889232	3.3e-11
0.740	0.7713132393	3.2e-11
0.750	0.7709953418	3.0e-11
0.760	0.7710129180	2.9e-11
0.770	0.7713455290	2.7e-11
0.780	0.7719744191	2.6e-11
0.790	0.7728823478	2.5e-11
0.800	0.7740534417	2.4e-11
0.810	0.7754730625	2.2e-11
0.820	0.7771276904	2.1e-11
0.830	0.7790048194	2.1e-11
0.840	0.7810928651	2.0e-11
0.850	0.7833810816	1.9e-11
0.860	0.7858594867	1.8e-11
0.870	0.7885187958	7.6e-11
0.880	0.7913503621	7.3e-11
0.890	0.7943461221	7.0e-11
0.900	0.7974985477	6.8e-11
0.910	0.8008006020	6.5e-11
0.920	0.8042456994	6.3e-11
0.930	0.8078276702	6.1e-11
0.940	0.8115407279	5.9e-11
0.950	0.8153794390	8.1e-11
0.960	0.8193386968	7.9e-11
0.970	0.8234136964	7.6e-11
0.980	0.8275999127	7.4e-11
0.990	0.8318930795	7.1e-11
1.000	0.8362891712	6.9e-11
1.010	0.8407843853	6.7e-11
1.020	0.8453751273	6.5e-11
1.030	0.8500579956	6.3e-11
1.040	0.8548297687	6.2e-11
1.050	0.8596873931	6.0e-11
1.060	0.8646279716	5.8e-11
1.070	0.8696487537	8.6e-11
1.080	0.8747471253	8.3e-11
1.090	0.8799206005	8.1e-11
1.100	0.8851668131	7.9e-11
1.110	0.8904835091	7.7e-11
1.120	0.8958685401	7.5e-11
1.130	0.9013198563	7.4e-11
1.140	0.9068355007	7.2e-11
1.150	0.9124136037	7.0e-11
1.160	0.9180523777	6.9e-11
1.170	0.9237501124	6.7e-11
1.180	0.9295051702	6.6e-11
1.190	0.9353159820	6.4e-11
1.200	0.9411810435	6.3e-11
1.210	0.9470989115	6.2e-11
1.220	0.9530682001	6.0e-11
1.230	0.9590875783	5.9e-11
1.240	0.9651557662	5.8e-11
1.250	0.9712715328	5.7e-11
1.260	0.9774336932	5.6e-11
1.270	0.9836411059	5.5e-11
1.280	0.9898926712	5.4e-11
1.290	0.9961873283	5.3e-11
1.300	1.0025240536	5.2e-11
1.310	1.0089018590	5.1e-11
1.320	1.0153197898	5.0e-11
1.330	1.0217769232	4.9e-11
1.340	1.0282723666	4.8e-11
1.350	1.0348052564	4.7e-11
1.360	1.0413747561	4.7e-11
1.370	1.0479800556	4.6e-11
1.380	1.0546203694	1.0e-10
1.390	1.0612949360	1.0e-10
1.400	1.0680030161	1.0e-10
1.410	1.0747438922	9.9e-11
1.420	1.0815168672	9.8e-11
1.430	1.0883212637	9.6e-11
1.440	1.0951564230	9.5e-11
1.450	1.1020217044	9.3e-11
1.460	1.1089164842	9.2e-11
1.470	1.1158401552	9.1e-11
1.480	1.1227921257	8.9e-11
1.490	1.1297718191	8.8e-11
1.500	1.1367786733	8.7e-11
1.510	1.1438121397	8.6e-11
1.520	1.1508716831	1.1e-10
1.530	1.1579567810	1.1e-10
1.540	1.1650669228	1.1e-10
1.550	1.1722016097	1.1e-10
1.560	1.1793603543	1.1e-10
1.570	1.1865426797	1.1e-10
1.580	1.1937481193	1.1e-10
1.590	1.2009762167	1.0e-10
1.600	1.2082265248	1.0e-10
1.610	1.2154986060	1.0e-10
1.620	1.2227920313	1.0e-10
1.630	1.2301063805	9.9e-11
1.640	1.2374412414	9.8e-11
1.650	1.2447962098	9.7e-11
1.660	1.2521708893	9.6e-11
1.670	1.2595648908	9.5e-11
1.680	1.2669778323	9.4e-11
1.690	1.2744093387	9.3e-11
1.700	1.2818590418	9.2e-11
1.710	1.2893265794	9.1e-11
1.720	1.2968115959	9.0e-11
1.730	1.3043137417	8.9e-11
1.740	1.3118326729	8.8e-11
1.750	1.3193680514	8.7e-11
1.760	1.3269195443	8.6e-11
1.770	1.3344868245	8.6e-11
1.780	1.3420695696	8.5e-11
1.790	1.3496674625	8.4e-11
1.800	1.3572801908	8.3e-11
1.810	1.3649074469	8.2e-11
1.820	1.3725489277	8.1e-11
1.830	1.3802043347	8.1e-11
1.840	1.3878733736	8.0e-11
1.850	1.3955557544	7.9e-11
1.860	1.4032511911	7.9e-11
1.870	1.4109594019	7.8e-11
1.880	1.4186801087	7.7e-11
1.890	1.4264130373	7.7e-11
1.900	1.4341579172	7.6e-11
1.910	1.4419144814	7.5e-11
1.920	1.4496824666	7.5e-11
1.930	1.4574616127	7.4e-11
1.940	1.4652516634	7.3e-11
1.950	1.4730523651	7.3e-11
1.960	1.4808634679	7.2e-11
1.970	1.4886847248	7.2e-11
1.980	1.4965158919	7.1e-11
1.990	1.5043567283	7.0e-11
2.000	1.5122069962	7.0e-11
2.010	1.5200664605	6.9e-11
2.020	1.5279348889	6.9e-11
2.030	1.5358120521	6.8e-11
2.040	1.5436977232	6.8e-11
2.050	1.5515916782	6.7e-11
2.060	1.5594936957	6.7e-11
2.070	1.5674035567	6.6e-11
2.080	1.5753210449	6.6e-11
2.090	1.5832459464	6.5e-11
2.100	1.5911780496	6.5e-11
2.110	1.5991171455	6.5e-11
2.120	1.6070630274	6.4e-11
2.130	1.6150154908	6.4e-11
2.140	1.6229743335	6.3e-11
2.150	1.6309393556	6.3e-11
2.160	1.6389103595	6.2e-11
2.170	1.6468871494	6.2e-11
2.180	1.6548695320	6.2e-11
2.190	1.6628573160	6.1e-11
2.200	1.6708503120	6.1e-11
2.210	1.6788483329	6.0e-11
2.220	1.6868511935	6.0e-11
2.230	1.6948587104	6.0e-11
2.240	1.7028707024	5.9e-11
2.250	1.7108869902	5.9e-11
2.260	1.7189073964	5.9e-11
2.270	1.7269317452	5.8e-11
2.280	1.7349598631	5.8e-11
2.290	1.7429915781	5.8e-11
2.300	1.7510267202	5.7e-11
2.310	1.7590651210	5.7e-11
2.320	1.7671066141	5.7e-11
2.330	1.7751510346	5.6e-11
2.340	1.7831982194	5.6e-11
2.350	1.7912480072	5.6e-11
2.360	1.7993002384	5.5e-11
2.370	1.8073547548	5.5e-11
2.380	1.8154114001	5.5e-11
2.390	1.8234700195	5.5e-11
2.400	1.8315304599	5.4e-11
2.410	1.8395925698	5.4e-11
2.420	1.8476561990	5.4e-11
2.430	1.8557211993	5.3e-11
2.440	1.8637874238	5.3e-11
2.450	1.8718547270	5.3e-11
2.460	1.8799229651	5.3e-11
2.470	1.8879919958	5.2e-11
2.480	1.8960616781	5.2e-11
2.490	1.9041318727	5.2e-11
2.500	1.9122024416	5.2e-11
2.510	1.9202732483	5.1e-11
2.520	1.9283441576	5.1e-11
2.530	1.9364150359	5.1e-11
2.540	1.9444857508	5.1e-11
2.550	1.9525561715	5.0e-11
2.560	1.9606261683	5.0e-11
2.570	1.9686956132	5.0e-11
2.580	1.9767643791	5.0e-11
2.590	1.9848323407	5.0e-11
2.600	1.9928993736	4.9e-11
2.610	2.0009653551	4.9e-11
2.620	2.0090301635	4.9e-11
2.630	2.0170936784	4.9e-11
2.640	2.0251557810	4.8e-11
2.650	2.0332163532	4.8e-11
2.660	2.0412752788	4.8e-11
2.670	2.0493324423	4.8e-11
2.680	2.0573877296	4.8e-11
2.690	2.0654410281	4.7e-11
2.700	2.0734922259	4.7e-11
2.710	2.0815412127	4.7e-11
2.720	2.0895878792	4.7e-11
2.730	2.0976321174	4.7e-11
2.740	2.1056738203	4.6e-11
2.750	2.1137128822	4.6e-11
