T[MeV]	signal_value	signal_error
0	0	0
0.100	7.559588300e-92	2.96e-101
0.200	5.794387021e-54	5.04e-64
0.300	3.764505307e-41	2.23e-51
0.400	1.201116236e-34	5.39e-45
0.500	1.105857948e-30	1.11e-41
0.600	5.363282245e-28	3.38e-39
0.700	4.780273111e-26	2.32e-37
0.800	1.466030853e-24	1.50e-35
0.900	2.194919134e-23	7.74e-34
1.000	1.980645886e-22	1.66e-32
1.100	1.232570323e-21	1.47e-33
1.200	5.789254004e-21	2.71e-31
1.300	2.185301115e-20	1.63e-32
1.400	6.935314753e-20	4.23e-30
1.500	1.913099848e-19	1.83e-29
1.600	4.703614994e-19	1.54e-29
1.700	1.050857164e-18	3.36e-29
1.800	2.165947340e-18	1.12e-28
1.900	4.168421628e-18	2.68e-28
2.000	7.563576295e-18	4.70e-28
2.100	1.304216718e-17	6.59e-28
2.200	2.151151984e-17	7.59e-28
2.300	3.412307534e-17	7.15e-28
2.400	5.229498525e-17	5.21e-28
2.500	7.772876927e-17	2.69e-28
2.600	1.124194617e-16	4.47e-28
2.700	1.586590576e-16	1.08e-27
2.800	2.190334033e-16	2.10e-27
2.900	2.964129411e-16	3.48e-27
3.000	3.939379198e-16	5.16e-27
3.100	5.149988114e-16	7.04e-27
3.200	6.632127524e-16	8.94e-27
3.300	8.423968502e-16	1.07e-26
3.400	1.056539183e-15	1.22e-26
3.500	1.309768278e-15	1.33e-26
3.600	1.606321787e-15	1.40e-26
3.700	1.950515012e-15	1.41e-26
3.800	2.346709824e-15	1.37e-26
3.900	2.799284467e-15	1.28e-26
4.000	3.312604635e-15	1.15e-26
4.100	3.890996122e-15	9.92e-27
4.200	4.538719296e-15	4.53e-25
4.300	5.259945560e-15	4.97e-25
4.400	6.058735915e-15	5.43e-25
4.500	6.939021686e-15	5.91e-25
4.600	7.904587428e-15	6.41e-25
4.700	8.959055988e-15	6.93e-25
4.800	1.010587569e-14	7.46e-25
4.900	1.134830953e-14	1.13e-24
5.000	1.268942638e-14	1.21e-24
5.100	1.413209395e-14	1.30e-24
5.200	1.567897353e-14	1.39e-24
5.300	1.733251635e-14	1.48e-24
5.400	1.909496136e-14	1.57e-24
5.500	2.096833443e-14	1.66e-24
5.600	2.295444875e-14	1.75e-24
5.700	2.505490634e-14	1.85e-24
5.800	2.727110053e-14	1.95e-24
5.900	2.960421936e-14	2.04e-24
6.000	3.205524975e-14	2.14e-24
6.100	3.462498229e-14	2.24e-24
6.200	3.731401661e-14	2.34e-24
6.300	4.012276731e-14	2.44e-24
6.400	4.305147022e-14	2.54e-24
6.500	4.610018897e-14	2.64e-24
6.600	4.926882191e-14	2.74e-24
6.700	5.255710913e-14	2.84e-24
6.800	5.596463967e-14	2.95e-24
6.900	5.949085878e-14	3.05e-24
7.000	6.313507529e-14	3.15e-24
7.100	6.689646888e-14	3.25e-24
7.200	7.077409739e-14	3.35e-24
7.300	7.476690402e-14	3.45e-24
7.400	7.887372445e-14	3.55e-24
7.500	8.309329383e-14	3.65e-24
7.600	8.742425362e-14	3.74e-24
7.700	9.186515827e-14	3.84e-24
7.800	9.641448177e-14	3.94e-24
7.900	1.010706239e-13	4.03e-24
8.000	1.058319165e-13	4.13e-24
8.100	1.106966291e-13	4.23e-24
8.200	1.156629750e-13	4.32e-24
8.300	1.207291164e-13	4.41e-24
8.400	1.258931701e-13	4.51e-24
8.500	1.311532119e-13	4.60e-24
8.600	1.365072821e-13	4.69e-24
8.700	1.419533899e-13	4.78e-24
8.800	1.474895175e-13	4.87e-24
8.900	1.531136247e-13	4.96e-24
9.000	1.588236526e-13	5.05e-24
9.100	1.646175275e-13	5.14e-24
9.200	1.704931644e-13	1.69e-23
9.300	1.764484704e-13	1.72e-23
9.400	1.824813479e-13	1.75e-23
9.500	1.885896975e-13	1.78e-23
9.600	1.947714210e-13	1.81e-23
9.700	2.010244237e-13	1.84e-23
9.800	2.073466173e-13	1.86e-23
9.900	2.137359220e-13	1.89e-23
10.000	2.201902683e-13	1.92e-23
