T[MeV]	signal_value	signal_error
0	0	0
0.100	1.290311819e-20	9.92e-31
0.200	8.126995366e-12	4.57e-22
0.300	2.722028263e-08	2.14e-18
0.400	2.533206434e-06	3.88e-17
0.500	4.815429569e-05	6.50e-17
0.600	3.888274040e-04	5.62e-16
0.700	1.868019214e-03	1.87e-15
0.800	6.382052029e-03	4.52e-15
0.900	1.720309204e-02	7.45e-15
1.000	3.903971057e-02	9.16e-15
1.100	7.784757516e-02	8.99e-15
1.200	1.404782248e-01	7.88e-15
1.300	2.342645616e-01	7.99e-15
1.400	3.666189584e-01	1.14e-14
1.500	5.446894412e-01	1.71e-14
1.600	7.750937453e-01	2.43e-14
1.700	1.063733603e+00	3.23e-14
1.800	1.415681640e+00	4.15e-14
1.900	1.835128680e+00	4.98e-14
2.000	2.325378165e+00	5.76e-14
2.100	2.888875161e+00	6.50e-14
2.200	3.527259165e+00	7.33e-14
2.300	4.241431914e+00	8.07e-14
2.400	5.031633330e+00	8.92e-14
2.500	5.897520503e+00	9.85e-14
2.600	6.838245997e+00	1.05e-13
2.700	7.852532972e+00	1.16e-13
2.800	8.938745492e+00	1.27e-13
2.900	1.009495307e+01	1.35e-13
3.000	1.131898901e+01	1.45e-13
3.100	1.260850241e+01	1.54e-13
3.200	1.396100406e+01	1.72e-13
3.300	1.537390646e+01	1.88e-13
3.400	1.684455843e+01	1.98e-13
3.500	1.837027465e+01	1.65e-09
3.600	1.994836083e+01	1.44e-09
3.700	2.157613478e+01	1.25e-09
3.800	2.325094387e+01	1.08e-09
3.900	2.497017940e+01	9.30e-10
4.000	2.673128824e+01	7.90e-10
4.100	2.853178204e+01	6.65e-10
4.200	3.036924439e+01	5.53e-10
4.300	3.224133624e+01	4.52e-10
4.400	3.414579980e+01	3.63e-10
4.500	3.608046114e+01	2.84e-10
4.600	3.804323180e+01	2.15e-10
4.700	4.003210936e+01	1.55e-10
4.800	4.204517740e+01	1.04e-10
4.900	4.408060476e+01	6.25e-11
5.000	4.613664433e+01	2.98e-11
5.100	4.821163146e+01	7.41e-12
5.200	5.030398195e+01	3.44e-12
5.300	5.241218995e+01	2.09e-11
5.400	5.453482552e+01	4.57e-11
5.500	5.667053216e+01	7.49e-11
5.600	5.881802418e+01	1.07e-10
5.700	6.097608403e+01	1.42e-10
5.800	6.314355965e+01	1.78e-10
5.900	6.531936174e+01	2.16e-10
6.000	6.750246109e+01	2.54e-10
