T[MeV]	signal_value	signal_error
0	0	0
0.100	8.859101367e-46	2.04e-57
0.200	3.320808714e-26	7.67e-37
0.300	1.743018180e-18	4.28e-29
0.400	3.230793937e-14	5.32e-26
0.500	1.824378712e-11	4.76e-22
0.600	1.589577682e-09	1.03e-19
0.700	4.487501830e-08	6.86e-19
0.800	6.066284317e-07	1.03e-18
0.900	4.925144244e-06	3.32e-18
1.000	2.765259245e-05	7.89e-17
1.100	1.177932011e-04	2.81e-15
1.200	4.056772815e-04	4.50e-15
1.300	1.181756285e-03	1.73e-14
1.400	3.009537379e-03	4.72e-14
1.500	6.868107616e-03	9.66e-14
1.600	1.431381578e-02	1.12e-12
1.700	2.764728485e-02	2.17e-12
1.800	5.007135274e-02	3.97e-12
1.900	8.582727156e-02	2.92e-13
2.000	1.402996549e-01	2.27e-12
2.100	2.200843737e-01	6.31e-12
2.200	3.330171888e-01	1.23e-11
2.300	4.881639537e-01	2.16e-11
2.400	6.957755303e-01	2.90e-11
2.500	9.672121101e-01	3.88e-11
2.600	1.314842491e+00	4.88e-11
2.700	1.751924158e+00	1.57e-10
2.800	2.292469902e+00	1.77e-10
2.900	2.951106261e+00	1.96e-10
3.000	3.742928519e+00	2.12e-10
3.100	4.683356262e+00	2.25e-10
3.200	5.787992806e+00	2.35e-10
3.300	7.072491106e+00	2.43e-10
3.400	8.552428123e+00	2.47e-10
3.500	1.024318905e+01	2.48e-10
3.600	1.215986229e+01	2.47e-10
3.700	1.431714572e+01	2.43e-10
3.800	1.672926429e+01	2.37e-10
3.900	1.940989896e+01	2.29e-10
4.000	2.237212655e+01	2.20e-10
4.100	2.562836996e+01	2.09e-10
4.200	2.919035831e+01	1.96e-10
4.300	3.306909607e+01	1.83e-10
4.400	3.727484072e+01	1.69e-10
4.500	4.181708791e+01	1.56e-10
4.600	4.670456359e+01	1.42e-10
4.700	5.194522220e+01	1.28e-10
4.800	5.754625032e+01	1.15e-10
4.900	6.351407507e+01	1.04e-10
5.000	6.985437653e+01	9.51e-11
5.100	7.657210375e+01	9.06e-11
5.200	8.367149367e+01	8.91e-11
5.300	9.115609250e+01	8.93e-11
5.400	9.902877902e+01	9.10e-11
5.500	1.072917896e+02	9.38e-11
5.600	1.159467443e+02	9.78e-11
5.700	1.249946739e+02	1.03e-10
5.800	1.344360475e+02	1.09e-10
5.900	1.442708002e+02	1.16e-10
6.000	1.544983616e+02	1.24e-10
