T[MeV]	signal_value	signal_error
0	0	0
0.100	7.882293865e-16	5.22e-26
0.200	4.172901634e-09	1.74e-19
0.300	1.563131981e-06	1.38e-17
0.400	4.138423100e-05	3.86e-15
0.500	3.455171322e-04	1.43e-14
0.600	1.555043820e-03	9.80e-14
0.700	4.816427629e-03	4.66e-13
0.800	1.167520602e-02	7.35e-13
0.900	2.386735692e-02	2.07e-12
1.000	4.311129025e-02	2.72e-12
1.100	7.095290373e-02	3.39e-12
1.200	1.086742631e-01	4.06e-12
1.300	1.572559579e-01	4.72e-12
1.400	2.173773479e-01	5.35e-12
1.500	2.894400484e-01	5.96e-12
1.600	3.736034416e-01	6.53e-12
1.700	4.698245508e-01	7.08e-12
1.800	5.778975063e-01	7.59e-12
1.900	6.974899209e-01	8.07e-12
2.000	8.281748975e-01	8.53e-12
2.100	9.694582658e-01	8.95e-12
2.200	1.120801168e+00	9.36e-12
2.300	1.281638380e+00	9.74e-12
2.400	1.451392886e+00	1.01e-11
2.500	1.629487242e+00	1.04e-11
2.600	1.815352261e+00	1.07e-11
2.700	2.008433485e+00	1.10e-11
2.800	2.208195859e+00	1.13e-11
2.900	2.414126973e+00	1.16e-11
3.000	2.625739161e+00	1.18e-11
3.100	2.842570710e+00	1.21e-11
3.200	3.064186370e+00	1.23e-11
3.300	3.290177353e+00	3.15e-10
3.400	3.520160925e+00	3.20e-10
3.500	3.753779720e+00	3.67e-10
3.600	3.990700837e+00	3.72e-10
3.700	4.230614816e+00	4.10e-10
3.800	4.473234505e+00	4.32e-10
3.900	4.718293898e+00	4.37e-10
4.000	4.965546939e+00	4.42e-10
4.100	5.214766342e+00	4.47e-10
4.200	5.465742429e+00	4.51e-10
4.300	5.718281995e+00	4.55e-10
4.400	5.972207226e+00	4.59e-10
4.500	6.227354654e+00	4.63e-10
4.600	6.483574175e+00	4.67e-10
4.700	6.740728106e+00	4.71e-10
4.800	6.998690307e+00	4.74e-10
4.900	7.257345348e+00	4.78e-10
5.000	7.516587734e+00	4.81e-10
5.100	7.776321177e+00	4.84e-10
5.200	8.036457912e+00	4.87e-10
5.300	8.296918067e+00	4.90e-10
5.400	8.557629071e+00	4.93e-10
5.500	8.818525103e+00	4.95e-10
5.600	9.079546579e+00	4.98e-10
5.700	9.340639682e+00	5.01e-10
5.800	9.601755914e+00	5.03e-10
5.900	9.862851691e+00	5.05e-10
6.000	1.012388796e+01	5.08e-10
