T[MeV]	signal_value	signal_error
0	0	0
0.100	1.773463722e-41	3.23e-52
0.200	1.041519376e-23	2.11e-35
0.300	1.053155789e-16	4.38e-28
0.400	7.823803454e-13	1.48e-25
0.500	2.445033712e-10	2.60e-21
0.600	1.401972753e-08	1.20e-18
0.700	2.892208161e-07	1.29e-18
0.800	3.059849432e-06	2.47e-17
0.900	2.038989035e-05	4.74e-16
1.000	9.725901668e-05	4.62e-16
1.100	3.612003261e-04	1.19e-15
1.200	1.106384175e-03	3.49e-15
1.300	2.911950147e-03	1.53e-13
1.400	6.785467823e-03	7.89e-14
1.500	1.431624244e-02	1.21e-13
1.600	2.782127193e-02	5.50e-13
1.700	5.046854115e-02	1.31e-12
1.800	8.636656343e-02	5.27e-12
1.900	1.406141200e-01	4.40e-12
2.000	2.193088656e-01	4.76e-12
2.100	3.295172281e-01	8.19e-12
2.200	4.792106058e-01	1.32e-11
2.300	6.771743255e-01	1.94e-11
2.400	9.328963509e-01	2.65e-11
2.500	1.256442578e+00	3.43e-11
2.600	1.658324949e+00	4.25e-11
2.700	2.149367769e+00	5.07e-11
2.800	2.740576625e+00	5.88e-11
2.900	3.443013361e+00	6.69e-11
3.000	4.267679654e+00	7.49e-11
3.100	5.225410932e+00	8.27e-11
3.200	6.326781698e+00	9.06e-11
3.300	7.582022758e+00	9.91e-11
3.400	9.000950425e+00	1.08e-10
3.500	1.059290739e+01	1.16e-10
3.600	1.236671477e+01	1.24e-10
3.700	1.433063455e+01	1.31e-10
3.800	1.649234169e+01	1.38e-10
3.900	1.885890493e+01	1.45e-10
4.000	2.143677544e+01	1.51e-10
4.100	2.423178235e+01	1.56e-10
4.200	2.724913436e+01	1.61e-10
4.300	3.049342656e+01	1.66e-10
4.400	3.396865163e+01	1.70e-10
4.500	3.767821477e+01	1.73e-10
4.600	4.162495173e+01	1.77e-10
4.700	4.581114918e+01	1.79e-10
4.800	5.023856712e+01	1.82e-10
4.900	5.490846263e+01	1.84e-10
5.000	5.982161473e+01	5.21e-09
5.100	6.497834982e+01	2.56e-09
5.200	7.037856761e+01	6.87e-10
5.300	7.602176695e+01	5.61e-10
5.400	8.190707167e+01	2.32e-09
5.500	8.803325597e+01	4.85e-09
5.600	9.439876940e+01	7.94e-09
5.700	1.010017611e+02	1.89e-10
5.800	1.078401036e+02	1.88e-10
5.900	1.149114151e+02	1.88e-10
6.000	1.222130818e+02	1.87e-10
