T[MeV]	signal_value	signal_error
0	0	0
0.100	2.215550759e-65	1.45e-77
0.200	1.101055640e-43	7.74e-55
0.300	3.133709267e-35	1.23e-45
0.400	1.375103050e-30	3.31e-42
0.500	1.308059378e-27	2.38e-38
0.600	1.614214986e-25	1.55e-36
0.700	5.837161407e-24	2.63e-35
0.800	9.485838666e-23	1.19e-34
0.900	8.871985213e-22	1.26e-33
1.000	5.568910420e-21	6.95e-32
1.100	2.594748406e-20	2.20e-31
1.200	9.615474935e-20	1.23e-30
1.300	2.976149925e-19	4.53e-30
1.400	7.973834846e-19	6.41e-29
1.500	1.899409825e-18	6.27e-29
1.600	4.105617227e-18	1.99e-28
1.700	8.181729572e-18	5.66e-29
1.800	1.522192369e-17	4.79e-28
1.900	2.670661638e-17	1.49e-27
2.000	4.454873254e-17	3.16e-27
2.100	7.112527364e-17	5.49e-27
2.200	1.092925804e-16	7.55e-27
2.300	1.623851192e-16	9.25e-27
2.400	2.341987818e-16	1.09e-26
2.500	3.289605162e-16	3.06e-26
2.600	4.512866188e-16	3.49e-26
2.700	6.061322481e-16	3.86e-26
2.800	7.987347338e-16	4.15e-26
2.900	1.034553112e-15	4.34e-26
3.000	1.319206063e-15	7.14e-26
3.100	1.658410138e-15	4.59e-26
3.200	2.057919804e-15	6.03e-26
3.300	2.523470551e-15	1.03e-25
3.400	3.060725962e-15	1.65e-25
3.500	3.675229400e-15	2.45e-25
3.600	4.372360723e-15	3.43e-25
3.700	5.157298212e-15	4.58e-25
3.800	6.034985782e-15	5.91e-25
3.900	7.010105364e-15	1.53e-26
4.000	8.087054274e-15	1.10e-26
4.100	9.269927314e-15	7.65e-27
4.200	1.056250327e-14	7.47e-27
4.300	1.196823547e-14	9.18e-27
4.400	1.349024603e-14	1.22e-26
4.500	1.513132346e-14	1.64e-26
4.600	1.689392309e-14	2.17e-26
4.700	1.878017026e-14	2.85e-26
4.800	2.079186559e-14	3.68e-26
4.900	2.293049229e-14	4.61e-26
5.000	2.519722501e-14	5.64e-26
5.100	2.759294008e-14	6.76e-26
5.200	3.011822679e-14	7.96e-26
5.300	3.277339962e-14	9.23e-26
5.400	3.555851097e-14	1.06e-25
5.500	3.847336451e-14	1.19e-25
5.600	4.151752875e-14	1.33e-25
5.700	4.469035078e-14	1.48e-25
5.800	4.799097007e-14	1.62e-25
5.900	5.141833219e-14	1.77e-25
6.000	5.497120235e-14	1.92e-25
6.100	5.864817872e-14	2.07e-25
6.200	6.244770544e-14	2.22e-25
6.300	6.636808529e-14	2.37e-25
6.400	7.040749190e-14	2.52e-25
6.500	7.456398163e-14	2.67e-25
6.600	7.883550487e-14	2.82e-25
6.700	8.321991697e-14	2.97e-25
6.800	8.771498858e-14	3.11e-25
6.900	9.231841559e-14	3.25e-25
7.000	9.702782849e-14	3.39e-25
7.100	1.018408013e-13	3.53e-25
7.200	1.067548598e-13	3.67e-25
7.300	1.117674899e-13	3.80e-25
7.400	1.168761443e-13	3.93e-25
7.500	1.220782504e-13	1.21e-23
7.600	1.273712160e-13	1.24e-23
7.700	1.327524358e-13	1.27e-23
7.800	1.382192972e-13	1.31e-23
7.900	1.437691849e-13	1.34e-23
8.000	1.493994866e-13	1.37e-23
8.100	1.551075971e-13	1.41e-23
8.200	1.608909221e-13	1.44e-23
8.300	1.667468827e-13	1.47e-23
8.400	1.726729184e-13	1.50e-23
8.500	1.786664906e-13	1.53e-23
8.600	1.847250850e-13	1.56e-23
8.700	1.908462148e-13	1.59e-23
8.800	1.970274227e-13	1.62e-23
8.900	2.032662832e-13	1.65e-23
9.000	2.095604044e-13	1.68e-23
9.100	2.159074299e-13	1.71e-23
9.200	2.223050397e-13	1.74e-23
9.300	2.287509524e-13	1.77e-23
9.400	2.352429255e-13	1.80e-23
9.500	2.417787569e-13	1.83e-23
9.600	2.483562854e-13	1.85e-23
9.700	2.549733916e-13	1.88e-23
9.800	2.616279984e-13	1.91e-23
9.900	2.683180711e-13	1.93e-23
10.000	2.750416183e-13	1.96e-23
