T[MeV]	signal_value	signal_error
0	0	0
0.100	3.246351431e-76	3.88e-87
0.200	1.067942288e-40	3.72e-51
0.300	1.835618141e-28	6.92e-39
0.400	4.706507186e-22	2.14e-33
0.500	5.517845538e-18	2.92e-29
0.600	4.176715499e-15	1.77e-27
0.700	6.281113637e-13	4.60e-26
0.800	3.299604447e-11	1.57e-21
0.900	8.335008149e-10	4.70e-20
1.000	1.233348124e-08	2.77e-19
1.100	1.217290431e-07	1.18e-18
1.200	8.764837302e-07	4.88e-17
1.300	4.909096466e-06	1.08e-16
1.400	2.242488153e-05	2.11e-15
1.500	8.659282137e-05	4.51e-15
1.600	2.905803217e-04	9.07e-15
1.700	8.660099392e-04	1.58e-14
1.800	2.332313155e-03	2.65e-14
1.900	5.756442114e-03	4.89e-13
2.000	1.317090281e-02	7.46e-13
2.100	2.820334341e-02	1.09e-12
2.200	5.697164283e-02	4.96e-12
2.300	1.092939527e-01	6.90e-12
2.400	2.002535661e-01	1.49e-11
2.500	3.521446034e-01	2.98e-11
2.600	5.968075905e-01	2.99e-11
2.700	9.783455603e-01	8.21e-11
2.800	1.556192869e+00	1.06e-10
2.900	2.408491846e+00	1.40e-10
3.000	3.635717779e+00	1.81e-10
3.100	5.364481333e+00	2.30e-10
3.200	7.751429693e+00	2.85e-10
3.300	1.098716364e+01	6.80e-10
3.400	1.530008726e+01	4.05e-10
3.500	2.096010949e+01	4.67e-10
3.600	2.828212235e+01	5.30e-10
3.700	3.762918785e+01	5.92e-10
3.800	4.941537482e+01	6.52e-10
3.900	6.410819717e+01	7.10e-10
4.000	8.223061525e+01	7.65e-10
4.100	1.043625731e+02	8.17e-10
4.200	1.311420549e+02	8.66e-10
4.300	1.632656524e+02	9.12e-10
4.400	2.014886468e+02	9.56e-10
4.500	2.466246137e+02	9.99e-10
4.600	2.995445681e+02	1.04e-09
4.700	3.611756731e+02	1.08e-09
4.800	4.324995396e+02	1.12e-09
4.900	5.145501478e+02	1.17e-09
5.000	6.084114261e+02	1.21e-09
5.100	7.152145227e+02	1.27e-09
5.200	8.361348076e+02	1.33e-09
5.300	9.723886431e+02	9.62e-08
5.400	1.125229959e+03	7.43e-08
5.500	1.295946672e+03	5.16e-08
5.600	1.485856979e+03	2.97e-08
5.700	1.696305568e+03	1.12e-08
5.800	1.928659768e+03	2.57e-09
5.900	2.184305672e+03	1.78e-08
6.000	2.464644268e+03	4.46e-08
