T[MeV]	signal_value	signal_error
0	0	0
0.100	1.548164643e-74	1.99e-85
0.200	3.374330242e-39	1.44e-49
0.300	4.398138785e-27	1.19e-37
0.400	8.572160243e-21	4.32e-32
0.500	7.640984235e-17	1.26e-28
0.600	4.472586800e-14	1.85e-26
0.700	5.345873157e-12	9.62e-25
0.800	2.298785683e-10	1.43e-23
0.900	4.883466130e-09	4.46e-19
1.000	6.219497756e-08	2.61e-18
1.100	5.386674262e-07	3.63e-17
1.200	3.458644352e-06	1.21e-16
1.300	1.750655084e-05	3.35e-16
1.400	7.308304667e-05	7.17e-15
1.500	2.603402066e-04	1.71e-15
1.600	8.123937036e-04	7.90e-14
1.700	2.266894491e-03	1.32e-13
1.800	5.749906081e-03	1.82e-13
1.900	1.343424228e-02	1.27e-12
2.000	2.922798511e-02	1.93e-12
2.100	5.974650908e-02	2.82e-12
2.200	1.156127061e-01	6.18e-12
2.300	2.131159601e-01	5.82e-12
2.400	3.762422483e-01	1.36e-11
2.500	6.390674561e-01	2.73e-11
2.600	1.048485554e+00	4.54e-11
2.700	1.667224480e+00	6.63e-11
2.800	2.577086769e+00	2.14e-10
2.900	3.882340108e+00	2.60e-10
3.000	5.713175470e+00	4.82e-10
3.100	8.229147373e+00	5.71e-10
3.200	1.162251178e+01	1.12e-09
3.300	1.612138160e+01	1.30e-09
3.400	2.199262726e+01	1.50e-09
3.500	2.954445905e+01	1.71e-09
3.600	3.912863922e+01	1.94e-09
3.700	5.114228303e+01	4.72e-09
3.800	6.602922024e+01	5.25e-09
3.900	8.428089944e+01	4.11e-09
4.000	1.064368290e+02	6.73e-09
4.100	1.330845575e+02	8.60e-09
4.200	1.648592065e+02	1.40e-08
4.300	2.024425734e+02	8.46e-09
4.400	2.465618318e+02	1.81e-08
4.500	2.979878573e+02	1.97e-08
4.600	3.575332157e+02	2.14e-08
4.700	4.260498462e+02	2.31e-08
4.800	5.044264814e+02	2.49e-08
4.900	5.935858392e+02	2.67e-08
5.000	6.944816273e+02	2.86e-08
5.100	8.080953969e+02	3.05e-08
5.200	9.354332813e+02	3.24e-08
5.300	1.077522655e+03	3.44e-08
5.400	1.235408745e+03	3.64e-08
5.500	1.410151223e+03	3.84e-08
5.600	1.602820808e+03	4.05e-08
5.700	1.814495907e+03	4.25e-08
5.800	2.046259305e+03	4.46e-08
5.900	2.299194938e+03	4.67e-08
6.000	2.574384760e+03	4.88e-08
