T[MeV]	signal_value	signal_error
0	0	0
0.100	7.389879237e-75	9.14e-86
0.200	1.449491118e-39	5.69e-50
0.300	1.911007721e-27	7.32e-38
0.400	3.917378604e-21	1.08e-32
0.500	3.732863054e-17	9.11e-29
0.600	2.343221463e-14	5.74e-27
0.700	2.991735737e-12	3.63e-25
0.800	1.365005514e-10	1.24e-20
0.900	3.054887181e-09	1.57e-19
1.000	4.071936773e-08	2.99e-18
1.100	3.670004879e-07	1.27e-17
1.200	2.440319735e-06	4.22e-17
1.300	1.273973818e-05	1.17e-16
1.400	5.466345912e-05	4.72e-15
1.500	1.995596095e-04	9.84e-15
1.600	6.366007625e-04	1.72e-14
1.700	1.812064767e-03	2.67e-14
1.800	4.679988844e-03	2.76e-13
1.900	1.111589077e-02	4.39e-13
2.000	2.455106866e-02	1.51e-12
2.100	5.088523807e-02	1.58e-12
2.200	9.972921128e-02	6.40e-12
2.300	1.860172580e-01	1.50e-11
2.400	3.320118648e-01	2.87e-11
2.500	5.697035603e-01	3.74e-11
2.600	9.435872591e-01	7.38e-11
2.700	1.513776087e+00	9.25e-11
2.800	2.359395488e+00	1.90e-10
2.900	3.582185760e+00	2.31e-10
3.000	5.310230685e+00	4.39e-10
3.100	7.701723989e+00	7.38e-10
3.200	1.094868369e+01	8.46e-10
3.300	1.528052681e+01	9.64e-10
3.400	2.096742252e+01	1.10e-09
3.500	2.832335034e+01	2.73e-09
3.600	3.770880018e+01	1.43e-09
3.700	4.953306267e+01	3.81e-09
3.800	6.425607017e+01	5.52e-09
3.900	8.238976140e+01	4.52e-09
4.000	1.044989539e+02	5.04e-09
4.100	1.312017196e+02	5.58e-09
4.200	1.631692696e+02	6.15e-09
4.300	2.011253603e+02	6.75e-09
4.400	2.458452453e+02	7.36e-09
4.500	2.981541973e+02	7.99e-09
4.600	3.589256352e+02	8.64e-09
4.700	4.290788911e+02	9.31e-09
4.800	5.095766559e+02	9.98e-09
4.900	6.014221433e+02	1.07e-08
5.000	7.056560140e+02	1.14e-08
5.100	8.233530992e+02	1.21e-08
5.200	9.556189631e+02	1.28e-08
5.300	1.103586343e+03	1.35e-08
5.400	1.268411505e+03	1.42e-08
5.500	1.451270542e+03	1.50e-08
5.600	1.653355660e+03	1.57e-08
5.700	1.875871466e+03	1.65e-08
5.800	2.120031295e+03	2.10e-07
5.900	2.387053595e+03	2.02e-07
6.000	2.678158393e+03	1.91e-07
