T[MeV]	signal_value	signal_error
0	0	0
0.100	1.687150317e-96	7.01e-101
0.200	8.340297754e-59	2.79e-69
0.300	7.422982226e-46	2.09e-56
0.400	4.190710212e-39	1.43e-50
0.500	7.632858842e-35	9.23e-46
0.600	7.538099466e-32	2.26e-44
0.700	1.341971537e-29	7.17e-43
0.800	7.874221797e-28	5.11e-38
0.900	2.141698448e-26	1.76e-36
1.000	3.330720125e-25	1.16e-35
1.100	3.398387731e-24	5.43e-35
1.200	2.500420140e-23	1.96e-34
1.300	1.419214180e-22	8.31e-33
1.400	6.530049015e-22	1.71e-32
1.500	2.528466949e-21	2.25e-31
1.600	8.479560468e-21	5.36e-31
1.700	2.519216853e-20	1.00e-30
1.800	6.750520804e-20	1.74e-30
1.900	1.655337909e-19	1.10e-29
2.000	3.758880293e-19	1.81e-29
2.100	7.981797603e-19	7.71e-29
2.200	1.597918255e-18	1.11e-28
2.300	3.036671708e-18	1.56e-28
2.400	5.510034443e-18	2.12e-28
2.500	9.593525712e-18	8.76e-28
2.600	1.609609757e-17	1.15e-27
2.700	2.612048945e-17	2.40e-27
2.800	4.112927273e-17	3.02e-27
2.900	6.301510843e-17	4.75e-27
3.000	9.417351123e-17	5.34e-27
3.100	1.375762824e-16	5.99e-27
3.200	1.968437386e-16	1.67e-26
3.300	2.763139170e-16	1.96e-26
3.400	3.811070626e-16	2.32e-26
3.500	5.171838907e-16	2.73e-26
3.600	6.913963431e-16	3.18e-26
3.700	9.115298086e-16	5.52e-26
3.800	1.186336045e-15	5.44e-26
3.900	1.525556295e-15	1.38e-25
4.000	1.939934354e-15	5.44e-26
4.100	2.441219550e-15	6.09e-26
4.200	3.042159849e-15	6.77e-26
4.300	3.756485428e-15	7.48e-26
4.400	4.598883243e-15	8.21e-26
4.500	5.584963230e-15	8.96e-26
4.600	6.731216867e-15	9.72e-26
4.700	8.054968891e-15	1.05e-25
4.800	9.574323006e-15	1.13e-25
4.900	1.130810245e-14	1.21e-25
5.000	1.327578626e-14	1.29e-25
5.100	1.549744209e-14	1.37e-25
5.200	1.799365641e-14	1.45e-25
5.300	2.078546286e-14	1.53e-25
5.400	2.389426942e-14	1.61e-25
5.500	2.734178521e-14	1.69e-25
5.600	3.114994746e-14	1.76e-25
5.700	3.534084917e-14	1.84e-25
5.800	3.993666808e-14	1.92e-25
5.900	4.495959733e-14	2.00e-25
6.000	5.043177816e-14	2.08e-25
6.100	5.637523512e-14	2.15e-25
6.200	6.281181390e-14	2.23e-25
6.300	6.976312211e-14	6.24e-24
6.400	7.725047323e-14	5.92e-24
6.500	8.529483379e-14	5.54e-24
6.600	9.391677383e-14	5.11e-24
6.700	1.031364210e-13	4.64e-24
6.800	1.129734177e-13	4.13e-24
6.900	1.234468824e-13	3.59e-24
7.000	1.345753737e-13	3.04e-24
7.100	1.463768578e-13	2.48e-24
7.200	1.588686801e-13	1.94e-24
7.300	1.720675392e-13	1.42e-24
7.400	1.859894645e-13	9.59e-25
7.500	2.006497965e-13	5.74e-25
7.600	2.160631706e-13	3.36e-25
7.700	2.322435034e-13	5.29e-25
7.800	2.492039814e-13	9.57e-25
7.900	2.669570528e-13	1.54e-24
8.000	2.855144214e-13	2.25e-24
8.100	3.048870431e-13	3.09e-24
8.200	3.250851241e-13	4.05e-24
8.300	3.461181212e-13	5.11e-24
8.400	3.679947447e-13	6.28e-24
8.500	3.907229621e-13	7.55e-24
8.600	4.143100039e-13	8.91e-24
8.700	4.387623710e-13	1.04e-23
8.800	4.640858428e-13	1.19e-23
8.900	4.902854880e-13	1.35e-23
9.000	5.173656746e-13	1.52e-23
9.100	5.453300827e-13	1.70e-23
9.200	5.741817171e-13	1.88e-23
9.300	6.039229214e-13	2.07e-23
9.400	6.345553924e-13	2.27e-23
9.500	6.660801954e-13	2.47e-23
9.600	6.984977797e-13	2.68e-23
9.700	7.318079955e-13	2.89e-23
9.800	7.660101100e-13	3.11e-23
9.900	8.011028248e-13	3.33e-23
10.000	8.370842930e-13	3.55e-23
