T[MeV]	signal_value	signal_error
0	0	0
0.100	2.352389212e-30	7.15e-44
0.200	2.338570090e-17	1.38e-27
0.300	3.074460720e-12	3.47e-24
0.400	2.058231228e-09	2.88e-22
0.500	1.358400283e-07	9.00e-18
0.600	2.596969509e-06	2.45e-16
0.700	2.353533178e-05	2.07e-15
0.800	1.310182423e-04	3.26e-15
0.900	5.206239926e-04	4.42e-15
1.000	1.621323022e-03	1.73e-14
1.100	4.207381661e-03	4.29e-14
1.200	9.488905991e-03	7.41e-14
1.300	1.916229078e-02	1.01e-13
1.400	3.541432367e-02	1.15e-13
1.500	6.088401377e-02	1.13e-13
1.600	9.859217142e-02	9.72e-14
1.700	1.518507175e-01	7.56e-14
1.800	2.241629605e-01	5.93e-14
1.900	3.191239625e-01	8.57e-14
2.000	4.403275762e-01	1.48e-13
2.100	5.912843421e-01	2.31e-13
2.200	7.753524455e-01	3.29e-13
2.300	9.956824288e-01	4.39e-13
2.400	1.255175305e+00	1.02e-10
2.500	1.556453044e+00	1.03e-10
2.600	1.901840026e+00	1.04e-10
2.700	2.293353896e+00	1.04e-10
2.800	2.732704234e+00	1.03e-10
2.900	3.221297522e+00	1.01e-10
3.000	3.760247048e+00	9.98e-11
3.100	4.350386524e+00	9.78e-11
3.200	4.992286365e+00	9.55e-11
3.300	5.686271756e+00	9.30e-11
3.400	6.432441776e+00	9.04e-11
3.500	7.230688991e+00	8.76e-11
3.600	8.080719041e+00	8.47e-11
3.700	8.982069881e+00	8.18e-11
3.800	9.934130367e+00	7.88e-11
3.900	1.093615803e+01	7.59e-11
4.000	1.198729587e+01	7.29e-11
4.100	1.308658811e+01	7.00e-11
4.200	1.423299480e+01	6.72e-11
4.300	1.542540537e+01	6.43e-11
4.400	1.666265102e+01	6.16e-11
4.500	1.794351600e+01	5.89e-11
4.600	1.926674795e+01	5.63e-11
4.700	2.063106710e+01	5.37e-11
4.800	2.203517459e+01	5.13e-11
4.900	2.347775994e+01	4.89e-11
5.000	2.495750764e+01	4.66e-11
5.100	2.647310295e+01	4.43e-11
5.200	2.802323708e+01	4.22e-11
5.300	2.960661162e+01	4.01e-11
5.400	3.122194248e+01	3.81e-11
5.500	3.286796317e+01	3.62e-11
5.600	3.454342772e+01	3.43e-11
5.700	3.624711305e+01	3.25e-11
5.800	3.797782101e+01	3.08e-11
5.900	3.973438001e+01	2.92e-11
6.000	4.151564637e+01	2.76e-11
