T[MeV]	signal_value	signal_error
0	0	0
0.100	2.368995424e-63	1.82e-73
0.200	1.725716439e-42	5.41e-55
0.300	2.286156277e-34	5.73e-45
0.400	6.557302477e-30	6.44e-41
0.500	4.736969770e-27	3.56e-37
0.600	4.812121079e-25	1.34e-35
0.700	1.504064951e-23	7.92e-35
0.800	2.181281666e-22	7.65e-35
0.900	1.861488664e-21	1.34e-33
1.000	1.083414583e-20	2.05e-32
1.100	4.737399704e-20	3.79e-30
1.200	1.662920730e-19	9.06e-30
1.300	4.911269338e-19	3.80e-30
1.400	1.262994365e-18	1.06e-29
1.500	2.901591753e-18	2.32e-29
1.600	6.073075309e-18	4.08e-29
1.700	1.175809753e-17	9.50e-28
1.800	2.131329569e-17	9.63e-28
1.900	3.652064396e-17	3.40e-27
2.000	5.962083266e-17	2.84e-27
2.100	9.332875685e-17	2.07e-27
2.200	1.408309474e-16	1.94e-27
2.300	2.057661729e-16	2.40e-27
2.400	2.921914117e-16	3.53e-27
2.500	4.045359609e-16	5.69e-27
2.600	5.475466667e-16	9.19e-27
2.700	7.262272233e-16	1.36e-26
2.800	9.457742609e-16	1.87e-26
2.900	1.211512612e-15	2.44e-26
3.000	1.528831750e-15	3.05e-26
3.100	1.903125007e-15	3.70e-26
3.200	2.339732770e-15	4.36e-26
3.300	2.843890532e-15	5.02e-26
3.400	3.420682342e-15	5.68e-26
3.500	4.074999958e-15	6.32e-26
3.600	4.811507790e-15	6.94e-26
3.700	5.634613545e-15	7.53e-26
3.800	6.548444369e-15	8.08e-26
3.900	7.556828187e-15	8.57e-26
4.000	8.663279870e-15	9.03e-26
4.100	9.870991822e-15	9.43e-26
4.200	1.118282856e-14	9.78e-26
4.300	1.260132489e-14	1.01e-25
4.400	1.412868713e-14	1.03e-25
4.500	1.576679719e-14	1.06e-25
4.600	1.751721887e-14	1.07e-25
4.700	1.938120622e-14	1.08e-25
4.800	2.135971342e-14	1.09e-25
4.900	2.345340616e-14	1.10e-25
5.000	2.566267388e-14	1.10e-25
5.100	2.798764293e-14	1.09e-25
5.200	3.042819028e-14	1.09e-25
5.300	3.298395758e-14	1.08e-25
5.400	3.565436546e-14	1.07e-25
5.500	3.843862788e-14	1.06e-25
5.600	4.133576643e-14	1.04e-25
5.700	4.434462444e-14	1.03e-25
5.800	4.746388082e-14	1.01e-25
5.900	5.069206358e-14	9.95e-26
6.000	5.402756297e-14	9.78e-26
6.100	5.746864411e-14	9.61e-26
6.200	6.101345924e-14	9.45e-26
6.300	6.466005934e-14	9.29e-26
6.400	6.840640531e-14	9.15e-26
6.500	7.225037857e-14	9.02e-26
6.600	7.618979112e-14	8.90e-26
6.700	8.022239505e-14	8.80e-26
6.800	8.434589150e-14	8.73e-26
6.900	8.855793912e-14	8.69e-26
7.000	9.285616192e-14	8.75e-26
7.100	9.723815667e-14	8.79e-26
7.200	1.017014998e-13	8.94e-26
7.300	1.062437539e-13	9.11e-26
7.400	1.108624735e-13	9.31e-26
7.500	1.155552105e-13	9.52e-26
7.600	1.203195196e-13	9.74e-26
7.700	1.251529627e-13	9.97e-26
7.800	1.300531131e-13	1.02e-25
7.900	1.350175596e-13	1.05e-25
8.000	1.400439099e-13	1.07e-25
8.100	1.451297941e-13	1.10e-25
8.200	1.502728672e-13	1.12e-25
8.300	1.554708122e-13	1.15e-25
8.400	1.607213421e-13	1.18e-25
8.500	1.660222021e-13	1.21e-25
8.600	1.713711716e-13	1.23e-25
8.700	1.767660655e-13	1.26e-25
8.800	1.822047361e-13	1.29e-25
8.900	1.876850738e-13	1.32e-25
9.000	1.932050087e-13	1.34e-25
9.100	1.987625109e-13	1.37e-25
9.200	2.043555918e-13	1.40e-25
9.300	2.099823041e-13	1.43e-25
9.400	2.156407428e-13	1.45e-25
9.500	2.213290451e-13	1.48e-25
9.600	2.270453909e-13	1.51e-25
9.700	2.327880026e-13	1.54e-25
9.800	2.385551455e-13	1.56e-25
9.900	2.443451274e-13	1.59e-25
10.000	2.501562987e-13	1.61e-25
