T[MeV]	signal_value	signal_error
0	0	0
0.100	9.411553484e-45	7.44e-57
0.200	1.352485811e-25	4.39e-36
0.300	6.229552629e-18	1.80e-28
0.400	1.164823378e-13	1.68e-25
0.500	6.860229987e-11	3.45e-22
0.600	6.277740569e-09	6.28e-20
0.700	1.859593726e-07	3.36e-19
0.800	2.628891778e-06	1.23e-18
0.900	2.223339481e-05	5.63e-17
1.000	1.295391006e-04	1.05e-15
1.100	5.706132011e-04	9.33e-15
1.200	2.025805676e-03	9.72e-14
1.300	6.066464423e-03	1.54e-13
1.400	1.584291764e-02	1.08e-12
1.500	3.699665002e-02	1.61e-12
1.600	7.874839148e-02	6.48e-13
1.700	1.550832772e-01	4.54e-13
1.800	2.859398234e-01	2.64e-11
1.900	4.983109638e-01	3.12e-11
2.000	8.271790087e-01	4.72e-11
2.100	1.316227074e+00	9.70e-11
2.200	2.018292594e+00	1.48e-10
2.300	2.995550470e+00	1.48e-10
2.400	4.319432017e+00	1.37e-10
2.500	6.070300176e+00	1.16e-10
2.600	8.336911248e+00	8.76e-11
2.700	1.121569917e+01	5.69e-11
2.800	1.480992062e+01	3.13e-11
2.900	1.922869897e+01	3.87e-11
3.000	2.458600284e+01	7.69e-11
3.100	3.099959154e+01	1.34e-10
3.200	3.858995556e+01	2.07e-10
3.300	4.747927584e+01	2.95e-10
3.400	5.779042107e+01	3.96e-10
3.500	6.964599809e+01	5.09e-10
3.600	8.316746670e+01	6.34e-10
3.700	9.847432667e+01	7.70e-10
3.800	1.156833819e+02	9.15e-10
3.900	1.349080844e+02	1.07e-09
4.000	1.562579575e+02	1.22e-09
4.100	1.798380993e+02	1.37e-09
4.200	2.057487604e+02	1.52e-09
4.300	2.340849963e+02	1.68e-09
4.400	2.649363867e+02	1.82e-09
4.500	2.983868199e+02	1.97e-09
4.600	3.345143357e+02	2.11e-09
4.700	3.733910217e+02	2.24e-09
4.800	4.150829591e+02	2.37e-09
4.900	4.596502118e+02	2.49e-09
5.000	5.071468543e+02	2.60e-09
5.100	5.576210345e+02	2.70e-09
5.200	6.111150655e+02	6.04e-08
5.300	6.676655438e+02	6.31e-08
5.400	7.273034893e+02	6.57e-08
5.500	7.900545036e+02	6.83e-08
5.600	8.559389437e+02	7.08e-08
5.700	9.249721076e+02	7.34e-08
5.800	9.971644302e+02	7.58e-08
5.900	1.072521686e+03	7.83e-08
6.000	1.151045196e+03	8.07e-08
