T[MeV]	signal_value	signal_error
0	0	0
0.100	1.073324428e-22	8.56e-33
0.200	5.790359430e-13	1.79e-23
0.300	4.620093898e-09	2.78e-19
0.400	6.978068135e-07	9.69e-18
0.500	1.815328743e-05	7.88e-17
0.600	1.829898085e-04	2.81e-16
0.700	1.038085603e-03	1.36e-15
0.800	4.037929534e-03	3.07e-15
0.900	1.208284186e-02	4.58e-15
1.000	2.988691308e-02	6.55e-15
1.100	6.407293154e-02	7.95e-15
1.200	1.230005960e-01	1.14e-14
1.300	2.164019464e-01	2.13e-14
1.400	3.549159939e-01	3.37e-14
1.500	5.496023373e-01	4.75e-14
1.600	8.114899619e-01	6.13e-14
1.700	1.151193807e+00	7.55e-14
1.800	1.578612939e+00	8.89e-14
1.900	2.102711283e+00	1.16e-10
2.000	2.731374127e+00	2.57e-12
2.100	3.471329685e+00	1.41e-10
2.200	4.328123673e+00	3.71e-10
2.300	5.306135115e+00	1.51e-13
2.400	6.408622723e+00	1.60e-13
2.500	7.637792712e+00	1.67e-13
2.600	8.994880510e+00	1.79e-13
2.700	1.048024036e+01	1.86e-13
2.800	1.209343819e+01	1.97e-13
2.900	1.383334425e+01	2.12e-13
3.000	1.569822303e+01	2.27e-13
3.100	1.768581875e+01	2.46e-13
3.200	1.979343520e+01	2.67e-13
3.300	2.201800941e+01	2.89e-13
3.400	2.435617880e+01	3.10e-13
3.500	2.680434169e+01	3.35e-13
3.600	2.935871154e+01	3.62e-13
3.700	3.201536493e+01	3.89e-13
3.800	3.477028385e+01	4.20e-13
3.900	3.761939267e+01	4.48e-13
4.000	4.055859007e+01	4.67e-13
4.100	4.358377667e+01	4.98e-13
4.200	4.669087844e+01	5.40e-13
4.300	4.987586666e+01	5.60e-13
4.400	5.313477447e+01	5.98e-13
4.500	5.646371069e+01	6.36e-13
4.600	5.985887101e+01	6.60e-13
4.700	6.331654704e+01	7.17e-13
4.800	6.683313331e+01	7.55e-13
4.900	7.040513266e+01	7.71e-13
5.000	7.402916012e+01	8.45e-13
5.100	7.770194556e+01	7.75e-09
5.200	8.142033520e+01	7.89e-09
5.300	8.518129227e+01	8.03e-09
5.400	8.898189678e+01	8.15e-09
5.500	9.281934474e+01	8.28e-09
5.600	9.669094676e+01	8.40e-09
5.700	1.005941262e+02	8.51e-09
5.800	1.045264171e+02	8.62e-09
5.900	1.084854613e+02	8.73e-09
6.000	1.124690062e+02	8.83e-09
