T[MeV]	signal_value	signal_error
0	0	0
0.100	1.187092671e-63	4.84e-74
0.200	1.162903467e-42	2.26e-55
0.300	1.729520283e-34	9.70e-46
0.400	5.285411774e-30	5.09e-41
0.500	3.976157549e-27	1.57e-37
0.600	4.155487748e-25	9.67e-36
0.700	1.326481534e-23	2.47e-35
0.800	1.955380594e-22	9.24e-35
0.900	1.690603702e-21	2.08e-33
1.000	9.945182678e-21	2.38e-32
1.100	4.387632606e-20	9.15e-31
1.200	1.551842616e-19	1.06e-30
1.300	4.613131358e-19	3.97e-30
1.400	1.193057960e-18	1.08e-29
1.500	2.754580126e-18	2.30e-29
1.600	5.790820945e-18	3.94e-29
1.700	1.125576625e-17	7.85e-28
1.800	2.047488634e-17	6.73e-28
1.900	3.519607963e-17	1.70e-27
2.000	5.762511823e-17	9.39e-28
2.100	9.044347459e-17	7.89e-28
2.200	1.368081574e-16	1.40e-27
2.300	2.003346051e-16	3.40e-27
2.400	2.850646944e-16	6.50e-27
2.500	3.954225333e-16	1.06e-26
2.600	5.361609668e-16	1.54e-26
2.700	7.123017246e-16	2.10e-26
2.800	9.290719387e-16	2.71e-26
2.900	1.191839452e-15	3.35e-26
3.000	1.506048956e-15	4.02e-26
3.100	1.877160620e-15	4.69e-26
3.200	2.310592455e-15	5.35e-26
3.300	2.811667357e-15	6.00e-26
3.400	3.385565422e-15	6.61e-26
3.500	4.037281869e-15	7.18e-26
3.600	4.771590719e-15	7.71e-26
3.700	5.593014161e-15	8.18e-26
3.800	6.505797445e-15	8.59e-26
3.900	7.513889000e-15	8.94e-26
4.000	8.620925453e-15	9.23e-26
4.100	9.830221141e-15	9.47e-26
4.200	1.114476170e-14	9.65e-26
4.300	1.256720129e-14	9.77e-26
4.400	1.409986310e-14	9.84e-26
4.500	1.574474262e-14	9.87e-26
4.600	1.750351334e-14	9.85e-26
4.700	1.937753457e-14	9.78e-26
4.800	2.136786089e-14	9.68e-26
4.900	2.347525308e-14	9.55e-26
5.000	2.570019017e-14	9.39e-26
5.100	2.804288226e-14	9.21e-26
5.200	3.050328414e-14	9.01e-26
5.300	3.308110922e-14	8.79e-26
5.400	3.577584374e-14	8.57e-26
5.500	3.858676116e-14	8.34e-26
5.600	4.151293648e-14	8.11e-26
5.700	4.455326038e-14	7.89e-26
5.800	4.770645319e-14	7.67e-26
5.900	5.097107858e-14	7.47e-26
6.000	5.434555676e-14	7.30e-26
6.100	5.782817735e-14	7.16e-26
6.200	6.141711177e-14	7.08e-26
6.300	6.511042512e-14	7.09e-26
6.400	6.890608748e-14	7.20e-26
6.500	7.280198483e-14	7.36e-26
6.600	7.679592925e-14	7.56e-26
6.700	8.088566867e-14	7.78e-26
6.800	8.506889611e-14	8.02e-26
6.900	8.934325826e-14	8.28e-26
7.000	9.370636368e-14	8.56e-26
7.100	9.815579034e-14	8.86e-26
7.200	1.026890928e-13	9.16e-26
7.300	1.073038087e-13	9.48e-26
7.400	1.119974652e-13	9.80e-26
7.500	1.167675842e-13	1.01e-25
7.600	1.216116881e-13	1.05e-25
7.700	1.265273043e-13	1.08e-25
7.800	1.315119699e-13	1.12e-25
7.900	1.365632357e-13	1.15e-25
8.000	1.416786698e-13	1.19e-25
8.100	1.468558611e-13	1.22e-25
8.200	1.520924224e-13	1.26e-25
8.300	1.573859934e-13	1.29e-25
8.400	1.627342425e-13	1.33e-25
8.500	1.681348697e-13	1.37e-25
8.600	1.735856085e-13	1.40e-25
8.700	1.790842272e-13	1.44e-25
8.800	1.846285310e-13	1.47e-25
8.900	1.902163631e-13	1.51e-25
9.000	1.958456054e-13	1.54e-25
9.100	2.015141805e-13	1.58e-25
9.200	2.072200515e-13	1.61e-25
9.300	2.129612231e-13	1.65e-25
9.400	2.187357422e-13	1.68e-25
9.500	2.245416981e-13	1.71e-25
9.600	2.303772230e-13	1.75e-25
9.700	2.362404917e-13	1.78e-25
9.800	2.421297222e-13	1.81e-25
9.900	2.480431756e-13	1.84e-25
10.000	2.539791556e-13	1.88e-25
