T[MeV]	signal_value	signal_error
0	0	0
0.100	9.484774228e-41	1.93e-53
0.200	2.744314665e-23	8.13e-36
0.300	2.096642053e-16	4.72e-28
0.400	1.333214630e-12	5.02e-26
0.500	3.767700119e-10	8.02e-21
0.600	2.012071154e-08	8.06e-20
0.700	3.935352034e-07	2.03e-17
0.800	3.993658277e-06	2.72e-17
0.900	2.573458086e-05	4.43e-16
1.000	1.194016545e-04	1.06e-14
1.100	4.332283250e-04	4.06e-14
1.200	1.300874203e-03	3.98e-15
1.300	3.365387169e-03	2.05e-13
1.400	7.724775175e-03	1.85e-13
1.500	1.608245238e-02	9.49e-14
1.600	3.088507467e-02	2.02e-13
1.700	5.543320994e-02	6.63e-13
1.800	9.395519569e-02	1.40e-12
1.900	1.516398429e-01	1.36e-11
2.000	2.346282898e-01	1.35e-11
2.100	3.499687786e-01	1.25e-11
2.200	5.055403220e-01	1.08e-11
2.300	7.099522894e-01	8.86e-12
2.400	9.724271211e-01	7.16e-12
2.500	1.302672952e+00	7.45e-12
2.600	1.710752123e+00	1.03e-11
2.700	2.206950571e+00	1.42e-11
2.800	2.801652062e+00	1.90e-11
2.900	3.505220243e+00	2.43e-11
3.000	4.327890598e+00	3.02e-11
3.100	5.279673628e+00	3.64e-11
3.200	6.370269941e+00	4.28e-11
3.300	7.608997441e+00	4.95e-11
3.400	9.004730391e+00	5.63e-11
3.500	1.056584987e+01	6.33e-11
3.600	1.230020492e+01	7.05e-11
3.700	1.421508353e+01	7.82e-11
3.800	1.631719258e+01	8.63e-11
3.900	1.861264580e+01	9.44e-11
4.000	2.110695880e+01	1.02e-10
4.100	2.380505025e+01	1.10e-10
4.200	2.671124838e+01	1.18e-10
4.300	2.982930196e+01	1.25e-10
4.400	3.316239503e+01	1.32e-10
4.500	3.671316469e+01	1.39e-10
4.600	4.048372135e+01	1.45e-10
4.700	4.447567087e+01	1.51e-10
4.800	4.869013815e+01	1.57e-10
4.900	5.312779165e+01	1.62e-10
5.000	5.778886863e+01	1.67e-10
5.100	6.267320062e+01	1.72e-10
5.200	6.778023895e+01	1.77e-10
5.300	7.310908011e+01	1.81e-10
5.400	7.865849071e+01	1.85e-10
5.500	8.442693188e+01	1.88e-10
5.600	9.041258307e+01	1.92e-10
5.700	9.661336498e+01	1.95e-10
5.800	1.030269618e+02	1.97e-10
5.900	1.096508422e+02	2.00e-10
6.000	1.164822802e+02	2.02e-10
