T[MeV]	signal_value	signal_error
0	0	0
0.100	5.345218808e-72	4.05e-82
0.200	1.363799679e-47	2.00e-58
0.300	3.602091639e-38	3.21e-49
0.400	5.029467900e-33	8.46e-46
0.500	9.765873612e-30	2.25e-41
0.600	1.959267409e-27	2.15e-38
0.700	1.008785316e-25	3.69e-37
0.800	2.145742243e-24	3.41e-36
0.900	2.481572015e-23	1.23e-34
1.000	1.850067384e-22	2.78e-33
1.100	9.939591690e-22	2.98e-32
1.200	4.153048812e-21	1.80e-31
1.300	1.424366884e-20	6.96e-31
1.400	4.170835639e-20	1.88e-30
1.500	1.073844524e-19	3.75e-30
1.600	2.486121242e-19	5.64e-30
1.700	5.266701194e-19	6.22e-30
1.800	1.035068626e-18	4.26e-30
1.900	1.908094788e-18	4.45e-31
2.000	3.328974645e-18	5.24e-30
2.100	5.537071551e-18	2.29e-29
2.200	8.833658018e-18	5.47e-29
2.300	1.358594544e-17	1.02e-28
2.400	2.022920856e-17	1.62e-28
2.500	2.926698051e-17	1.28e-27
2.600	4.126940859e-17	5.14e-28
2.700	5.686994697e-17	7.49e-28
2.800	7.676061914e-17	2.32e-27
2.900	1.016861143e-16	4.83e-27
3.000	1.324369918e-16	6.99e-27
3.100	1.698422611e-16	6.68e-27
3.200	2.147615866e-16	6.22e-27
3.300	2.680773411e-16	5.63e-27
3.400	3.306867011e-16	4.95e-27
3.500	4.034939468e-16	4.18e-27
3.600	4.874030971e-16	3.36e-27
3.700	5.833109816e-16	5.73e-26
3.800	6.921008246e-16	6.57e-26
3.900	8.146363918e-16	7.45e-26
4.000	9.517567311e-16	8.37e-26
4.100	1.104271520e-15	9.35e-26
4.200	1.272957019e-15	1.04e-25
4.300	1.458552619e-15	1.14e-25
4.400	1.661757959e-15	1.25e-25
4.500	1.883230592e-15	1.36e-25
4.600	2.123584157e-15	1.47e-25
4.700	2.383387031e-15	1.57e-25
4.800	2.663161413e-15	1.68e-25
4.900	2.963382810e-15	1.78e-25
5.000	3.284479883e-15	1.88e-25
5.100	3.626834609e-15	1.97e-25
5.200	3.990782733e-15	2.06e-25
5.300	4.376614466e-15	2.15e-25
5.400	4.784575402e-15	2.24e-25
5.500	5.214867617e-15	2.31e-25
5.600	5.667650927e-15	5.45e-25
5.700	6.143044277e-15	5.63e-25
5.800	6.641127230e-15	5.81e-25
5.900	7.161941544e-15	5.98e-25
6.000	7.705492812e-15	6.14e-25
6.100	8.271752149e-15	6.30e-25
6.200	8.860657900e-15	6.45e-25
6.300	9.472117377e-15	6.60e-25
6.400	1.010600859e-14	6.75e-25
6.500	1.076218196e-14	6.88e-25
6.600	1.144046206e-14	7.01e-25
6.700	1.214064924e-14	7.14e-25
6.800	1.286252134e-14	7.26e-25
6.900	1.360583525e-14	7.37e-25
7.000	1.437032852e-14	7.48e-25
7.100	1.515572084e-14	7.58e-25
7.200	1.596171554e-14	7.68e-25
7.300	1.678800100e-14	7.78e-25
7.400	1.763425202e-14	7.87e-25
7.500	1.850013112e-14	7.96e-25
7.600	1.938528979e-14	8.04e-25
7.700	2.028936969e-14	8.12e-25
7.800	2.121200381e-14	8.20e-25
7.900	2.215281752e-14	8.27e-25
8.000	2.311142962e-14	8.35e-25
8.100	2.408745332e-14	8.41e-25
8.200	2.508049712e-14	8.48e-25
8.300	2.609016575e-14	8.54e-25
8.400	2.711606092e-14	8.60e-25
8.500	2.815778212e-14	8.66e-25
8.600	2.921492735e-14	8.72e-25
8.700	3.028709377e-14	8.77e-25
8.800	3.137387834e-14	8.82e-25
8.900	3.247487844e-14	8.87e-25
9.000	3.358969238e-14	8.92e-25
9.100	3.471791990e-14	8.97e-25
9.200	3.585916269e-14	9.01e-25
9.300	3.701302480e-14	9.06e-25
9.400	3.817911301e-14	9.10e-25
9.500	3.935703727e-14	9.14e-25
9.600	4.054641098e-14	9.18e-25
9.700	4.174685132e-14	9.22e-25
9.800	4.295797953e-14	9.26e-25
9.900	4.417942118e-14	9.30e-25
10.000	4.541080638e-14	9.33e-25
