T[MeV]	signal_value	signal_error
0	0	0
0.100	7.922715357e-95	9.58e-101
0.200	2.615129596e-57	1.08e-67
0.300	1.772374865e-44	4.08e-55
0.400	7.656927638e-38	3.66e-49
0.500	1.069522642e-33	2.93e-45
0.600	8.237914604e-31	3.89e-43
0.700	1.174098529e-28	2.18e-41
0.800	5.672030667e-27	4.36e-40
0.900	1.303381716e-25	1.20e-35
1.000	1.751115313e-24	1.10e-34
1.100	1.572716153e-23	5.12e-34
1.200	1.034605797e-22	6.03e-33
1.300	5.319281675e-22	4.00e-32
1.400	2.241339495e-21	4.51e-32
1.500	8.021154039e-21	1.01e-31
1.600	2.505781748e-20	2.07e-30
1.700	6.981341880e-20	1.04e-30
1.800	1.764519584e-19	6.61e-31
1.900	4.101787699e-19	3.39e-29
2.000	8.868464994e-19	4.32e-29
2.100	1.799987478e-18	1.72e-28
2.200	3.456071710e-18	2.91e-28
2.300	6.318304614e-18	4.06e-28
2.400	1.105872811e-17	1.01e-27
2.500	1.861783523e-17	1.05e-27
2.600	3.027040779e-17	1.06e-27
2.700	4.769588167e-17	4.19e-27
2.800	7.305125997e-17	2.30e-27
2.900	1.090444416e-16	2.63e-27
3.000	1.590058079e-16	3.72e-27
3.100	2.269559976e-16	5.01e-27
3.200	3.176679842e-16	6.47e-27
3.300	4.367218195e-16	4.28e-26
3.400	5.905507077e-16	4.98e-26
3.500	7.864773958e-16	5.73e-26
3.600	1.032740194e-15	1.01e-25
3.700	1.338508253e-15	1.15e-25
3.800	1.713886028e-15	1.29e-25
3.900	2.169907109e-15	1.45e-25
4.000	2.718517822e-15	2.71e-25
4.100	3.372551218e-15	3.00e-25
4.200	4.145692175e-15	3.30e-25
4.300	5.052434478e-15	3.62e-25
4.400	6.108030800e-15	3.95e-25
4.500	7.328436568e-15	4.29e-25
4.600	8.730248695e-15	4.65e-25
4.700	1.033064016e-14	5.01e-25
4.800	1.214729139e-14	1.17e-24
4.900	1.419831939e-14	1.29e-24
5.000	1.650220536e-14	1.48e-24
5.100	1.907772185e-14	1.73e-24
5.200	2.194385983e-14	2.02e-24
5.300	2.511975666e-14	2.35e-24
5.400	2.862462530e-14	2.73e-24
5.500	3.247768549e-14	3.15e-24
5.600	3.669809706e-14	3.60e-24
5.700	4.130489609e-14	4.09e-24
5.800	4.631693384e-14	4.61e-24
5.900	5.175281908e-14	5.16e-24
6.000	5.763086370e-14	5.73e-24
6.100	6.396903188e-14	6.31e-24
6.200	7.078489300e-14	6.92e-24
6.300	7.809557808e-14	4.71e-24
6.400	8.591774003e-14	4.92e-24
6.500	9.426751758e-14	5.12e-24
6.600	1.031605028e-13	5.33e-24
6.700	1.126117122e-13	5.54e-24
6.800	1.226355613e-13	5.76e-24
6.900	1.332458428e-13	5.97e-24
7.000	1.444557073e-13	6.18e-24
7.100	1.562776482e-13	1.53e-23
7.200	1.687234884e-13	1.59e-23
7.300	1.818043711e-13	1.65e-23
7.400	1.955307517e-13	1.71e-23
7.500	2.099123938e-13	1.76e-23
7.600	2.249583667e-13	1.82e-23
7.700	2.406770450e-13	1.87e-23
7.800	2.570761106e-13	1.91e-23
7.900	2.741625565e-13	1.96e-23
8.000	2.919426927e-13	2.00e-23
8.100	3.104221527e-13	2.03e-23
8.200	3.296059026e-13	2.07e-23
8.300	3.494982508e-13	2.10e-23
8.400	3.701028592e-13	2.12e-23
8.500	3.914227557e-13	2.14e-23
8.600	4.134603469e-13	2.16e-23
8.700	4.362174325e-13	2.18e-23
8.800	4.596952200e-13	2.19e-23
8.900	4.838943401e-13	2.20e-23
9.000	5.088148626e-13	2.20e-23
9.100	5.344563130e-13	2.20e-23
9.200	5.608176893e-13	2.20e-23
9.300	5.878974790e-13	2.20e-23
9.400	6.156936766e-13	2.19e-23
9.500	6.442038009e-13	2.19e-23
9.600	6.734249130e-13	2.18e-23
9.700	7.033536336e-13	2.16e-23
9.800	7.339861609e-13	2.15e-23
9.900	7.653182881e-13	2.13e-23
10.000	7.973454209e-13	2.11e-23
