T[MeV]	signal_value	signal_error
0	0	0
0.100	5.649058288e-43	4.38e-53
0.200	1.198377944e-30	3.04e-41
0.300	6.294650050e-26	7.39e-37
0.400	2.323357203e-23	6.32e-35
0.500	1.005028636e-21	7.46e-33
0.600	1.397068563e-20	3.73e-32
0.700	9.849972210e-20	1.57e-31
0.800	4.470243639e-19	5.03e-31
0.900	1.498058927e-18	1.01e-30
1.000	4.035802395e-18	1.44e-30
1.100	9.239805510e-18	1.53e-30
1.200	1.867261625e-17	1.42e-30
1.300	3.421476775e-17	1.70e-30
1.400	5.796679462e-17	2.51e-30
1.500	9.213870753e-17	4.34e-30
1.600	1.389430108e-16	7.49e-30
1.700	2.005015802e-16	1.15e-29
1.800	2.787715448e-16	1.61e-29
1.900	3.754914838e-16	2.11e-29
2.000	4.921467855e-16	2.60e-29
2.100	6.299516767e-16	3.10e-29
2.200	7.898448755e-16	3.59e-29
2.300	9.724957843e-16	4.02e-29
2.400	1.178318382e-15	4.49e-29
2.500	1.407490366e-15	4.86e-29
2.600	1.659975536e-15	5.21e-29
2.700	1.935547802e-15	5.56e-29
2.800	2.233815630e-15	5.90e-29
2.900	2.554245998e-15	6.15e-29
3.000	2.896187266e-15	6.38e-29
3.100	3.258890524e-15	6.86e-29
3.200	3.641529183e-15	7.21e-29
3.300	4.043216683e-15	7.74e-29
3.400	4.463022303e-15	8.10e-29
3.500	4.899985085e-15	8.64e-29
3.600	5.353125989e-15	9.17e-29
3.700	5.821458369e-15	9.50e-29
3.800	6.303996909e-15	1.02e-28
3.900	6.799765154e-15	1.07e-28
4.000	7.307801789e-15	1.11e-28
4.100	7.827165780e-15	1.16e-28
4.200	8.356940529e-15	1.21e-28
4.300	8.896237150e-15	1.28e-28
4.400	9.444196988e-15	1.30e-28
4.500	9.999993482e-15	1.40e-28
4.600	1.056283346e-14	1.42e-28
4.700	1.113195795e-14	1.49e-28
4.800	1.170664260e-14	1.52e-28
4.900	1.228619774e-14	1.61e-28
5.000	1.286996817e-14	1.65e-28
5.100	1.345733268e-14	1.67e-28
5.200	1.404770348e-14	1.82e-28
5.300	1.464052533e-14	1.87e-28
5.400	1.523527469e-14	1.93e-28
5.500	1.583145869e-14	1.98e-28
5.600	1.642861408e-14	2.04e-28
5.700	1.702630609e-14	2.13e-28
5.800	1.762412732e-14	2.20e-28
5.900	1.822169657e-14	2.28e-28
6.000	1.881865766e-14	1.86e-24
6.100	1.941467830e-14	1.79e-24
6.200	2.000944892e-14	1.73e-24
6.300	2.060268158e-14	1.67e-24
6.400	2.119410886e-14	1.62e-24
6.500	2.178348280e-14	1.56e-24
6.600	2.237057384e-14	1.51e-24
6.700	2.295516987e-14	1.46e-24
6.800	2.353707525e-14	1.41e-24
6.900	2.411610987e-14	1.37e-24
7.000	2.469210830e-14	1.32e-24
7.100	2.526491890e-14	1.28e-24
7.200	2.583440308e-14	1.24e-24
7.300	2.640043446e-14	1.20e-24
7.400	2.696289817e-14	1.16e-24
7.500	2.752169016e-14	1.12e-24
7.600	2.807671653e-14	1.09e-24
7.700	2.862789291e-14	1.05e-24
7.800	2.917514383e-14	1.02e-24
7.900	2.971840222e-14	9.85e-25
8.000	3.025760883e-14	9.53e-25
8.100	3.079271174e-14	9.23e-25
8.200	3.132366589e-14	8.94e-25
8.300	3.185043261e-14	8.66e-25
8.400	3.237297923e-14	8.38e-25
8.500	3.289127866e-14	8.12e-25
8.600	3.340530902e-14	7.87e-25
8.700	3.391505327e-14	7.62e-25
8.800	3.442049891e-14	7.38e-25
8.900	3.492163762e-14	7.15e-25
9.000	3.541846502e-14	6.93e-25
9.100	3.591098033e-14	6.71e-25
9.200	3.639918616e-14	6.50e-25
9.300	3.688308825e-14	6.30e-25
9.400	3.736269521e-14	6.10e-25
9.500	3.783801834e-14	5.91e-25
9.600	3.830907143e-14	5.72e-25
9.700	3.877587053e-14	5.54e-25
9.800	3.923843380e-14	5.37e-25
9.900	3.969678133e-14	5.20e-25
10.000	4.015093501e-14	5.04e-25
