T[MeV]	signal_value	signal_error
0	0	0
0.100	2.053888943e-66	1.98e-76
0.200	2.673114336e-44	4.60e-55
0.300	8.736418786e-36	3.08e-46
0.400	3.827093958e-31	6.85e-43
0.500	3.511763364e-28	4.96e-41
0.600	4.147893154e-26	2.41e-36
0.700	1.435940808e-24	4.63e-35
0.800	2.240185912e-23	2.11e-34
0.900	2.018346664e-22	4.36e-34
1.000	1.224611761e-21	1.57e-33
1.100	5.532906927e-21	1.69e-32
1.200	1.993868085e-20	2.49e-31
1.300	6.016540669e-20	4.70e-31
1.400	1.575058357e-19	1.43e-30
1.500	3.673185906e-19	3.39e-30
1.600	7.786741057e-19	6.50e-30
1.700	1.524219736e-18	1.05e-29
1.800	2.789297253e-18	1.44e-29
1.900	4.819478124e-18	4.69e-28
2.000	7.925916644e-18	4.47e-28
2.100	1.248819125e-17	6.61e-28
2.200	1.895455916e-17	2.12e-28
2.300	2.783975847e-17	3.43e-28
2.400	3.972064223e-17	1.07e-27
2.500	5.523002108e-17	2.39e-27
2.600	7.504913289e-17	4.21e-27
2.700	9.989915962e-17	6.51e-27
2.800	1.305321858e-16	9.25e-27
2.900	1.677219490e-16	1.24e-26
3.000	2.122546801e-16	1.59e-26
3.100	2.649202729e-16	1.97e-26
3.200	3.265039718e-16	2.37e-26
3.300	3.977787101e-16	2.79e-26
3.400	4.794981916e-16	3.23e-26
3.500	5.723907683e-16	3.68e-26
3.600	6.771541332e-16	4.12e-26
3.700	7.944508262e-16	6.63e-26
3.800	9.249045287e-16	5.01e-26
3.900	1.069097108e-15	7.58e-26
4.000	1.227566363e-15	1.22e-25
4.100	1.400804419e-15	6.26e-26
4.200	1.589256707e-15	6.65e-26
4.300	1.793321472e-15	7.01e-26
4.400	2.013349751e-15	7.36e-26
4.500	2.249645753e-15	7.68e-26
4.600	2.502467603e-15	7.98e-26
4.700	2.772028374e-15	8.26e-26
4.800	3.058497382e-15	8.52e-26
4.900	3.362001682e-15	8.75e-26
5.000	3.682627731e-15	8.96e-26
5.100	4.020423182e-15	9.15e-26
5.200	4.375398773e-15	9.32e-26
5.300	4.747530288e-15	9.47e-26
5.400	5.136760556e-15	9.60e-26
5.500	5.543001470e-15	9.70e-26
5.600	5.966136010e-15	9.79e-26
5.700	6.406020250e-15	9.87e-26
5.800	6.862485333e-15	9.92e-26
5.900	7.335339408e-15	9.96e-26
6.000	7.824369516e-15	9.99e-26
6.100	8.329343416e-15	1.00e-25
6.200	8.850011352e-15	1.00e-25
6.300	9.386107743e-15	9.99e-26
6.400	9.937352811e-15	9.97e-26
6.500	1.050345413e-14	9.94e-26
6.600	1.108410809e-14	9.90e-26
6.700	1.167900130e-14	9.85e-26
6.800	1.228781191e-14	9.80e-26
6.900	1.291021086e-14	9.73e-26
7.000	1.354586304e-14	9.67e-26
7.100	1.419442838e-14	9.59e-26
7.200	1.485556290e-14	9.52e-26
7.300	1.552891966e-14	9.43e-26
7.400	1.621414963e-14	9.35e-26
7.500	1.691090255e-14	9.26e-26
7.600	1.761882767e-14	9.17e-26
7.700	1.833757448e-14	9.08e-26
7.800	1.906679335e-14	8.98e-26
7.900	1.980613610e-14	8.89e-26
8.000	2.055525660e-14	8.79e-26
8.100	2.131381125e-14	8.70e-26
8.200	2.208145940e-14	8.60e-26
8.300	2.285786382e-14	8.51e-26
8.400	2.364269102e-14	8.41e-26
8.500	2.443561160e-14	8.31e-26
8.600	2.523630058e-14	8.22e-26
8.700	2.604443760e-14	8.12e-26
8.800	2.685970723e-14	8.03e-26
8.900	2.768179909e-14	7.94e-26
9.000	2.851040811e-14	7.85e-26
9.100	2.934523461e-14	7.76e-26
9.200	3.018598451e-14	7.67e-26
9.300	3.103236934e-14	7.58e-26
9.400	3.188410640e-14	7.50e-26
9.500	3.274091882e-14	7.42e-26
9.600	3.360253558e-14	7.33e-26
9.700	3.446869157e-14	7.26e-26
9.800	3.533912761e-14	7.18e-26
9.900	3.621359044e-14	7.10e-26
10.000	3.709183274e-14	7.03e-26
