T[MeV]	signal_value	signal_error
0	0	0
0.100	9.328408674e-72	1.46e-82
0.200	1.713230374e-36	1.15e-46
0.300	1.668298471e-24	3.76e-35
0.400	2.263672580e-18	2.74e-29
0.500	1.349925270e-14	6.42e-26
0.600	5.232830847e-12	1.83e-23
0.700	4.193955839e-10	1.29e-20
0.800	1.240792370e-08	9.50e-21
0.900	1.871286109e-07	8.73e-20
1.000	1.747296294e-06	5.78e-17
1.100	1.143941806e-05	2.25e-18
1.200	5.708883954e-05	1.03e-15
1.300	2.302433442e-04	2.22e-17
1.400	7.828006451e-04	2.68e-14
1.500	2.315097295e-03	1.27e-16
1.600	6.099663637e-03	2.64e-16
1.700	1.458496841e-02	1.11e-12
1.800	3.211598599e-02	1.86e-12
1.900	6.589421856e-02	5.67e-12
2.000	1.271811871e-01	6.45e-12
2.100	2.327292674e-01	1.08e-11
2.200	4.064048635e-01	1.92e-11
2.300	6.809534387e-01	3.08e-11
2.400	1.099845177e+00	9.44e-11
2.500	1.719134511e+00	1.39e-10
2.600	2.609266237e+00	1.95e-10
2.700	3.856764720e+00	3.51e-10
2.800	5.565749878e+00	2.40e-10
2.900	7.859233114e+00	2.81e-10
3.000	1.088015718e+01	3.24e-10
3.100	1.479215516e+01	3.70e-10
3.200	1.978001478e+01	4.21e-10
3.300	2.604984418e+01	2.31e-09
3.400	3.382894460e+01	2.52e-09
3.500	4.336540247e+01	2.62e-09
3.600	5.492741993e+01	2.61e-09
3.700	6.880240719e+01	2.47e-09
3.800	8.529586341e+01	2.24e-09
3.900	1.047300748e+02	1.94e-09
4.000	1.274426599e+02	1.63e-09
4.100	1.537849906e+02	1.39e-09
4.200	1.841205199e+02	1.56e-09
4.300	2.188230414e+02	2.18e-09
4.400	2.582749085e+02	3.07e-09
4.500	3.028652358e+02	4.19e-09
4.600	3.529881046e+02	5.49e-09
4.700	4.090407916e+02	6.96e-09
4.800	4.714220374e+02	8.55e-09
4.900	5.405303692e+02	1.02e-08
5.000	6.167624900e+02	1.20e-08
5.100	7.005117431e+02	6.95e-08
5.200	7.921666614e+02	7.42e-08
5.300	8.921096067e+02	7.91e-08
5.400	1.000715503e+03	8.41e-08
5.500	1.118350666e+03	8.92e-08
5.600	1.245371736e+03	9.44e-08
5.700	1.382124702e+03	9.97e-08
5.800	1.528944029e+03	1.05e-07
5.900	1.686151885e+03	1.11e-07
6.000	1.854057456e+03	1.16e-07
