T[MeV]	signal_value	signal_error
0	0	0
0.100	7.132941684e-36	5.65e-46
0.200	1.788392610e-26	1.15e-36
0.300	4.657754207e-23	7.75e-34
0.400	3.087991532e-21	2.90e-31
0.500	4.346691913e-20	2.04e-30
0.600	2.722270255e-19	1.64e-29
0.700	1.054765934e-18	4.13e-29
0.800	2.998029332e-18	2.39e-28
0.900	6.891076896e-18	4.09e-28
1.000	1.360051765e-17	1.18e-27
1.100	2.396622930e-17	2.28e-27
1.200	3.872261905e-17	3.04e-27
1.300	5.845194189e-17	3.87e-27
1.400	8.356578104e-17	4.74e-27
1.500	1.143071002e-16	1.12e-26
1.600	1.507652608e-16	1.30e-26
1.700	1.928978628e-16	1.49e-26
1.800	2.405550373e-16	1.67e-26
1.900	2.935033680e-16	1.85e-26
2.000	3.514478116e-16	2.02e-26
2.100	4.140508187e-16	2.19e-26
2.200	4.809483982e-16	2.36e-26
2.300	5.517632010e-16	2.52e-26
2.400	6.261148772e-16	2.67e-26
2.500	7.036280456e-16	2.82e-26
2.600	7.839382360e-16	2.96e-26
2.700	8.666961539e-16	3.10e-26
2.800	9.515705846e-16	3.23e-26
2.900	1.038250214e-15	3.36e-26
3.000	1.126444603e-15	3.48e-26
3.100	1.215884513e-15	3.59e-26
3.200	1.306321746e-15	3.71e-26
3.300	1.397528621e-15	3.81e-26
3.400	1.489297208e-15	3.91e-26
3.500	1.581438381e-15	4.01e-26
3.600	1.673780771e-15	4.11e-26
3.700	1.766169655e-15	4.20e-26
3.800	1.858465831e-15	4.28e-26
3.900	1.950544490e-15	4.37e-26
4.000	2.042294121e-15	4.45e-26
4.100	2.133615454e-15	4.53e-26
4.200	2.224420449e-15	4.60e-26
4.300	2.314631346e-15	4.67e-26
4.400	2.404179765e-15	4.74e-26
4.500	2.493005875e-15	4.81e-26
4.600	2.581057618e-15	4.87e-26
4.700	2.668289984e-15	4.93e-26
4.800	2.754664355e-15	4.99e-26
4.900	2.840147892e-15	5.05e-26
5.000	2.924712976e-15	5.11e-26
5.100	3.008336694e-15	5.16e-26
5.200	3.091000375e-15	5.21e-26
5.300	3.172689157e-15	5.26e-26
5.400	3.253391602e-15	5.31e-26
5.500	3.333099337e-15	5.36e-26
5.600	3.411806736e-15	5.40e-26
5.700	3.489510624e-15	5.45e-26
5.800	3.566210014e-15	5.49e-26
5.900	3.641905861e-15	5.54e-26
6.000	3.716600849e-15	5.57e-26
6.100	3.790299190e-15	5.61e-26
6.200	3.863006447e-15	5.65e-26
6.300	3.934729368e-15	5.69e-26
6.400	4.005475747e-15	5.72e-26
6.500	4.075254284e-15	5.76e-26
6.600	4.144074471e-15	5.79e-26
6.700	4.211946483e-15	5.83e-26
6.800	4.278881078e-15	5.86e-26
6.900	4.344889517e-15	5.89e-26
7.000	4.409983478e-15	5.92e-26
7.100	4.474174990e-15	5.95e-26
7.200	4.537476366e-15	5.98e-26
7.300	4.599900150e-15	6.01e-26
7.400	4.661459064e-15	6.03e-26
7.500	4.722165961e-15	6.06e-26
7.600	4.782033787e-15	6.09e-26
7.700	4.841075541e-15	6.11e-26
7.800	4.899304247e-15	6.14e-26
7.900	4.956732923e-15	6.16e-26
8.000	5.013374551e-15	6.19e-26
8.100	5.069242064e-15	6.21e-26
8.200	5.124348316e-15	6.23e-26
8.300	5.178706070e-15	6.25e-26
8.400	5.232327983e-15	6.27e-26
8.500	5.285226587e-15	6.30e-26
8.600	5.337414285e-15	6.32e-26
8.700	5.388903334e-15	6.34e-26
8.800	5.439705840e-15	6.35e-26
8.900	5.489833749e-15	6.37e-26
9.000	5.539298843e-15	6.39e-26
9.100	5.588112732e-15	6.41e-26
9.200	5.636286850e-15	6.43e-26
9.300	5.683832455e-15	6.45e-26
9.400	5.730760621e-15	6.47e-26
9.500	5.777082241e-15	6.48e-26
9.600	5.822808023e-15	6.50e-26
9.700	5.867948489e-15	6.51e-26
9.800	5.912513978e-15	6.53e-26
9.900	5.956514639e-15	6.55e-26
10.000	5.999960440e-15	6.56e-26
