T[MeV]	signal_value	signal_error
0	0	0
0.100	7.062103090e-68	2.91e-80
0.200	2.625072313e-39	2.18e-49
0.300	7.082329091e-28	8.43e-39
0.400	1.680066646e-21	9.77e-32
0.500	2.298594913e-17	5.20e-28
0.600	1.957343389e-14	5.24e-25
0.700	3.098186883e-12	1.74e-23
0.800	1.626058645e-10	8.55e-22
0.900	3.963672171e-09	4.52e-22
1.000	5.538582873e-08	4.56e-18
1.100	5.096668564e-07	3.93e-19
1.200	3.397805182e-06	1.30e-17
1.300	1.756459444e-05	5.96e-16
1.400	7.399838585e-05	2.89e-15
1.500	2.637404195e-04	8.38e-15
1.600	8.183418172e-04	1.85e-14
1.700	2.260450991e-03	3.38e-14
1.800	5.657728777e-03	5.39e-14
1.900	1.301512691e-02	7.68e-14
2.000	2.783767432e-02	9.95e-14
2.100	5.588837374e-02	1.18e-13
2.200	1.061545926e-01	1.29e-13
2.300	1.920229629e-01	7.28e-12
2.400	3.326489726e-01	1.18e-13
2.500	5.544946592e-01	9.31e-14
2.600	8.929972695e-01	6.01e-14
2.700	1.394324126e+00	2.79e-14
2.800	2.117164539e+00	3.55e-14
2.900	3.134508307e+00	1.13e-13
3.000	4.535361850e+00	2.44e-13
3.100	6.426356779e+00	4.35e-13
3.200	8.933211165e+00	5.47e-12
3.300	1.220201036e+01	1.02e-12
3.400	1.640028135e+01	1.43e-12
3.500	2.171784210e+01	1.92e-12
3.600	2.836741407e+01	2.50e-12
3.700	3.658499326e+01	3.10e-09
3.800	4.662998039e+01	2.31e-09
3.900	5.878507658e+01	1.43e-09
4.000	7.335595467e+01	5.90e-10
4.100	9.067072016e+01	1.53e-11
4.200	1.110791781e+02	5.84e-10
4.300	1.349519243e+02	1.84e-09
4.400	1.626792805e+02	3.64e-09
4.500	1.946700935e+02	5.95e-09
4.600	2.313504191e+02	8.73e-09
4.700	2.731621095e+02	1.20e-08
4.800	3.205613258e+02	1.56e-08
4.900	3.740169919e+02	1.96e-08
5.000	4.340092081e+02	2.39e-08
5.100	5.010276415e+02	2.85e-08
5.200	5.755699059e+02	3.34e-08
5.300	6.581399475e+02	3.84e-08
5.400	7.492464454e+02	4.36e-08
5.500	8.494012402e+02	4.89e-08
5.600	9.591177994e+02	5.42e-08
5.700	1.078909726e+03	5.96e-08
5.800	1.209289322e+03	6.49e-08
5.900	1.350766202e+03	7.02e-08
6.000	1.503845982e+03	7.54e-08
