T[MeV]	signal_value	signal_error
0	0	0
0.100	7.974897190e-51	2.48e-64
0.200	3.086954082e-35	3.84e-46
0.300	2.675601566e-29	4.87e-41
0.400	4.391907157e-26	2.31e-36
0.500	4.837178305e-24	4.93e-36
0.600	1.279683008e-22	8.51e-33
0.700	1.445977565e-21	9.35e-32
0.800	9.419308359e-21	5.22e-31
0.900	4.202991764e-20	1.09e-30
1.000	1.429045851e-19	1.26e-30
1.100	3.969042227e-19	2.50e-30
1.200	9.442208028e-19	6.58e-30
1.300	1.989575439e-18	1.36e-29
1.400	3.804799130e-18	2.30e-29
1.500	6.724824768e-18	3.38e-29
1.600	1.113832214e-17	4.46e-29
1.700	1.747475207e-17	5.45e-29
1.800	2.618964769e-17	6.31e-29
1.900	3.774966154e-17	6.95e-29
2.000	5.261852529e-17	7.31e-29
2.100	7.124467055e-17	7.41e-29
2.200	9.405091533e-17	7.26e-29
2.300	1.214263553e-16	6.90e-29
2.400	1.537204101e-16	6.39e-29
2.500	1.912388554e-16	5.78e-29
2.600	2.342416018e-16	5.18e-29
2.700	2.829419535e-16	4.72e-29
2.800	3.375070776e-16	4.44e-29
2.900	3.980594282e-16	4.53e-29
3.000	4.646788939e-16	5.16e-29
3.100	5.374054673e-16	6.38e-29
3.200	6.162422648e-16	8.02e-29
3.300	7.011587532e-16	9.99e-29
3.400	7.920940693e-16	1.21e-28
3.500	8.889603390e-16	1.44e-28
3.600	9.916459284e-16	1.69e-28
3.700	1.100018572e-15	1.95e-28
3.800	1.213928340e-15	2.21e-28
3.900	1.333210427e-15	2.49e-28
4.000	1.457687731e-15	2.76e-28
4.100	1.587173232e-15	3.04e-28
4.200	1.721472161e-15	3.32e-28
4.300	1.860383957e-15	3.60e-28
4.400	2.003704029e-15	3.87e-28
4.500	2.151225330e-15	2.13e-25
4.600	2.302739742e-15	2.16e-25
4.700	2.458039301e-15	2.19e-25
4.800	2.616917264e-15	2.22e-25
4.900	2.779169027e-15	2.24e-25
5.000	2.944592919e-15	2.27e-25
5.100	3.112990870e-15	2.29e-25
5.200	3.284168975e-15	2.31e-25
5.300	3.457937960e-15	2.34e-25
5.400	3.634113558e-15	2.36e-25
5.500	3.812516810e-15	2.38e-25
5.600	3.992974296e-15	2.39e-25
5.700	4.175318304e-15	2.41e-25
5.800	4.359386952e-15	2.43e-25
5.900	4.545024250e-15	2.44e-25
6.000	4.732080136e-15	2.46e-25
6.100	4.920410466e-15	2.47e-25
6.200	5.109876980e-15	2.48e-25
6.300	5.300347241e-15	2.50e-25
6.400	5.491694549e-15	2.51e-25
6.500	5.683797839e-15	2.52e-25
6.600	5.876541568e-15	2.53e-25
6.700	6.069815581e-15	2.54e-25
6.800	6.263514976e-15	2.55e-25
6.900	6.457539952e-15	2.56e-25
7.000	6.651795663e-15	2.57e-25
7.100	6.846192057e-15	2.58e-25
7.200	7.040643717e-15	2.59e-25
7.300	7.235069699e-15	2.60e-25
7.400	7.429393376e-15	2.61e-25
7.500	7.623542271e-15	2.61e-25
7.600	7.817447899e-15	2.62e-25
7.700	8.011045612e-15	2.63e-25
7.800	8.204274443e-15	2.64e-25
7.900	8.397076951e-15	2.64e-25
8.000	8.589399074e-15	2.65e-25
8.100	8.781189987e-15	2.65e-25
8.200	8.972401955e-15	2.66e-25
8.300	9.162990200e-15	2.67e-25
8.400	9.352912764e-15	2.67e-25
8.500	9.542130384e-15	2.68e-25
8.600	9.730606367e-15	2.68e-25
8.700	9.918306467e-15	2.69e-25
8.800	1.010519877e-14	2.69e-25
8.900	1.029125358e-14	2.70e-25
9.000	1.047644333e-14	2.70e-25
9.100	1.066074244e-14	2.70e-25
9.200	1.084412726e-14	2.71e-25
9.300	1.102657595e-14	2.71e-25
9.400	1.120806840e-14	2.72e-25
9.500	1.138858612e-14	2.72e-25
9.600	1.156811220e-14	2.72e-25
9.700	1.174663119e-14	2.73e-25
9.800	1.192412905e-14	2.73e-25
9.900	1.210059304e-14	2.74e-25
10.000	1.227601171e-14	2.74e-25
