T[MeV]	signal_value	signal_error
0	0	0
0.100	2.789779306e-90	4.75e-101
0.200	5.070665770e-53	4.44e-63
0.300	1.984293969e-40	1.67e-50
0.400	4.812441521e-34	2.42e-44
0.500	3.696830621e-30	4.45e-41
0.600	1.567894555e-27	1.17e-38
0.700	1.255988869e-25	7.14e-37
0.800	3.523733059e-24	3.01e-35
0.900	4.886161870e-23	1.07e-33
1.000	4.121204822e-22	1.88e-32
1.100	2.414304040e-21	1.65e-31
1.200	1.073651659e-20	8.15e-31
1.300	3.855551552e-20	1.79e-30
1.400	1.168789061e-19	4.87e-30
1.500	3.090452752e-19	9.94e-30
1.600	7.305675528e-19	1.66e-29
1.700	1.573591345e-18	3.15e-29
1.800	3.134467712e-18	6.96e-29
1.900	5.842461305e-18	1.34e-28
2.000	1.028747462e-17	2.23e-28
2.100	1.724482471e-17	3.25e-28
2.200	2.769547208e-17	4.21e-28
2.300	4.284057467e-17	4.94e-28
2.400	6.410973929e-17	5.30e-28
2.500	9.316280553e-17	5.04e-28
2.600	1.318853872e-16	4.18e-28
2.700	1.823786949e-16	2.99e-28
2.800	2.469443708e-16	2.22e-28
2.900	3.280651866e-16	4.39e-28
3.000	4.283825094e-16	8.43e-28
3.100	5.506714291e-16	1.40e-27
3.200	6.978143975e-16	2.08e-27
3.300	8.727741493e-16	2.84e-27
3.400	1.078566584e-15	3.67e-27
3.500	1.318234188e-15	4.50e-27
3.600	1.594820466e-15	5.32e-27
3.700	1.911345764e-15	6.07e-27
3.800	2.270784767e-15	6.74e-27
3.900	2.676045870e-15	7.29e-27
4.000	3.129952559e-15	7.71e-27
4.100	3.635226862e-15	7.99e-27
4.200	4.194474896e-15	8.13e-27
4.300	4.810174474e-15	8.12e-27
4.400	5.484664717e-15	7.97e-27
4.500	6.220137584e-15	7.71e-27
4.600	7.018631218e-15	7.35e-27
4.700	7.882024978e-15	6.89e-27
4.800	8.812036042e-15	6.34e-27
4.900	9.810217442e-15	5.73e-27
5.000	1.087795739e-14	5.07e-27
5.100	1.201647979e-14	4.39e-27
5.200	1.322684577e-14	3.70e-27
5.300	1.450995609e-14	3.06e-27
5.400	1.586655446e-14	2.47e-27
5.500	1.729723141e-14	1.95e-27
5.600	1.880242879e-14	1.56e-27
5.700	2.038244478e-14	1.33e-27
5.800	2.203743928e-14	1.64e-27
5.900	2.376743956e-14	2.23e-27
6.000	2.557234622e-14	2.99e-27
6.100	2.745193931e-14	3.87e-27
6.200	2.940588453e-14	4.88e-27
6.300	3.143373950e-14	5.97e-27
6.400	3.353496009e-14	7.15e-27
6.500	3.570890668e-14	8.40e-27
6.600	3.795485037e-14	9.72e-27
6.700	4.027197911e-14	1.11e-26
6.800	4.265940368e-14	1.25e-26
6.900	4.511616360e-14	1.39e-26
7.000	4.764123278e-14	1.53e-26
7.100	5.023352511e-14	1.68e-26
7.200	5.289189977e-14	5.20e-24
7.300	5.561516640e-14	5.35e-24
7.400	5.840209008e-14	5.51e-24
7.500	6.125139603e-14	5.66e-24
7.600	6.416177418e-14	5.81e-24
7.700	6.713188351e-14	5.97e-24
7.800	7.016035615e-14	6.12e-24
7.900	7.324580130e-14	6.27e-24
8.000	7.638680896e-14	6.42e-24
8.100	7.958195338e-14	6.57e-24
8.200	8.282979641e-14	6.72e-24
8.300	8.612889061e-14	6.87e-24
8.400	8.947778215e-14	7.02e-24
8.500	9.287501356e-14	7.17e-24
8.600	9.631912627e-14	7.32e-24
8.700	9.980866304e-14	7.46e-24
8.800	1.033421702e-13	7.61e-24
8.900	1.069181995e-13	7.75e-24
9.000	1.105353104e-13	7.89e-24
9.100	1.141920717e-13	1.13e-23
9.200	1.178870628e-13	1.15e-23
9.300	1.216188758e-13	1.17e-23
9.400	1.253861163e-13	1.19e-23
9.500	1.291874053e-13	1.21e-23
9.600	1.330213797e-13	1.23e-23
9.700	1.368866935e-13	1.25e-23
9.800	1.407820191e-13	1.27e-23
9.900	1.447060478e-13	1.29e-23
10.000	1.486574903e-13	1.30e-23
