T0	t0/tau	cal_g_function_a	err
6.800000e+00	1.300000e-01	2.8376126167e-06	5.7127050231e-09
6.800000e+00	1.400000e-01	2.8685676432e-06	3.6236789858e-09
6.800000e+00	1.500000e-01	2.8993171414e-06	1.0029265237e-08
6.800000e+00	1.600000e-01	2.9294816762e-06	1.9008233294e-09
6.800000e+00	1.700000e-01	2.9594790237e-06	1.0324042824e-09
6.800000e+00	1.800000e-01	2.9891905262e-06	1.1329460534e-11
6.800000e+00	1.900000e-01	3.0186298697e-06	1.2360778549e-09
6.800000e+00	2.000000e-01	3.0478095319e-06	2.8389724599e-09
6.800000e+00	2.100000e-01	3.0767369970e-06	7.3279548213e-09
6.800000e+00	2.200000e-01	3.1054305159e-06	2.1330390658e-09
6.800000e+00	2.300000e-01	3.1338962385e-06	1.0058293334e-08
6.800000e+00	2.400000e-01	3.1621429404e-06	1.3598276515e-08
6.800000e+00	2.500000e-01	3.1901788003e-06	1.2146462363e-08
6.800000e+00	2.600000e-01	3.2180114878e-06	7.7974688520e-09
6.800000e+00	2.700000e-01	3.2456482075e-06	3.0053176378e-09
6.800000e+00	2.800000e-01	3.2730957271e-06	2.6986900196e-11
6.800000e+00	2.900000e-01	3.3003604018e-06	2.3819750958e-09
6.800000e+00	3.000000e-01	3.3274482020e-06	6.1668435791e-09
6.800000e+00	3.100000e-01	3.3543647427e-06	9.7240592392e-09
6.800000e+00	3.200000e-01	3.3811039837e-06	9.4177542942e-09
6.800000e+00	3.300000e-01	3.4077049146e-06	1.3686426785e-08
6.800000e+00	3.400000e-01	3.4341382675e-06	1.3857297988e-08
6.800000e+00	3.500000e-01	3.4604198534e-06	1.3073297889e-08
6.800000e+00	3.600000e-01	3.4865539248e-06	1.1656947161e-08
6.800000e+00	3.700000e-01	3.5125445245e-06	9.9049770815e-09
6.800000e+00	3.800000e-01	3.5383955002e-06	8.1134118330e-09
6.800000e+00	3.900000e-01	3.5641105182e-06	6.4807989098e-09
6.800000e+00	4.000000e-01	3.5896930762e-06	5.1118651352e-09
6.800000e+00	4.100000e-01	3.6151465140e-06	4.0432497944e-09
6.800000e+00	4.200000e-01	3.6404740243e-06	3.2643624618e-09
6.800000e+00	4.300000e-01	3.6656734730e-06	3.8917062892e-09
6.800000e+00	4.400000e-01	3.6907581605e-06	3.9827617269e-09
