T0	t0/tau	cal_g_function_a	err
6.900000e+00	1.060000e+00	5.6124651481e-06	2.1174492427e-11
6.900000e+00	1.070000e+00	5.6368475147e-06	2.1462203060e-11
6.900000e+00	1.080000e+00	5.6611744387e-06	2.1846116962e-11
6.900000e+00	1.090000e+00	5.6854465804e-06	2.2312695161e-11
6.900000e+00	1.100000e+00	5.7096645875e-06	2.2824853005e-11
6.900000e+00	1.110000e+00	5.7338290957e-06	2.3345038422e-11
6.900000e+00	1.120000e+00	5.7579409303e-06	1.3576013008e-08
6.900000e+00	1.130000e+00	5.7820002892e-06	1.1030915935e-08
6.900000e+00	1.140000e+00	5.8060079863e-06	8.4279522510e-09
6.900000e+00	1.150000e+00	5.8299646123e-06	5.9093398610e-09
6.900000e+00	1.160000e+00	5.8538707470e-06	3.6177763336e-09
6.900000e+00	1.170000e+00	5.8777269596e-06	1.7015257008e-09
6.900000e+00	1.180000e+00	5.9015338098e-06	3.4673734091e-10
6.900000e+00	1.190000e+00	5.9252918464e-06	2.7234447791e-10
6.900000e+00	1.200000e+00	5.9490016082e-06	1.4800623245e-09
6.900000e+00	1.210000e+00	5.9726636260e-06	3.1008781749e-09
6.900000e+00	1.220000e+00	5.9962784205e-06	4.9111137145e-09
6.900000e+00	1.230000e+00	6.0198465035e-06	6.7556415340e-09
6.900000e+00	1.240000e+00	6.0433683782e-06	8.5080462636e-09
6.900000e+00	1.250000e+00	6.0668445392e-06	1.0075673877e-08
6.900000e+00	1.260000e+00	6.0902754728e-06	1.1382130741e-08
6.900000e+00	1.270000e+00	6.1136616574e-06	1.2371169268e-08
6.900000e+00	1.280000e+00	6.1370035633e-06	1.3006380647e-08
6.900000e+00	1.290000e+00	6.1603016532e-06	1.3270633451e-08
6.900000e+00	1.300000e+00	6.1835563825e-06	1.3165088009e-08
6.900000e+00	1.310000e+00	6.2067681990e-06	1.2707730739e-08
6.900000e+00	1.320000e+00	6.2299375434e-06	1.1931443725e-08
6.900000e+00	1.330000e+00	6.2530412892e-06	7.0208417279e-10
6.900000e+00	1.340000e+00	6.2761505444e-06	9.6056620436e-09
6.900000e+00	1.350000e+00	6.2991950480e-06	8.1738364881e-09
6.900000e+00	1.360000e+00	6.3221987737e-06	6.6594802144e-09
6.900000e+00	1.370000e+00	6.3451621289e-06	5.1330116877e-09
6.900000e+00	1.380000e+00	6.3680855143e-06	3.6652711180e-09
6.900000e+00	1.390000e+00	6.3909693244e-06	2.3269411490e-09
6.900000e+00	1.400000e+00	6.4138139477e-06	1.1908055138e-09
6.900000e+00	1.410000e+00	6.4366197674e-06	3.4391156371e-10
6.900000e+00	1.420000e+00	6.4593871596e-06	4.7439478611e-11
6.900000e+00	1.430000e+00	6.4821164950e-06	6.2647191130e-10
6.900000e+00	1.440000e+00	6.5048081395e-06	1.4875266631e-09
6.900000e+00	1.450000e+00	6.5274624532e-06	2.4866092707e-09
6.900000e+00	1.460000e+00	6.5500797908e-06	3.5376236666e-09
6.900000e+00	1.470000e+00	6.5726605019e-06	4.5741963329e-09
6.900000e+00	1.480000e+00	6.5952049308e-06	5.5421950822e-09
6.900000e+00	1.490000e+00	6.6177134168e-06	6.3976293257e-09
6.900000e+00	1.500000e+00	6.6401862948e-06	7.1060208627e-09
6.900000e+00	1.510000e+00	6.6626238943e-06	7.6422090499e-09
6.900000e+00	1.520000e+00	6.6850265405e-06	7.9819726393e-09
6.900000e+00	1.530000e+00	6.7073945540e-06	8.1219926828e-09
6.900000e+00	1.540000e+00	6.7297282507e-06	8.0679725056e-09
6.900000e+00	1.550000e+00	6.7520279422e-06	7.8296186170e-09
6.900000e+00	1.560000e+00	6.7742939358e-06	7.4233551225e-09
6.900000e+00	1.570000e+00	6.7965265346e-06	6.8712739286e-09
6.900000e+00	1.580000e+00	6.8187260374e-06	6.1999580477e-09
6.900000e+00	1.590000e+00	6.8408927390e-06	5.4392880060e-09
6.900000e+00	1.600000e+00	6.8630269301e-06	4.6212228413e-09
6.900000e+00	1.610000e+00	6.8851288975e-06	3.7786727233e-09
6.900000e+00	1.620000e+00	6.9071989242e-06	2.9444979957e-09
6.900000e+00	1.630000e+00	6.9292372890e-06	2.1507527878e-09
6.900000e+00	1.640000e+00	6.9512442679e-06	1.4283583524e-09
6.900000e+00	1.650000e+00	6.9732201325e-06	8.0731245326e-10
6.900000e+00	1.660000e+00	6.9951651499e-06	3.2112953699e-10
6.900000e+00	1.670000e+00	7.0170795853e-06	2.2994659664e-11
6.900000e+00	1.680000e+00	7.0389636997e-06	1.5748648787e-10
6.900000e+00	1.690000e+00	7.0608177509e-06	5.1612017392e-10
6.900000e+00	1.700000e+00	7.0826419930e-06	9.5532320087e-10
6.900000e+00	1.710000e+00	7.1044366772e-06	1.4267443368e-09
6.900000e+00	1.720000e+00	7.1262020513e-06	1.8965743225e-09
6.900000e+00	1.730000e+00	7.1479122791e-06	4.5974914982e-09
6.900000e+00	1.740000e+00	7.1696458445e-06	2.7319808747e-09
6.900000e+00	1.750000e+00	7.1913247438e-06	3.0609290601e-09
6.900000e+00	1.760000e+00	7.2129752932e-06	3.3139462943e-09
6.900000e+00	1.770000e+00	7.2345977252e-06	3.4838001407e-09
6.900000e+00	1.780000e+00	7.2561922695e-06	3.5672323313e-09
6.900000e+00	1.790000e+00	7.2777591531e-06	3.5616643615e-09
6.900000e+00	1.800000e+00	7.2992985998e-06	3.4716573664e-09
6.900000e+00	1.810000e+00	7.3208108311e-06	3.3066304534e-09
6.900000e+00	1.820000e+00	7.3422960655e-06	3.0760641333e-09
6.900000e+00	1.830000e+00	7.3637545189e-06	2.7913519052e-09
6.900000e+00	1.840000e+00	7.3851864047e-06	2.4652989618e-09
6.900000e+00	1.850000e+00	7.4065919337e-06	2.1115951741e-09
6.900000e+00	1.860000e+00	7.4279713139e-06	1.7443540725e-09
6.900000e+00	1.870000e+00	7.4493247515e-06	1.3776899129e-09
6.900000e+00	1.880000e+00	7.4706524497e-06	1.0254074538e-09
6.900000e+00	1.890000e+00	7.4919546086e-06	7.0084458536e-10
6.900000e+00	1.900000e+00	7.5132314270e-06	4.1705826947e-10
6.900000e+00	1.910000e+00	7.5344831013e-06	1.8784648660e-10
6.900000e+00	1.920000e+00	7.5557098253e-06	3.2435168173e-11
6.900000e+00	1.930000e+00	7.5769117905e-06	4.0299672540e-11
6.900000e+00	1.940000e+00	7.5980891864e-06	1.8690028368e-10
6.900000e+00	1.950000e+00	7.6192421998e-06	3.7906636932e-10
6.900000e+00	1.960000e+00	7.6403710161e-06	5.9311558056e-10
6.900000e+00	1.970000e+00	7.6614758182e-06	8.1348017868e-10
6.900000e+00	1.980000e+00	7.6825567867e-06	1.0271463304e-09
6.900000e+00	1.990000e+00	7.7036141005e-06	1.2247680406e-09
7.000000e+00	0.000000e+00	2.5741937781e-06	9.7567869722e-11
7.000000e+00	1.000000e-02	2.6377182542e-06	4.3162000807e-09
7.000000e+00	2.000000e-02	2.6864721075e-06	5.0434619627e-09
7.000000e+00	3.000000e-02	2.7384952182e-06	3.6426106060e-10
