Ev[MeV]	Aeff[MeV-2]
1.816	-0.0000000000
1.916	-0.0000000000
2.016	-0.0000000000
2.116	-0.0000000000
2.216	-0.0000000000
2.316	-0.0000000000
2.416	-0.0000000000
2.516	-0.0000000000
2.616	-0.0000000000
2.716	-0.0000000000
2.816	-0.0000000000
2.916	-0.0000000000
3.016	-0.0000000000
3.116	-0.0000000000
3.216	-0.0000000000
3.316	-0.0000000000
3.416	-0.0000000000
3.516	-0.0000000000
3.616	-0.0000000000
3.716	-0.0000000000
3.816	-0.0000000000
3.916	0.0000016139
4.016	0.0001618610
4.116	0.0022771489
4.216	0.0209411121
4.316	0.1485986306
4.416	0.8676797276
4.516	4.3207870564
4.616	18.7924771706
4.716	72.6571478053
4.816	253.1985025866
4.916	804.3514136350
5.016	2351.5301728038
5.116	6378.0719560603
5.216	16162.2051230076
5.316	38497.9104188864
5.416	86663.0300654892
5.516	185250.1821966252
5.616	377617.9952706367
5.716	736822.3133526716
5.816	1380917.0777611551
5.916	2493443.6800661334
6.016	4349736.5760416882
6.116	7349357.6682650913
6.216	12054545.9353896659
6.316	19234062.9017437957
6.416	29911273.6422849335
6.516	45414780.0956206471
6.616	67429472.5978413671
6.716	98045534.8907011002
6.816	139802763.6937035024
6.916	195727566.7664158046
7.016	269360186.3240147829
7.116	364770044.0650030971
7.216	486557592.1161537170
7.316	639841642.8019177914
7.416	830231795.4529141188
7.516	1063786235.4150354862
7.616	1346955806.7613816261
7.716	1686515819.7110340595
7.816	2089487518.3433136940
7.916	2563051485.0468816757
8.016	3114455485.8106637001
8.116	3750919364.2237291336
8.216	4479539578.6441049576
8.316	5307195859.0503206253
8.416	6240462254.3701686859
8.516	7285524566.7919836044
8.616	8448105846.7737379074
8.716	9733401270.8057403564
8.816	11146023361.5875434875
8.916	12689958153.0847682953
9.016	14368532564.1770629883
9.116	16184392934.6594829559
9.216	18139494403.6991157532
9.316	20235100578.2323493958
9.416	22471792749.5406227112
9.516	24849487770.5545997620
9.616	27367463602.8347167969
9.716	30024391477.7977218628
9.816	32818373587.8686103821
9.916	35746985225.3380432129
10.016	38807320315.1976089478
10.116	41996039338.1611328125
10.216	45309418706.9078826904
10.316	48743400737.7893753052
10.416	52293643447.8505325317
10.516	55955569499.4610748291
10.616	59724413708.9501647949
10.716	63595268628.9186477661
10.816	67563127804.1095581055
10.916	71622926386.3250579834
11.016	75769578873.5192260742
11.116	79998013811.1452636719
11.216	84303205359.3928985596
11.316	88680201688.0809478760
11.416	93124150211.4195556641
11.516	97630319717.9459991455
11.616	102194119486.9877929688
11.716	106811115512.2934722900
11.816	111477043976.6849060059
11.916	116187822139.1191711426
12.016	120939556808.1084899902
12.116	125728550583.4653320312
12.216	130551306052.5553741455
12.316	135404528128.0319061279
12.416	140285124712.1396179199
12.516	145190205868.2520446777
12.616	150117081674.2379455566
12.716	155063258924.4614868164
12.816	160026436838.5461730957
12.916	165004501925.3182067871
13.016	169995522140.3041687012
13.116	174997740464.6513061523
13.216	180009568022.8971862793
13.316	185029576846.5372619629
13.416	190056492380.0964355469
13.516	195089185816.5567932129
13.616	200126666339.4643859863
13.716	205168073340.0356750488
13.816	210212668669.0588073730
13.916	215259828975.4983520508
14.016	220309038176.2645263672
14.116	225359880094.8260803223
14.216	230412031300.1207580566
14.316	235465254171.4958190918
14.416	240519390210.3334045410
14.516	245574353614.2709045410
14.616	250630125125.9314575195
14.716	255686746164.3125305176
14.816	260744313243.7594909668
14.916	265802972682.6380920410
15.016	270862915601.3592529297
15.116	275924373207.2861328125
15.216	280987612362.2275390625
15.316	286052931426.7631225586
15.416	291120656374.3393554688
15.516	296191137167.0812988281
15.616	301264744384.4301757812
15.716	306341866095.0814819336
15.816	311422904962.2639160156
15.916	316508275572.0463867188
16.016	321598401974.1703491211
16.116	326693715424.7997436523
16.216	331794652320.6232299805
16.316	336901652313.8297729492
16.416	342015156597.5302124023
16.516	347135606351.5902709961
16.616	352263441338.9105834961
16.716	357399098642.6240844727
16.816	362543011534.8883056641
16.916	367695608468.4077148438
17.016	372857312182.0995483398
17.116	378028538912.7391357422
17.216	383209697704.7296142578
17.316	388401189810.6650390625
17.416	393603408175.5717163086
17.516	398816736998.2030639648
17.616	404041551363.0975952148
17.716	409278216937.4752807617
17.816	414527089727.4301147461
17.916	419788515888.1329345703
18.016	425062831583.2440185547
18.116	430350362888.8942260742
18.216	435651425738.0269775391
