Ev[MeV]	Aeff[MeV-2]
1.816	-0.0000000000
1.916	-0.0000000000
2.016	-0.0000000000
2.116	-0.0000000000
2.216	-0.0000000000
2.316	-0.0000000000
2.416	-0.0000000000
2.516	-0.0000000000
2.616	-0.0000000000
2.716	-0.0000000000
2.816	-0.0000000000
2.916	-0.0000000000
3.016	-0.0000000000
3.116	-0.0000000000
3.216	-0.0000000000
3.316	-0.0000000000
3.416	-0.0000000000
3.516	-0.0000000000
3.616	-0.0000000000
3.716	-0.0000000000
3.816	-0.0000000000
3.916	0.0000000000
4.016	0.0000000000
4.116	0.0000000000
4.216	0.0000000000
4.316	0.0000000000
4.416	0.0000000000
4.516	0.0000000000
4.616	0.0000000000
4.716	0.0000000000
4.816	0.0000000000
4.916	0.0000000058
5.016	0.0000000466
5.116	0.0000003232
5.216	0.0000019928
5.316	0.0000109610
5.416	0.0000542916
5.516	0.0002442250
5.616	0.0010053570
5.716	0.0038131486
5.816	0.0134076571
5.916	0.0439485474
6.016	0.1349741468
6.116	0.3901790525
6.216	1.0661064334
6.316	2.7638770518
6.416	6.8223774585
6.516	16.0857975175
6.616	36.3342898796
6.716	78.8375405437
6.816	164.7306777020
6.916	332.2309361637
7.016	648.1166727984
7.116	1225.3732870493
7.216	2249.4567303074
7.316	4016.2038472627
7.416	6984.9846205474
7.516	11851.1866653436
7.616	19642.4804849197
7.716	31843.4655961332
7.816	50553.1775091504
7.916	78679.4905379502
8.016	120173.6475994077
8.116	180306.9766635444
8.216	265990.3341537541
8.316	386134.9977534812
8.416	552051.6917287918
8.516	777882.2668850026
8.616	1081056.3904669103
8.716	1482763.5520598409
8.816	2008428.8817208728
8.916	2688179.8176916689
9.016	3557289.6464752466
9.116	4656583.4368160581
9.216	6032791.9417533055
9.316	7738839.6596329389
9.416	9834054.4059984237
9.516	12384287.4062463492
9.616	15461935.0028561037
9.716	19145855.4915240742
9.816	23521177.2558805346
9.916	28678997.1525371894
10.016	34715970.8987121731
10.116	41733799.9302794412
10.216	49838621.7353087142
10.316	59140312.9466519877
10.416	69751716.4323850274
10.516	81787805.2076135427
10.616	95364797.1754058301
10.716	110599235.4758137017
10.816	127607049.5830358714
10.916	146502612.2589922547
11.016	167397807.0756066144
11.116	190401120.4964156151
11.216	215616771.5054867268
11.316	243143890.5379700661
11.416	273075758.0530748963
11.516	305499111.5487684011
11.616	340493528.1980583072
11.716	378130888.6357910633
11.816	418474925.7853749990
11.916	461580861.0238751173
12.016	507495128.4736415744
12.116	556255186.8047574759
12.216	607889416.6558113098
12.316	662417100.6449240446
12.416	719848481.9588773251
12.516	780184896.6787401438
12.616	843418974.3277900219
12.716	909534900.6064504385
12.816	978508735.9050316811
12.916	1050308782.9473676682
13.016	1124895996.8082146645
13.116	1202224430.5505573750
13.216	1282241709.8346209526
13.316	1364889530.0434563160
13.416	1450104169.7377572060
13.516	1537817014.5823242664
13.616	1627955086.2645862103
13.716	1720441571.3409197330
13.816	1815196345.3873729706
13.916	1912136488.2888460159
14.016	2011176786.9641411304
14.116	2112230222.2872815132
14.216	2215208437.4206142426
14.316	2320022185.2162508965
14.416	2426581752.7659468651
14.516	2534797361.5792312622
14.616	2644579542.2465982437
14.716	2755839482.7921071053
14.816	2868489350.2396883965
14.916	2982442585.2081365585
15.016	3097614169.6105136871
15.116	3213920867.7652263641
15.216	3331281441.4285364151
15.316	3449616839.4341864586
15.416	3568850362.7740511894
15.516	3688907806.0780363083
15.616	3809717576.5517730713
15.716	3931210791.5096774101
15.816	4053321355.7004065514
15.916	4175986019.6626567841
16.016	4299144420.3740997314
16.116	4422739105.4664564133
16.216	4546715542.2777566910
16.316	4671022112.9991350174
16.416	4795610097.1490001678
16.516	4920433642.5782318115
16.616	5045449726.1692857742
16.716	5170618105.3500194550
16.816	5295901261.4929513931
16.916	5421264336.2204236984
17.016	5546675061.5804853439
17.116	5672103685.0029544830
17.216	5797522889.8871412277
17.316	5922907712.6173601151
17.416	6048235456.7430162430
17.516	6173485605.0054283142
17.616	6298639729.8378295898
17.716	6423681402.9115314484
17.816	6548596104.2498474121
17.916	6673371131.3802003860
18.016	6797995508.9498214722
18.116	6922459899.1824913025
18.216	7046756513.5131692886
18.316	7170879025.6949129105
18.416	7294822486.6372041702
18.516	7418583241.1965723038
18.616	7542158847.1101255417
18.716	7665547996.2297811508
18.816	7788750438.1888370514
18.916	7911766906.6057367325
