Ev[MeV]	Aeff[MeV-2]
1.816	-0.0000000000
1.916	-0.0000000000
2.016	-0.0000000000
2.116	-0.0000000000
2.216	-0.0000000000
2.316	-0.0000000000
2.416	-0.0000000000
2.516	-0.0000000000
2.616	-0.0000000000
2.716	-0.0000000000
2.816	-0.0000000000
2.916	-0.0000000000
3.016	-0.0000000000
3.116	-0.0000000000
3.216	-0.0000000000
3.316	-0.0000000000
3.416	-0.0000000000
3.516	-0.0000000000
3.616	-0.0000000000
3.716	-0.0000000000
3.816	-0.0000000000
3.916	0.0000000000
4.016	0.0000000000
4.116	0.0000000000
4.216	0.0000000000
4.316	0.0000000000
4.416	0.0000000000
4.516	0.0000000000
4.616	0.0000000000
4.716	0.0000000000
4.816	0.0000000000
4.916	0.0000000000
5.016	0.0000000000
5.116	0.0000000000
5.216	0.0000000000
5.316	0.0000000163
5.416	0.0000000918
5.516	0.0000005351
5.616	0.0000028174
5.716	0.0000134894
5.816	0.0000591444
5.916	0.0002390146
6.016	0.0008954741
6.116	0.0031268355
6.216	0.0102253861
6.316	0.0314554583
6.416	0.0913923410
6.516	0.2517279630
6.616	0.6595388249
6.716	1.6489132418
6.816	3.9451038409
6.916	9.0569171748
7.016	20.0001962221
7.116	42.5805294211
7.216	87.5849382239
7.316	174.3981933567
7.416	336.7759244090
7.516	631.7769291043
7.616	1153.1792139716
7.716	2051.0699171415
7.816	3559.6923055663
7.916	6036.0293262836
8.016	10011.9709616384
8.116	16263.2141150806
8.216	25898.2377134191
8.316	40470.7408892464
8.416	62118.7911055579
8.516	93733.5723779122
8.616	139160.0333579841
8.716	203430.9074213356
8.816	293034.5247365805
8.916	416215.5889392406
9.016	583306.6935577421
9.116	807086.8641971694
9.216	1103161.9000768592
9.316	1490359.8269007266
9.416	1991133.4372040979
9.516	2631960.7554236720
9.616	3443733.3858532417
9.716	4462122.1332074963
9.816	5727909.0636433801
9.916	7287275.3180002011
10.016	9192034.5005859397
10.116	11499802.3309529405
10.216	14274094.4321491327
10.316	17584345.5928995274
10.416	21505845.5285215676
10.516	26119588.0141788386
10.616	31512032.2082582824
10.716	37774776.9563534483
10.816	45004150.8027521670
10.916	53300722.2764908820
11.016	62768736.7097824961
11.116	73515487.3434123695
11.216	85650629.7413601279
11.316	99285449.5506236106
11.416	114532094.3869810849
11.516	131502781.0981662124
11.616	150308989.8564981222
11.716	171060656.4750335217
11.816	193865374.0433981419
11.916	218827614.4653884768
12.016	246047979.7782070339
12.116	275622492.2732850313
12.216	307641931.4532676935
12.316	342191224.7809672356
12.416	379348898.0359464884
12.516	419186589.9222051501
12.616	461768634.3948580027
12.716	507151713.0187543035
12.816	555384578.5605083704
12.916	606507849.9649156332
13.016	660553877.8932795525
13.116	717546679.1155070066
13.216	777501937.2593880892
13.316	840427066.7337546349
13.416	906321336.0602047443
13.516	975176046.3711780310
13.616	1046974760.4575698376
13.716	1121693577.4735751152
13.816	1199301448.2240574360
13.916	1279760525.8646223545
14.016	1363026546.8281736374
14.116	1449049236.8469631672
14.216	1537772737.0572507381
14.316	1629136045.3457748890
14.416	1723073468.3158066273
14.516	1819515079.5055575371
14.616	1918387179.7781989574
14.716	2019612756.1100127697
14.816	2123111935.3266761303
14.916	2228802429.6706171036
15.016	2336599971.4185929298
15.116	2446418734.1037712097
15.216	2558171738.2256784439
15.316	2671771239.6520218849
15.416	2787129099.2236537933
15.516	2904157132.3670110703
15.616	3022767437.7941441536
15.716	3142872704.6280159950
15.816	3264386497.5292468071
15.916	3387223519.6185712814
16.016	3511299853.1872653961
16.116	3636533178.3654456139
16.216	3762842970.0765123367
16.316	3890150673.7444338799
16.416	4018379860.3395256996
16.516	4147456361.4522829056
16.616	4277308385.1681933403
16.716	4407866613.5874795914
16.816	4539064282.8871917725
16.916	4670837246.8658304214
17.016	4803124024.9385814667
17.116	4935865835.5697107315
17.216	5069006616.1354665756
17.316	5202493030.2114448547
17.416	5336274463.2671384811
17.516	5470303007.7358675003
17.616	5604533438.4058303833
17.716	5738923179.0511178970
17.816	5873432261.1908559799
17.916	6008023275.8286762238
18.016	6142661318.9898405075
18.116	6277313931.8315286636
18.216	6411951036.0629596710
18.316	6546544865.3683900833
18.416	6681069893.4860544205
18.516	6815502759.5511837006
18.616	6949822191.2715444565
18.716	7084008926.4602622986
18.816	7218045633.4119281769
18.916	7351916830.5674781799
19.016	7485608805.8740901947
19.116	7619109536.2118978500
