,Emeas[MeV],DiffRate[s-1MeV-1],Spectrum[MeV-1]
152,0.152,7.66806e-05,0.0023004180000000003
153,0.153,7.66608e-05,0.0022998240000000002
154,0.154,7.66409e-05,0.0022992269999999996
155,0.155,7.66211e-05,0.002298633
156,0.156,7.66014e-05,0.0022980419999999997
157,0.157,7.65816e-05,0.002297448
158,0.158,7.65619e-05,0.002296857
159,0.159,7.65422e-05,0.002296266
160,0.16,7.65226e-05,0.0022956779999999998
161,0.161,7.65029e-05,0.002295087
162,0.162,7.64833e-05,0.002294499
163,0.163,7.64637e-05,0.002293911
164,0.164,7.64442e-05,0.002293326
165,0.165,7.64246e-05,0.002292738
166,0.166,7.64051e-05,0.0022921530000000003
167,0.167,7.63856e-05,0.002291568
168,0.168,7.63662e-05,0.0022909859999999996
169,0.169,7.63467e-05,0.002290401
170,0.17,7.63273e-05,0.002289819
171,0.171,7.63079e-05,0.002289237
172,0.172,7.62886e-05,0.002288658
173,0.173,7.62692e-05,0.002288076
174,0.174,7.62499e-05,0.0022874970000000003
175,0.175,7.62306e-05,0.0022869179999999998
176,0.176,7.62114e-05,0.002286342
177,0.177,7.61921e-05,0.002285763
178,0.178,7.61729e-05,0.0022851869999999997
179,0.179,7.61538e-05,0.002284614
180,0.18,7.61346e-05,0.002284038
181,0.181,7.61155e-05,0.002283465
182,0.182,7.60964e-05,0.002282892
183,0.183,7.60773e-05,0.002282319
184,0.184,7.60582e-05,0.002281746
185,0.185,7.60392e-05,0.0022811759999999998
186,0.186,7.60202e-05,0.0022806059999999997
187,0.187,7.60012e-05,0.0022800359999999996
188,0.188,7.59822e-05,0.002279466
189,0.189,7.59633e-05,0.002278899
190,0.19,7.59444e-05,0.002278332
191,0.191,7.59255e-05,0.0022777649999999997
192,0.192,7.59067e-05,0.002277201
193,0.193,7.58878e-05,0.002276634
194,0.194,7.5869e-05,0.00227607
195,0.195,7.58503e-05,0.0022755089999999998
196,0.196,7.58315e-05,0.002274945
197,0.197,7.58128e-05,0.002274384
198,0.198,7.57941e-05,0.0022738230000000003
199,0.199,7.57754e-05,0.002273262
200,0.2,7.57568e-05,0.002272704
201,0.201,7.57381e-05,0.0022721430000000003
202,0.202,7.57195e-05,0.002271585
203,0.203,7.57009e-05,0.002271027
204,0.204,7.56824e-05,0.002270472
205,0.205,7.56639e-05,0.002269917
206,0.206,7.56454e-05,0.002269362
207,0.207,7.56269e-05,0.0022688070000000003
208,0.208,7.56084e-05,0.002268252
209,0.209,7.559e-05,0.0022677
210,0.21,7.55716e-05,0.002267148
211,0.211,7.55532e-05,0.002266596
212,0.212,7.55349e-05,0.0022660469999999998
213,0.213,7.55165e-05,0.0022654949999999997
214,0.214,7.54982e-05,0.002264946
215,0.215,7.548e-05,0.0022644
216,0.216,7.54617e-05,0.002263851
217,0.217,7.54435e-05,0.0022633049999999997
218,0.218,7.54253e-05,0.002262759
219,0.219,7.54071e-05,0.002262213
220,0.22,7.5389e-05,0.0022616700000000003
221,0.221,7.53708e-05,0.0022611239999999998
222,0.222,7.53527e-05,0.0022605810000000002
223,0.223,7.53346e-05,0.002260038
224,0.224,7.53166e-05,0.002259498
225,0.225,7.52986e-05,0.002258958
